# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2022-12-19

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	CastaneaSpecies_08_2021.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/thesis/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	41038	54.2	-0.4	199.86247087858	0.153	0.317	0.157	1.426	0.22	0.234	0.599	0.594	0.401	0.407	30
2	41039	54.2	-0.3	199.157879344953	0.144	0.316	0.151	1.416	0.201	0.214	0.576	0.565	0.424	0.435	30
3	41040	54.2	8.9	199.999909176622	0.083	0.328	0.149	1.492	0.221	0.208	0.583	0.55	0.417	0.45	30
4	41041	54.2	9	199.999990186879	0.086	0.336	0.155	1.476	0.232	0.217	0.596	0.564	0.404	0.436	30
5	41042	54.2	9.1	200	0.088	0.306	0.13	1.431	0.175	0.169	0.432	0.412	0.568	0.588	30
6	41043	54.2	9.2	199.999657743949	0.097	0.29	0.116	1.439	0.124	0.129	0.338	0.326	0.662	0.674	30
7	41044	54.2	9.3	199.999988578824	0.093	0.278	0.109	1.462	0.096	0.106	0.284	0.279	0.715	0.721	30
8	41045	54.2	9.4	200	0.094	0.295	0.12	1.413	0.164	0.164	0.388	0.376	0.611	0.624	30
9	41046	54.2	9.5	200	0.09	0.308	0.128	1.394	0.154	0.152	0.362	0.347	0.637	0.653	30
10	41047	54.2	9.6	200	0.087	0.284	0.112	1.438	0.106	0.11	0.294	0.283	0.706	0.716	30
11	41048	54.2	9.7	200	0.084	0.274	0.104	1.447	0.071	0.083	0.23	0.228	0.77	0.771	30
12	41049	54.2	9.8	199.999992551266	0.083	0.27	0.103	1.452	0.078	0.09	0.245	0.242	0.755	0.757	30
13	41050	54.2	9.9	199.99988989491	0.084	0.271	0.106	1.478	0.085	0.097	0.266	0.264	0.734	0.736	30
14	41051	54.2	10	199.999815644328	0.088	0.279	0.112	1.498	0.106	0.121	0.332	0.331	0.668	0.669	30
15	41052	54.2	10.1	200	0.092	0.287	0.118	1.499	0.116	0.132	0.36	0.359	0.64	0.641	30
16	41053	54.2	10.2	200	0.09	0.288	0.12	1.513	0.124	0.14	0.385	0.386	0.615	0.614	30
17	41054	54.2	10.3	199.999980790028	0.094	0.289	0.12	1.514	0.127	0.143	0.38	0.381	0.62	0.619	30
18	41055	54.2	10.4	199.9983692136	0.093	0.292	0.123	1.51	0.127	0.142	0.386	0.386	0.614	0.614	30
19	41056	54.2	10.5	199.987737232988	0.094	0.294	0.123	1.502	0.123	0.137	0.377	0.376	0.623	0.624	30
20	41057	54.2	10.6	199.978625168331	0.097	0.289	0.122	1.516	0.127	0.141	0.389	0.387	0.611	0.613	30
21	41058	54.2	10.7	199.999221411948	0.099	0.288	0.124	1.513	0.134	0.148	0.418	0.415	0.582	0.585	30
22	41059	54.2	10.8	199.997916737617	0.095	0.297	0.131	1.517	0.147	0.16	0.451	0.448	0.549	0.552	30
23	41060	54.2	10.9	200	0.082	0.304	0.133	1.517	0.164	0.175	0.469	0.466	0.532	0.534	30
24	41061	54.2	11.1	199.997798577848	0.069	0.326	0.142	1.501	0.173	0.177	0.463	0.453	0.536	0.547	30
25	41062	54.2	12.2	197.49891312754	0.078	0.288	0.117	1.45	0.126	0.131	0.364	0.357	0.636	0.642	30
26	41063	54.2	12.3	199.38049629721	0.074	0.29	0.117	1.464	0.117	0.127	0.349	0.346	0.651	0.653	30
27	41064	54.2	12.4	199.852321698174	0.072	0.292	0.12	1.493	0.123	0.135	0.364	0.364	0.635	0.636	30
28	41065	54.2	12.5	199.988946801818	0.071	0.298	0.123	1.513	0.128	0.14	0.379	0.38	0.62	0.62	30
29	41066	54.2	12.6	199.999937537862	0.073	0.296	0.123	1.514	0.128	0.141	0.392	0.393	0.608	0.607	30
30	41067	54.2	12.7	200	0.072	0.295	0.123	1.515	0.124	0.138	0.39	0.391	0.61	0.609	30
31	41068	54.2	12.8	199.972758574362	0.072	0.296	0.122	1.525	0.125	0.139	0.39	0.392	0.61	0.608	30
32	41069	54.2	12.9	199.989851821439	0.074	0.293	0.12	1.517	0.125	0.139	0.38	0.382	0.62	0.618	30
33	41070	54.2	13	200	0.074	0.292	0.12	1.518	0.13	0.145	0.394	0.396	0.606	0.604	30
