# Command file for Castanea
# Generated on Rstudio by user vandermeersch, on the 2023-10-26

# The filenames below are relative to the folder containing this command file
castaneaFileName	=	qpetraea_subset1_rep1.txt
inventoryFileName	=	C:/Users/vandermeersch/Documents/CEFE/phd/castanea/run/inventory.txt

climateBaseName	=	D:/climate/ERA5-Land/castanea_format/
climateExtension	=	.txt
simulationName	=	ind1_


#	siteId	gridName	latitude	longitude	soilHeight	stone	wfc	wilt	bulk	SOLCLAYtop	SOLCLAYsol	SOLFINtop	SOLFINsol	SOLSANDtop	SOLSANDsol	numberOfYears
1	79423	44.8	22.2	199.577772679724	0.132	0.318	0.158	1.485	0.2	0.219	0.588	0.562	0.411	0.438	30
2	79424	44.8	22.3	199.375737807199	0.121	0.308	0.156	1.495	0.215	0.234	0.582	0.561	0.417	0.438	30
3	79425	44.8	22.4	199.688252647655	0.114	0.318	0.182	1.497	0.251	0.284	0.634	0.626	0.366	0.374	30
4	79426	44.8	22.5	199.901778573445	0.107	0.323	0.19	1.501	0.267	0.307	0.669	0.665	0.332	0.335	30
5	79427	44.8	22.6	199.957149432754	0.098	0.327	0.198	1.507	0.271	0.316	0.679	0.679	0.322	0.321	30
6	79428	44.8	22.7	199.988815161596	0.083	0.326	0.194	1.509	0.27	0.313	0.68	0.681	0.32	0.319	30
7	79429	44.8	22.8	199.999059072258	0.068	0.319	0.19	1.51	0.267	0.305	0.679	0.677	0.32	0.323	30
8	79430	44.8	22.9	199.994000754357	0.061	0.31	0.187	1.509	0.267	0.302	0.677	0.671	0.323	0.329	30
9	79431	44.8	23	199.996324269034	0.059	0.312	0.189	1.511	0.27	0.304	0.682	0.677	0.318	0.323	30
10	79432	44.8	23.1	199.998310108648	0.061	0.314	0.19	1.51	0.263	0.298	0.675	0.674	0.325	0.326	30
11	79433	44.8	23.2	199.999797609882	0.062	0.313	0.19	1.512	0.269	0.302	0.686	0.683	0.314	0.317	30
12	79434	44.8	23.3	199.999994904855	0.06	0.312	0.187	1.511	0.266	0.299	0.684	0.679	0.316	0.321	30
13	79435	44.8	23.4	200	0.07	0.312	0.185	1.515	0.258	0.298	0.668	0.667	0.332	0.334	30
14	79436	44.8	23.5	200	0.06	0.314	0.186	1.51	0.271	0.308	0.689	0.686	0.311	0.314	30
15	79437	44.8	23.6	200	0.07	0.317	0.189	1.51	0.265	0.309	0.688	0.691	0.312	0.309	30
16	79438	44.8	23.7	200	0.068	0.318	0.189	1.509	0.265	0.308	0.682	0.684	0.318	0.316	30
17	79439	44.8	23.8	200	0.06	0.314	0.189	1.508	0.264	0.305	0.679	0.679	0.321	0.321	30
