"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9591	14110	"Kelly's Lough"	52.958352	-6.426246	5	"AWI"	5	-21	-7	-14	0	50	0	3	0	0	0	15	0	0	0	0	0	0	133	0	18	0	0	1	7	0	0	85	0	0	0	0	3	0	0	0	1	27	19	0	0	0	26	3	0	0	0	3	0	0	2	0	0	0	12	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	10	"AWI"	10	11	39	25	0	53	1	0	1	0	0	18	0	0	0	0	0	0	150	0	25	0	0	1	3	0	0	98	0	0	1	0	1	0	0	0	0	11	19	125	0	0	24	2	0	4	5	2	0	0	0	0	0	0	9	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	15	"AWI"	15	38	87	60	0	58	0	0	1	0	0	14	0	0	1	0	0	0	174	0	13	0	0	1	5	0	0	77	0	0	1	2	3	0	0	0	0	11	11	0	0	0	31	0	15	1	0	2	0	1	0	0	0	0	11	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	20	"AWI"	20	48	155	96	0	53	0	0	0	0	0	20	0	0	0	0	1	0	176	0	25	0	0	0	3	0	1	75	0	0	0	0	1	0	0	0	0	19.5	10	0	0	0	32	0	14	1	0	2	0	0	0	2	0	0	7	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	25	"AWI"	25	65	207	126	0	47	0	0	0	0	0	20	0	0	2	0	0	0	172	0	17	0	0	0	1	0	0	79	0	0	0	0	2	0	0	0	0	9	13	83	0	0	23	0	0	2	0	0	0	0	0	1	0	0	18	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	30	"AWI"	30	76	288	153	0	60	0	0	0	1	0	21	0	0	0	0	0	0	206	0	17	0	0	0	6	0	0	82	0	0	0	0	1	0	0	0	0	10.5	11	0	0	0	24	4	22	3	0	1	0	1	0	1	0	1	15	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	35	"AWI"	35	96	320	187	0	50	0	0	1	0	0	25	0	0	0	0	0	0	198	0	18	0	0	1	1	0	0	93	0	0	0	1	3	0	0	0	0	16.5	12	0	0	0	31	0	0	2	0	1	0	0	0	0	0	0	9	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	40	"AWI"	40	107	376	218	0	61	0	0	0	0	0	19	0	0	0	0	0	0	194	0	23	0	0	0	6	0	0	71	1	0	0	1	1	0	0	0	0	16.5	16	0	0	0	29	3	0	3	0	1	0	0	0	0	0	0	14	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	45	"AWI"	45	136	407	251	0	51	1	1	0	1	0	21	0	0	0	0	1	0	221	0	40	0	0	0	2	0	0	71	0	0	0	0	3	0	0	0	0	23	8	0	0	0	30	0	15	1	0	0	0	0	0	8	0	1	18	0
9591	14110	"Kelly's Lough"	52.958352	-6.426246	50	"AWI"	50	153	447	283	0	50	0	0	0	0	0	15	0	0	1	0	1	0	201	0	17	0	0	0	4	0	0	67	0	0	0	0	2	0	0	0	0	7.5	11	0	0	0	25	0	0	1	0	3	0	0	0	1	0	0	13	0
