"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juniperus"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Ulmus"	"Urticaceae"
9633	14177	"Clara Bog"	53.318794	-7.63632	0	"AWI"	0	-154	17	-66	1	1	0	0	4	0	0	1	3	4	0	2	0	0	0	0	6	5	64	2	3	0	2	2	0	0	0	0	0	1
9633	14177	"Clara Bog"	53.318794	-7.63632	16	"AWI"	16	-66	276	175	1	0	0	0	1	0	0	4	5	21	1	3	0	3	0	0	6	7	0	1	1	0	2	1	0	0	0	0	1	3
9633	14177	"Clara Bog"	53.318794	-7.63632	32	"AWI"	32	-39	597	418	2	1	0	0	2	0	0	4	8	7	2	2	0	1	0	0	5	14	40	2	2	1	2	2	0	0	0	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	48	"AWI"	48	27	755	589	4	0	1	0	4	0	0	3	3	0	0	0	0	3	0	0	0	20	3	4	1	1	3	2	1	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	64	"AWI"	64	136	1153	738	13	0	0	0	3	0	0	38	5	0	0	4	0	1	0	0	0	3	0	5	13	0	0	1	1	0	0	0	1	1
9633	14177	"Clara Bog"	53.318794	-7.63632	80	"AWI"	80	421	1219	874	9	0	1	0	3	0	0	3	12	9	0	2	0	3	0	0	0	8	14	4	8	0	0	2	0	0	0	0	1	1
9633	14177	"Clara Bog"	53.318794	-7.63632	96	"AWI"	96	596	1360	1008	11	0	0	0	3	0	0	49	1	0	0	7	0	3	0	0	0	0	0	4	1	0	0	0	1	0	0	0	1	1
9633	14177	"Clara Bog"	53.318794	-7.63632	112	"AWI"	112	843	1400	1149	13	0	0	0	5	0	0	32	4	0	0	8	0	3	0	0	0	3	0	1	14	0	0	0	1	0	0	0	2	0
9633	14177	"Clara Bog"	53.318794	-7.63632	128	"AWI"	128	1023	1506	1304	1	0	2	0	2	0	0	3	17	0	0	3	0	3	0	0	0	9	15	2	9	0	0	2	0	0	1	0	0	2
9633	14177	"Clara Bog"	53.318794	-7.63632	144	"AWI"	144	1179	1558	1394	19	1	0	0	3	0	0	45	3	7	0	3	0	1	0	0	0	3	0	2	7	0	0	0	0	0	2	0	3	0
9633	14177	"Clara Bog"	53.318794	-7.63632	160	"AWI"	160	1261	1700	1493	6	0	0	0	2	0	0	75	7	0	0	3	0	12	0	0	0	0	0	0	4	0	0	0	2	0	4	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	176	"AWI"	176	1357	1765	1568	6	0	0	0	8	0	0	41	6	0	0	11	0	3	0	0	0	0	2	3	8	0	0	0	1	0	4	0	14	0
9633	14177	"Clara Bog"	53.318794	-7.63632	192	"AWI"	192	1420	1869	1642	8	1	0	0	5	0	0	45	1	0	0	16	0	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	8	0
9633	14177	"Clara Bog"	53.318794	-7.63632	208	"AWI"	208	1526	1914	1716	5	0	0	0	2	0	0	52	2	0	0	14	0	2	0	0	0	0	0	2	7	0	0	0	1	0	3	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	224	"AWI"	224	1601	1991	1791	5	1	0	0	5	0	0	43	3	0	0	13	0	3	0	0	0	0	0	1	11	0	0	0	1	0	1	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	240	"AWI"	240	1670	2086	1867	5	0	0	0	7	0	0	57	11	0	0	4	0	3	0	0	0	4	0	0	3	0	0	0	1	0	1	0	0	1
9633	14177	"Clara Bog"	53.318794	-7.63632	256	"AWI"	256	1723	2211	1938	12	1	0	0	6	0	0	55	4	0	0	2	0	6	0	0	0	0	0	0	5	0	0	1	3	0	1	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	272	"AWI"	272	1809	2261	2007	6	0	0	0	2	0	0	57	2	0	0	7	0	7	0	0	0	0	0	0	9	0	0	0	1	0	1	0	6	0
9633	14177	"Clara Bog"	53.318794	-7.63632	288	"AWI"	288	1891	2341	2099	13	0	0	0	2	0	0	5	2	0	0	7	0	5	0	0	0	2	0	0	5	0	0	0	0	0	0	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	304	"AWI"	304	1989	2740	2301	12	0	0	0	4	0	0	46	3	0	0	7	0	4	0	0	0	3	0	0	8	0	0	0	1	0	0	0	5	0
9633	14177	"Clara Bog"	53.318794	-7.63632	320	"AWI"	320	2065	3155	2480	8	0	0	0	5	0	0	47	3	12	0	3	0	5	0	0	0	6	6	0	6	1	0	0	1	0	0	0	2	1
9633	14177	"Clara Bog"	53.318794	-7.63632	336	"AWI"	336	2191	3390	2726	1	0	0	0	2	0	0	42	1	0	0	2	0	4	0	0	0	7	0	0	12	0	0	0	1	0	2	0	1	1
9633	14177	"Clara Bog"	53.318794	-7.63632	352	"AWI"	352	2302	3708	2951	1	1	0	0	5	0	0	47	8	7	0	2	0	7	0	0	0	3	0	0	13	0	0	0	2	0	4	0	5	0
9633	14177	"Clara Bog"	53.318794	-7.63632	368	"AWI"	368	2494	3855	3196	19	1	0	0	2	0	0	45	1	0	0	1	0	5	0	0	0	4	0	0	11	0	0	0	2	0	2	0	2	0
9633	14177	"Clara Bog"	53.318794	-7.63632	384	"AWI"	384	2681	4083	3434	11	0	0	0	3	0	0	44	9	0	0	3	0	5	0	0	1	5	0	0	14	0	0	0	0	0	4	0	2	1
9633	14177	"Clara Bog"	53.318794	-7.63632	392	"AWI"	392	2848	4136	3533	9	0	0	0	2	0	0	58	13	0	0	4	0	3	0	0	0	3	0	0	9	0	0	0	1	0	4	0	4	0
9633	14177	"Clara Bog"	53.318794	-7.63632	400	"AWI"	400	2961	4191	3649	12	0	0	0	3	0	0	51	3	4	0	3	0	8	0	0	1	0	0	0	19	0	0	0	0	0	1	0	6	0
9633	14177	"Clara Bog"	53.318794	-7.63632	408	"AWI"	408	3058	4272	3772	11	0	0	0	2	0	0	59	1	0	0	3	0	6	0	0	1	0	0	0	9	0	0	0	1	0	2	0	6	0
9633	14177	"Clara Bog"	53.318794	-7.63632	416	"AWI"	416	3253	4333	3878	9	0	0	0	4	0	0	45	1	0	0	5	0	3	0	0	1	2	0	2	16	0	0	0	0	0	4	0	4	1
9633	14177	"Clara Bog"	53.318794	-7.63632	420	"AWI"	420	3400	4357	3931	9	0	0	0	3	0	0	38	1	0	0	7	0	1	0	0	0	0	0	1	18	0	0	0	0	0	6	0	11	0
9633	14177	"Clara Bog"	53.318794	-7.63632	424	"AWI"	424	3532	4377	3983	13	0	0	0	1	0	0	41	0	0	0	6	0	0	0	0	1	0	0	0	16	0	0	0	0	0	6	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	432	"AWI"	432	3793	4453	4093	12	0	0	0	2	0	0	44	5	0	0	9	0	4	0	0	1	0	0	0	14	0	0	0	1	0	2	0	13	0
9633	14177	"Clara Bog"	53.318794	-7.63632	440	"AWI"	440	3949	4556	4216	12	0	0	0	3	0	0	36	1	0	0	4	0	3	0	0	1	3	0	1	23	0	0	0	1	0	4	0	2	0
9633	14177	"Clara Bog"	53.318794	-7.63632	448	"AWI"	448	4153	4722	4415	13	0	0	0	2	0	0	55	0	3	0	2	0	9	0	0	4	0	0	1	12	0	0	0	0	0	0	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	456	"AWI"	456	4382	4960	4700	11	1	0	0	2	0	0	53	0	0	0	0	0	3	0	0	4	0	0	2	11	0	0	0	0	0	0	0	14	0
9633	14177	"Clara Bog"	53.318794	-7.63632	464	"AWI"	464	4527	5247	4986	15	0	0	0	3	0	0	37	2	0	0	1	0	7	0	0	3	0	0	0	2	0	0	0	0	0	1	0	18	0
9633	14177	"Clara Bog"	53.318794	-7.63632	472	"AWI"	472	4649	5576	5266	16	0	0	0	3	0	0	42	0	0	0	0	0	1	0	0	3	0	0	0	17	0	0	0	0	0	1	0	16	0
9633	14177	"Clara Bog"	53.318794	-7.63632	480	"AWI"	480	4846	5750	5443	16	1	0	0	3	0	0	38	0	0	0	0	0	7	0	0	13	0	0	0	14	0	0	0	0	0	0	0	14	0
9633	14177	"Clara Bog"	53.318794	-7.63632	488	"AWI"	488	5091	5792	5544	16	0	0	0	3	0	0	48	4	0	0	0	0	1	0	0	4	0	0	0	14	0	0	0	0	0	0	0	13	0
9633	14177	"Clara Bog"	53.318794	-7.63632	496	"AWI"	496	5311	5852	5642	18	0	0	0	3	0	0	56	3	0	0	0	0	6	0	0	2	0	0	0	8	2	0	0	0	0	1	0	9	0
9633	14177	"Clara Bog"	53.318794	-7.63632	504	"AWI"	504	5404	5985	5748	15	1	0	0	3	0	0	43	4	0	0	0	1	1	0	0	4	0	0	0	13	0	0	0	1	0	0	0	18	0
9633	14177	"Clara Bog"	53.318794	-7.63632	512	"AWI"	512	5488	6081	5815	11	1	0	0	5	0	0	42	5	0	0	0	0	6	0	0	6	0	0	0	12	0	0	0	1	0	0	0	18	0
9633	14177	"Clara Bog"	53.318794	-7.63632	520	"AWI"	520	5563	6113	5859	14	0	0	0	2	0	0	42	2	0	0	0	0	0	0	0	6	0	0	0	13	0	0	0	0	0	0	0	2	0
9633	14177	"Clara Bog"	53.318794	-7.63632	528	"AWI"	528	5622	6144	5908	19	0	0	0	2	0	0	4	3	0	0	0	0	4	0	0	6	0	0	0	11	0	0	0	0	0	0	0	17	0
9633	14177	"Clara Bog"	53.318794	-7.63632	536	"AWI"	536	5663	6198	5953	12	0	0	0	4	0	0	5	4	0	0	0	0	1	0	0	4	0	0	0	13	0	0	0	0	0	0	0	15	0
9633	14177	"Clara Bog"	53.318794	-7.63632	540	"AWI"	540	5705	6226	5980	11	1	0	0	3	0	0	52	2	0	0	0	0	0	0	0	4	0	0	0	13	0	0	0	1	0	0	0	16	0
9633	14177	"Clara Bog"	53.318794	-7.63632	544	"AWI"	544	5764	6241	6020	14	0	0	0	4	0	0	49	6	0	0	0	0	1	0	0	7	0	0	0	13	0	0	1	1	0	0	0	8	0
9633	14177	"Clara Bog"	53.318794	-7.63632	548	"AWI"	548	5817	6255	6061	9	1	0	0	5	0	0	55	0	0	0	0	0	1	0	0	3	0	0	0	1	0	0	0	0	0	0	0	15	0
9633	14177	"Clara Bog"	53.318794	-7.63632	552	"AWI"	552	5861	6283	6100	12	1	0	0	1	0	0	62	0	0	0	0	0	1	0	0	4	0	0	0	13	0	0	0	0	0	0	0	7	0
9633	14177	"Clara Bog"	53.318794	-7.63632	556	"AWI"	556	5893	6346	6134	1	1	0	0	4	0	0	53	1	0	0	0	0	1	0	0	9	0	0	0	13	0	0	0	1	0	0	0	9	0
9633	14177	"Clara Bog"	53.318794	-7.63632	560	"AWI"	560	5919	6428	6169	9	1	0	0	4	0	0	46	11	0	0	0	0	13	0	0	7	0	0	6	8	0	0	0	1	0	0	0	16	0
9633	14177	"Clara Bog"	53.318794	-7.63632	564	"AWI"	564	5935	6519	6200	13	1	0	0	3	0	0	52	2	0	0	0	0	1	0	0	5	0	0	0	9	0	0	0	0	0	0	0	15	0
9633	14177	"Clara Bog"	53.318794	-7.63632	568	"AWI"	568	5951	6616	6232	13	0	0	0	4	0	0	56	2	0	0	0	0	1	0	0	6	0	0	0	11	0	0	0	0	0	0	0	8	0
9633	14177	"Clara Bog"	53.318794	-7.63632	576	"AWI"	576	6046	6731	6338	11	1	0	0	3	0	0	56	1	0	0	0	0	12	0	0	8	0	0	0	1	0	0	0	0	0	0	0	12	0
9633	14177	"Clara Bog"	53.318794	-7.63632	584	"AWI"	584	6125	6833	6472	9	0	0	0	5	0	0	54	1	0	0	0	0	1	0	0	7	0	0	0	8	0	0	0	1	0	0	0	14	0
9633	14177	"Clara Bog"	53.318794	-7.63632	592	"AWI"	592	6172	6988	6599	6	0	0	0	3	0	0	53	0	0	0	0	0	13	0	0	8	0	0	0	13	0	0	0	0	0	0	0	12	0
9633	14177	"Clara Bog"	53.318794	-7.63632	608	"AWI"	608	6413	7252	6846	4	0	0	0	4	0	0	55	1	0	0	0	0	12	0	0	8	0	0	0	9	0	0	0	0	0	0	0	15	0
9633	14177	"Clara Bog"	53.318794	-7.63632	624	"AWI"	624	6817	7353	7111	2	0	0	0	1	0	0	52	1	0	0	0	0	1	0	0	9	0	0	0	7	0	0	0	1	0	0	0	13	0
9633	14177	"Clara Bog"	53.318794	-7.63632	640	"AWI"	640	7010	7604	7345	1	0	0	0	8	0	0	53	2	8	0	0	0	6	0	0	8	0	0	0	1	0	0	0	0	0	0	0	12	0
9633	14177	"Clara Bog"	53.318794	-7.63632	656	"AWI"	656	7120	8026	7519	0	0	0	0	5	0	0	25	1	0	0	0	0	9	0	0	16	0	0	0	5	0	0	0	1	0	0	0	7	0
9633	14177	"Clara Bog"	53.318794	-7.63632	672	"AWI"	672	7242	8384	7711	0	0	0	0	2	0	0	29	1	0	0	0	0	18	0	0	24	0	0	0	1	0	0	0	1	0	0	0	6	0
9633	14177	"Clara Bog"	53.318794	-7.63632	688	"AWI"	688	7383	8599	7933	0	0	0	0	1	0	0	17	24	0	0	0	0	18	0	0	39	0	0	0	4	0	0	1	1	0	0	0	8	0
9633	14177	"Clara Bog"	53.318794	-7.63632	704	"AWI"	704	7533	8838	8150	0	0	0	0	2	0	0	23	16	0	0	0	0	18	0	1	52	0	0	0	6	0	0	0	1	0	0	0	3	0
9633	14177	"Clara Bog"	53.318794	-7.63632	720	"AWI"	720	7708	8971	8404	0	0	0	0	2	0	0	38	3	0	0	0	0	15	0	0	38	0	0	0	5	0	0	0	0	0	0	0	5	0
9633	14177	"Clara Bog"	53.318794	-7.63632	736	"AWI"	736	7932	9144	8619	0	0	0	0	2	0	0	27	23	0	0	0	0	15	0	0	43	0	0	0	6	0	0	0	1	0	0	0	4	0
9633	14177	"Clara Bog"	53.318794	-7.63632	752	"AWI"	752	8188	9243	8831	0	0	0	0	3	0	0	31	9	0	0	0	0	13	0	0	38	0	0	0	3	0	0	0	1	0	0	0	4	0
9633	14177	"Clara Bog"	53.318794	-7.63632	769	"AWI"	769	8498	9369	9029	0	0	0	0	3	0	0	57	0	0	0	0	0	13	0	0	25	0	0	0	0	0	0	0	0	0	0	0	5	0
9633	14177	"Clara Bog"	53.318794	-7.63632	784	"AWI"	784	8906	9429	9200	0	0	0	0	2	0	0	32	1	0	0	0	0	11	0	0	35	0	0	0	2	0	0	0	0	0	0	0	5	0
9633	14177	"Clara Bog"	53.318794	-7.63632	800	"AWI"	800	9148	9661	9433	0	0	0	0	2	0	0	28	1	0	0	0	0	5	0	0	28	0	0	0	1	0	0	0	1	0	0	0	7	0
9633	14177	"Clara Bog"	53.318794	-7.63632	816	"AWI"	816	9259	10095	9704	0	0	0	0	1	0	0	58	2	4	0	0	0	25	0	0	15	0	0	0	0	0	0	0	1	0	0	0	1	0
9633	14177	"Clara Bog"	53.318794	-7.63632	832	"AWI"	832	9544	10380	9968	0	0	0	0	2	0	0	56	9	0	0	0	0	7	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	848	"AWI"	848	10010	10471	10229	0	0	0	0	9	0	0	37	4	0	0	0	0	24	0	0	23	0	0	0	0	0	0	0	5	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	856	"AWI"	856	10192	10580	10359	0	0	0	0	27	0	0	7	5	2	0	0	0	6	0	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	863	"AWI"	863	10244	10682	10451	0	0	0	0	45	0	0	0	5	0	0	0	0	10	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	872	"AWI"	872	10295	10872	10558	0	0	0	0	53	0	0	0	7	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	880	"AWI"	880	10315	11072	10646	0	0	0	0	4	0	0	0	9	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	896	"AWI"	896	10452	11340	10837	0	0	0	0	2	0	0	1	2	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	912	"AWI"	912	10581	11521	11056	0	0	0	0	16	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	928	"AWI"	928	10827	11674	11240	0	0	0	0	11	0	0	0	16	0	0	0	0	18	21	0	0	0	0	0	0	0	0	0	28	0	0	1	0	0
9633	14177	"Clara Bog"	53.318794	-7.63632	944	"AWI"	944	11150	11794	11419	0	0	1	0	13	0	1	0	24	0	0	0	0	13	2	0	2	0	0	0	0	0	0	1	2	1	0	0	1	0
