"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	0	"AWI"	0	-130	38	-42	0	0	0	0	4	0	10	0	0	0	0	0	0	26	0	0	0	0	17	7	0	0	1	0	0	26	0	0	0	1	125	15	2	0	1	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	3	"AWI"	3	-98	129	1	38	0	3	0	2	0	28	0	1	0	0	0	57	111	0	3	0	1	24	2	0	0	7	15	0	220	12	0	38	0	0	9	0	1	0	0	1	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	20	"AWI"	20	8	728	250	23	1	1	0	2	0	22	0	1	0	0	0	44	79	0	1	0	1	11	3	0	0	6	0	0	145	12	0	0	0	0	9	0	1	0	0	1	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	40	"AWI"	40	202	1189	585	24	0	0	0	2	0	34	0	0	0	0	0	43	131	0	3	0	1	23	3	0	0	8	19	0	189	18	0	0	1	0	13	0	0	0	0	4	4
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	60	"AWI"	60	434	1614	924	29	0	1	0	1	0	36	0	2	0	0	0	57	78	0	3	0	0	29	2	0	0	4	0	0	107	41	0	0	1	0	12	0	0	0	0	4	1
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	80	"AWI"	80	699	2005	1253	25	0	0	0	1	0	44	0	0	4	0	0	55	49	0	4	0	1	13	1	0	0	5	0	0	139	18	0	0	0	0	14	0	2	0	0	3	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	98	"AWI"	98	962	2316	1566	30	0	0	0	1	0	44	0	0	0	0	0	81	48	0	14	0	0	22	2	0	0	7	0	0	122	72	0	21	0	0	10	0	2	0	0	6	5
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	120	"AWI"	120	1263	2714	1941	52	0	1	0	1	0	71	0	0	0	0	0	155	40	0	7	0	0	22	3	0	0	13	0	0	110	57	0	0	0	0	22	0	12	0	0	11	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	140	"AWI"	140	1583	3049	2263	26	0	3	0	2	0	43	0	0	0	0	0	115	51	0	5	0	1	27	3	0	0	5	0	0	122	44	0	10	0	0	15	0	2	0	0	6	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	160	"AWI"	160	1879	3377	2603	43	0	0	0	0	0	57	0	0	0	0	0	134	78	0	3	0	1	18	4	0	0	6	13	0	105	52	0	0	0	0	11	0	3	0	0	5	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	180	"AWI"	180	2211	3681	2935	34	0	0	1	1	0	33	0	1	0	0	0	90	51	0	13	0	0	19	2	0	0	5	0	0	78	39	0	0	0	0	9	0	1	0	0	5	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	200	"AWI"	200	2545	3987	3264	49	0	2	2	1	0	69	0	2	0	0	0	112	48	0	5	0	1	20	1	0	0	10	0	0	106	80	0	15	0	0	10	0	2	0	0	11	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	220	"AWI"	220	2915	4275	3604	43	0	2	0	1	0	42	0	0	0	0	0	113	67	0	17	0	0	28	7	0	0	16	0	0	111	99	0	15	0	0	16	0	0	0	0	7	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	240	"AWI"	240	3282	4553	3932	69	0	1	3	0	0	26	0	1	0	1	0	108	64	73	5	0	0	26	3	0	0	15	0	0	92	94	0	8	0	0	12	1	0	0	1	6	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	260	"AWI"	260	3681	4854	4264	57	0	1	0	0	0	38	1	0	0	0	0	85	47	0	4	0	0	16	4	0	0	24	0	0	91	96	0	7	0	0	16	0	0	0	0	12	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	280	"AWI"	280	4132	5136	4588	46	0	0	0	2	0	24	0	0	0	0	0	72	31	0	1	0	0	14	3	1	0	12	0	0	66	82	0	0	0	0	6	0	0	0	0	8	1
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	298	"AWI"	298	4656	5433	4914	81	0	1	0	0	0	47	1	0	0	0	0	168	47	68	12	0	0	21	7	0	0	53	0	0	70	210	0	0	0	0	8	0	0	0	0	12	1
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	310	"AWI"	310	4845	6294	5339	71	1	1	0	2	0	36	0	3	0	0	0	106	4	0	4	0	1	24	4	0	0	236	0	0	19	96	0	0	0	0	7	0	0	0	0	39	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	330	"AWI"	330	5293	7362	6136	90	0	0	1	0	0	51	0	2	0	0	0	137	31	0	0	0	2	27	0	0	0	129	0	0	41	143	0	0	0	0	8	0	0	0	0	26	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	350	"AWI"	350	5840	8328	6951	58	0	3	0	0	0	51	0	1	0	0	1	123	29	0	0	0	0	19	1	0	0	116	0	0	38	136	0	8	0	0	7	0	0	0	0	51	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	370	"AWI"	370	6558	9206	7801	48	0	2	2	0	0	28	0	0	0	0	0	83	13	0	0	0	1	16	0	0	0	134	0	0	22	59	0	0	0	0	7	0	0	0	0	27	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	390	"AWI"	390	7304	9966	8627	15	0	2	2	0	0	38	0	0	0	0	0	153	21	0	0	0	0	21	4	0	0	222	0	0	20	88	0	0	0	0	11	0	0	1	0	52	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	410	"AWI"	410	8082	10727	9453	0	0	0	0	0	0	20	0	0	0	0	0	96	29	0	0	0	0	25	7	0	0	137	0	0	19	58	0	0	0	0	13	0	0	0	0	15	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	430	"AWI"	430	8960	11416	10279	0	0	0	0	0	0	55	1	0	0	0	0	166	33	11	0	0	0	30	2	0	0	190	0	0	24	89	0	0	0	0	28	0	0	0	0	32	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	440	"AWI"	440	9410	11694	10696	0	1	1	1	0	0	55	0	0	0	0	0	149	11	10	0	0	0	19	1	0	0	141	0	0	15	49	0	0	0	0	7	0	0	0	0	27	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	450	"AWI"	450	9859	11956	11107	0	1	0	0	1	0	57	0	0	0	0	0	147	13	0	0	0	0	23	0	0	0	207	0	0	39	37	0	0	0	0	21	0	0	0	0	12	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	460	"AWI"	460	10377	12242	11494	0	0	0	0	0	0	52	1	0	0	0	0	165	14	0	1	0	0	17	4	0	0	88	0	0	51	14	0	0	0	0	23	0	0	0	0	3	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	470	"AWI"	470	10916	12474	11893	0	0	0	0	1	0	154	1	0	0	0	0	27	41	7	0	0	0	30	22	0	0	31	0	0	138	7	0	0	0	24	76	1	0	0	0	1	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	484	"AWI"	484	11968	12700	12472	0	0	1	0	1	0	66	0	0	0	0	0	1	31	0	1	0	0	11	198	0	1	8	0	0	49	2	0	0	0	0	26	0	0	0	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	490	"AWI"	490	12174	13148	12705	0	1	3	0	10	0	18	7	0	0	6	0	0	121	0	0	0	0	22	8	0	1	16	0	0	104	0	0	0	0	126	24	0	0	4	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	503	"AWI"	503	12824	13625	13247	0	0	1	0	15	0	20	2	0	0	2	0	0	57	0	0	0	0	22	1	0	0	16	0	1	96	0	0	0	0	0	13	2	0	7	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	510	"AWI"	510	13249	13791	13544	1	0	4	0	20	0	20	5	0	0	9	0	5	107	0	0	0	0	19	0	0	0	13	0	0	157	0	3	0	1	0	32	1	0	4	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	520	"AWI"	520	13402	14298	13770	0	2	9	0	25	0	30	11	0	0	7	0	3	119	0	0	0	0	19	3	0	3	13	0	1	217	2	0	0	0	0	35	0	0	10	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	530	"AWI"	530	13578	14593	14026	0	1	14	0	4	0	10	6	0	0	6	0	3	112	31	0	0	0	19	3	0	2	9	0	0	194	0	0	0	1	0	28	1	0	1	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	550	"AWI"	550	13961	15123	14534	0	0	4	0	3	0	22	15	0	0	1	0	0	155	16	0	0	0	11	11	0	0	12	0	0	139	1	0	0	1	0	9	1	0	5	0	1	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	560	"AWI"	560	14195	15342	14785	0	1	10	0	2	0	18	1	0	0	0	0	1	72	0	0	1	0	8	11	0	0	3	0	0	156	1	0	0	0	0	9	0	0	1	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	570	"AWI"	570	14475	15556	15039	0	0	4	0	2	0	5	0	0	0	1	0	0	36	0	0	0	0	23	14	0	1	7	0	0	44	0	0	0	0	0	10	1	0	2	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	580	"AWI"	580	14852	15769	15264	0	0	0	0	1	0	2	0	0	0	0	0	0	22	0	0	0	0	5	3	0	0	1	0	0	26	0	0	0	1	0	4	0	0	0	0	0	0
9817	14523	"Lough Anaffrin"	53.952636	-9.72362	590	"AWI"	590	15051	16564	15608	0	0	3	0	3	0	9	1	0	0	2	0	0	76	0	0	0	0	12	27	0	0	7	0	0	44	0	0	0	0	63	4	3	0	2	0	0	0
