"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juniperus"	"Larix"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	1	"AWI"	1	-145	16	-57	1	172	0	0	0	1	0	12	0	0	0	10	0	0	86	4	11	0	2	0	1	0	6	0	1	50	7	0	0	0	0	0	0	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	6	"AWI"	6	-104	102	-8	0	216	3	0	1	0	0	28	0	0	0	63	23	1	7	0	1	0	0	0	4	11	2	60	0	14	2	0	0	7	1	0	7	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	12	"AWI"	12	-56	209	52	0	195	0	0	1	0	0	19	0	2	0	25	0	0	7	0	7	0	0	0	2	0	1	32	0	19	1	0	0	1	2	1	0	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	16	"AWI"	16	-16	231	100	0	222	4	1	0	0	0	13	0	0	0	93	13	0	0	0	0	0	1	0	0	32	2	0	0	26	0	0	0	0	6	0	14	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	24	"AWI"	24	63	306	199	0	171	0	0	1	0	0	6	0	0	0	79	1	0	0	0	0	0	6	0	0	13	0	11	0	80	2	0	0	0	1	0	17	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	28	"AWI"	28	96	366	256	0	171	7	0	1	0	0	26	0	0	0	122	215	1	0	0	1	0	1	0	0	40	6	0	0	21	0	0	1	6	2	0	22	1
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	30	"AWI"	30	109	404	279	0	179	0	0	0	1	0	15	0	0	0	104	19	1	0	0	1	0	2	0	0	31	5	0	0	21	3	0	0	2	0	0	13	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	36	"AWI"	36	318	482	409	0	181	0	1	2	0	0	15	1	0	0	84	10	0	4	0	1	0	3	0	0	13	5	21	0	38	2	0	0	0	0	0	12	1
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	42	"AWI"	42	575	802	680	0	165	1	0	0	2	0	24	0	0	0	97	20	0	0	0	3	0	3	0	0	21	3	48	0	16	1	0	2	4	0	0	3	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	48	"AWI"	48	1148	1337	1238	0	0	4	0	1	1	0	16	1	0	0	7	240	4	0	0	10	0	5	0	0	9	0	27	0	5	2	0	0	7	0	0	0	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	54	"AWI"	54	1764	2786	2448	0	0	13	0	5	0	0	15	0	0	1	0	870	0	0	0	0	0	2	0	0	16	2	47	0	12	9	0	3	6	0	0	0	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	60	"AWI"	60	2311	4791	3984	0	0	10	0	5	1	0	25	0	0	0	0	398	0	0	0	0	0	1	0	0	8	0	0	0	10	0	0	1	3	1	0	0	1
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	66	"AWI"	66	4839	5042	4908	0	0	0	0	6	0	0	58	0	0	0	0	205	1	0	0	0	0	0	0	0	5	1	0	0	2	0	0	0	6	0	0	0	1
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	72	"AWI"	72	5110	6915	5751	0	0	0	0	0	0	0	50	0	0	0	0	137	7	0	0	0	3	0	2	0	1	0	0	0	3	0	0	3	5	0	0	0	0
9835	14558	"Kilcurley Wood"	53.390606	-7.662552	80	"AWI"	80	5340	8926	6471	0	0	0	0	0	0	0	34	0	0	0	2	79	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	9	0	0	0	2
