"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13338	19913	"Abborrtjärnen"	63.88333	14.45	648	"AWI"	648	-135	28	-53	0	25	2	0	6	0	268	0	1	0	0	0	2	0	7	0	0	0	1	0	0	0	0	1	20	0	0	0	0	0	0	581	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	4	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	650	"AWI"	650	-91	166	9	0	51	0	1	1	0	294	0	1	0	0	0	3	0	20	0	0	0	0	0	0	0	0	4	43	0	0	0	0	0	0	541	0	0	0	1	0	0	0	0	0	0	11	1	0	0	0	0	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	652	"AWI"	652	-69	370	64	0	68	0	0	1	0	284	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	606	0	31	0	9	0	1	0	0	0	0	2	5	1	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	654	"AWI"	654	-36	497	133	0	42	0	0	3	0	253	0	1	0	0	0	4	0	13	0	0	0	0	0	0	0	1	2	39	0	0	0	1	0	0	609	0	26	0	0	0	2	0	0	0	0	4	9	0	0	0	0	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	656	"AWI"	656	-1	586	209	0	40	0	1	1	0	258	1	1	0	0	0	1	0	16	0	0	0	0	0	0	0	0	1	30	0	0	0	0	0	0	696	0	14	0	1	0	2	0	0	0	0	2	6	1	0	0	2	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	658	"AWI"	658	23	761	276	0	37	0	0	2	0	212	0	1	0	0	0	1	0	20	0	0	0	1	0	0	0	0	4	28	0	0	0	0	0	218	567	0	0	0	1	0	0	0	0	0	0	4	4	0	0	0	1	1	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	660	"AWI"	660	87	816	357	0	46	0	0	0	0	194	0	0	0	0	0	3	0	20	0	0	0	2	0	0	0	0	2	12	0	0	0	0	0	0	590	0	0	0	0	0	2	0	0	0	0	2	4	0	0	0	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	664	"AWI"	664	170	950	505	0	32	1	0	0	0	200	0	1	0	0	0	0	0	12	0	0	0	0	0	2	0	0	1	15	0	0	0	0	0	0	574	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	668	"AWI"	668	258	1083	651	0	45	1	0	2	0	204	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	1	11	0	0	3	1	0	0	648	0	0	0	1	0	2	0	0	0	0	0	3	0	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	672	"AWI"	672	379	1176	789	0	27	0	0	1	0	206	0	0	0	0	0	0	0	9	0	0	0	0	0	1	0	0	0	20	0	0	0	0	0	254	637	0	0	0	1	0	1	0	0	0	0	1	5	0	0	0	0	2	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	676	"AWI"	676	533	1274	928	0	26	0	0	2	0	220	0	0	0	0	0	1	0	11	0	0	0	1	0	0	0	0	1	12	0	0	0	0	0	0	735	0	0	0	5	0	3	0	0	0	0	1	2	1	0	0	3	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	680	"AWI"	680	677	1371	1069	0	38	0	0	1	0	237	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	0	2	15	0	0	0	0	0	179	626	0	0	0	0	0	2	0	0	0	0	4	4	1	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	684	"AWI"	684	821	1465	1208	0	23	0	0	0	0	234	0	0	0	0	0	2	0	9	0	0	0	0	0	0	0	0	4	12	0	0	0	0	0	0	566	0	17	0	0	0	7	0	0	0	0	0	0	1	0	0	2	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	688	"AWI"	688	980	1545	1346	0	22	0	0	0	0	199	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	215	608	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	692	"AWI"	692	1330	1605	1463	0	28	0	0	2	0	289	0	0	0	0	0	6	0	13	0	0	0	0	0	0	0	0	3	14	0	0	0	0	0	0	549	0	0	0	1	0	5	0	0	0	0	0	7	2	0	0	1	0	0
13338	19913	"Abborrtjärnen"	63.88333	14.45	696	"AWI"	696	1429	1705	1557	0	48	0	0	3	0	275	0	0	0	0	0	2	0	23	0	0	0	0	0	0	0	0	1	14	0	0	0	1	0	0	381	0	0	0	0	0	4	0	0	0	0	1	4	0	0	0	2	0	0
