"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13387	20029	"Lake Hopseidet"	70.83333	27.71667	0	"AWI"	0	-122	43	-41	4	0	0	1	0	191	0	0	0	1	50	21	0	0	0	0	0	0	0	1	71	1	53	0	0	0	0	0	0	0	11	12	0	0	7	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	4	"AWI"	4	-37	692	177	6	0	0	1	0	159	0	0	0	0	53	22	0	0	0	0	0	0	0	4	89	0	57	0	0	0	0	0	0	1	6	11	0	0	1	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	8	"AWI"	8	69	1117	435	4	1	0	1	0	154	0	0	0	0	46	16	0	0	0	0	0	1	0	5	94	0	59	0	0	0	0	0	0	2	3	5	0	0	0	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	12	"AWI"	12	209	1517	695	7	0	0	0	0	239	0	0	0	1	59	22	0	0	0	0	0	0	0	3	106	0	55	0	0	0	0	0	0	0	13	8	0	0	5	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	16	"AWI"	16	346	1874	960	6	0	0	4	0	256	0	0	0	2	38	20	0	0	0	0	0	0	0	2	116	0	38	0	0	0	0	0	0	0	6	6	0	0	6	1	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	20	"AWI"	20	486	2204	1220	9	0	0	5	0	217	0	0	0	3	50	24	0	0	0	0	0	0	0	1	104	0	39	0	0	0	0	0	0	0	7	11	0	0	6	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	24	"AWI"	24	697	2492	1487	2	1	0	2	0	181	0	0	0	1	37	22	0	0	0	0	0	0	0	5	184	0	40	0	0	0	0	0	0	0	11	11	0	0	7	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	28	"AWI"	28	902	2745	1735	16	0	0	0	0	194	2	0	0	0	49	26	0	0	0	0	0	0	0	5	149	0	46	0	0	0	0	0	0	0	5	6	1	0	2	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	32	"AWI"	32	1111	3006	1999	6	0	0	2	0	246	0	0	0	1	49	25	0	0	0	0	0	0	0	3	135	0	38	0	0	0	0	0	0	0	6	8	0	0	4	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	36	"AWI"	36	1328	3263	2270	5	0	0	1	0	198	2	0	0	1	67	21	1	0	0	0	1	0	0	6	108	0	32	0	0	0	0	0	0	0	9	11	0	0	5	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	40	"AWI"	40	1524	3526	2532	10	0	0	2	0	244	0	0	0	0	52	35	0	0	0	0	0	0	1	2	115	0	39	0	0	0	0	0	0	0	17	14	0	0	7	1	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	44	"AWI"	44	1818	3739	2794	9	0	0	0	0	232	0	0	0	0	32	31	0	0	0	0	0	0	0	2	158	0	35	0	0	0	2	0	0	0	7	5	0	0	3	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	48	"AWI"	48	2102	3948	3060	6	2	0	1	0	185	2	0	0	2	25	26	0	0	0	0	0	0	0	2	175	0	58	0	0	0	0	0	0	0	7	2	0	0	5	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	52	"AWI"	52	2359	4185	3334	11	0	0	2	0	214	5	0	0	3	48	25	0	0	0	1	0	0	0	2	143	0	45	0	0	0	0	0	0	0	10	5	0	0	6	1	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	56	"AWI"	56	2643	4406	3602	14	0	0	0	0	230	0	0	0	3	36	34	0	0	0	1	1	1	0	3	104	0	32	1	0	0	0	0	0	0	3	3	1	0	7	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	60	"AWI"	60	2913	4631	3871	12	0	0	1	0	205	0	0	0	0	36	31	0	1	0	0	1	0	0	4	152	0	41	1	0	1	0	0	0	0	4	4	0	0	7	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	64	"AWI"	64	3237	4778	4136	6	0	0	2	0	243	0	0	0	0	50	34	0	0	0	0	0	0	0	4	115	0	32	0	0	0	0	0	0	0	3	4	0	0	3	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	68	"AWI"	68	3615	4946	4386	11	1	0	0	0	200	0	0	0	0	52	39	0	0	0	0	0	0	0	1	103	0	45	0	0	0	0	0	0	0	2	6	0	0	5	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	72	"AWI"	72	4006	5099	4631	16	0	0	0	0	209	0	0	0	1	14	23	0	0	0	0	0	0	0	0	127	0	36	0	0	0	0	0	0	1	2	2	0	0	3	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	76	"AWI"	76	4380	5253	4870	17	0	0	1	0	207	0	0	0	2	24	39	0	0	0	0	0	0	0	1	171	0	40	0	0	0	0	0	0	0	1	5	0	0	5	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	80	"AWI"	80	4636	5520	5086	13	0	0	1	0	219	5	0	0	0	18	58	0	0	0	0	0	0	0	0	161	0	26	1	0	0	0	0	0	0	6	2	0	0	2	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	84	"AWI"	84	4789	5786	5279	16	1	0	1	0	159	2	0	0	0	28	40	0	0	0	0	0	1	0	1	113	0	27	0	0	0	0	0	0	0	1	5	0	0	1	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	88	"AWI"	88	4963	6019	5470	12	0	0	0	0	207	0	0	0	0	23	38	0	0	0	0	0	0	0	1	159	0	35	0	0	0	0	0	0	0	3	1	0	0	2	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	92	"AWI"	92	5107	6240	5667	24	0	0	2	0	181	0	0	0	1	39	54	0	0	0	0	0	1	0	2	181	0	21	1	0	0	0	0	0	0	5	4	0	0	2	0	2	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	96	"AWI"	96	5272	6465	5863	23	0	0	2	0	223	0	0	0	1	22	60	0	0	0	0	0	0	0	0	165	0	40	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	100	"AWI"	100	5419	6676	6056	21	1	0	2	0	163	2	0	0	0	14	32	0	0	0	0	0	1	0	1	119	0	24	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	104	"AWI"	104	5603	6829	6259	14	0	0	0	0	189	0	0	0	0	13	46	0	0	0	0	0	0	0	0	130	0	20	0	0	0	0	0	0	0	2	3	0	1	1	0	2	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	108	"AWI"	108	5828	6991	6462	24	0	0	1	0	230	0	0	0	1	16	45	0	0	0	0	1	0	0	0	171	0	24	0	0	0	0	0	0	0	3	3	0	1	2	0	4	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	112	"AWI"	112	6039	7147	6658	28	0	0	0	0	285	0	0	0	3	22	30	0	0	0	0	0	0	0	1	105	0	32	0	0	0	0	0	0	0	0	6	1	0	0	0	3	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	116	"AWI"	116	6252	7283	6855	12	1	0	1	0	206	0	0	0	1	18	26	0	0	0	0	0	0	0	0	136	0	19	0	0	0	0	0	0	0	3	3	0	0	0	0	2	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	120	"AWI"	120	6494	7424	7055	13	1	0	0	0	195	0	0	0	0	15	25	0	1	0	1	1	1	0	0	230	0	27	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	124	"AWI"	124	6844	7518	7229	19	0	0	0	0	255	0	0	0	0	12	12	0	0	0	0	0	0	0	0	156	0	22	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	128	"AWI"	128	7161	7664	7418	21	0	0	0	0	256	0	0	0	0	20	11	0	0	0	0	0	0	0	0	157	0	30	0	0	0	0	0	0	0	5	2	0	0	0	0	2	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	132	"AWI"	132	7329	8001	7629	18	0	0	0	0	207	0	0	0	0	27	16	0	0	0	0	0	0	0	0	183	0	51	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	136	"AWI"	136	7447	8475	7847	27	0	0	0	0	240	0	0	0	3	25	11	0	0	0	0	0	0	0	0	158	0	40	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	140	"AWI"	140	7570	8836	8088	19	0	0	0	0	253	0	0	1	0	21	5	0	0	1	0	0	0	0	0	180	0	22	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	144	"AWI"	144	7729	9114	8334	32	0	0	0	0	190	0	0	0	0	25	4	0	0	0	0	0	0	0	1	203	0	34	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	148	"AWI"	148	7922	9373	8573	23	0	0	0	0	247	0	0	0	0	9	15	0	0	0	0	1	0	0	1	174	0	37	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	152	"AWI"	152	8114	9635	8812	24	1	0	0	0	239	0	0	0	0	13	3	0	0	0	0	0	0	0	1	187	0	29	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
13387	20029	"Lake Hopseidet"	70.83333	27.71667	156	"AWI"	156	8309	9882	9057	24	0	0	0	0	267	0	0	0	0	12	9	0	0	0	0	1	0	0	0	163	0	43	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	160	"AWI"	160	8492	10120	9295	26	1	0	0	0	212	0	0	0	0	13	4	0	0	0	0	0	0	0	3	214	0	38	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	164	"AWI"	164	8747	10335	9537	22	0	0	0	0	292	0	0	0	0	7	7	0	0	0	0	1	0	0	1	156	0	44	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	168	"AWI"	168	9015	10543	9773	16	1	0	0	0	294	0	0	0	0	11	7	0	0	0	0	0	1	0	0	145	0	45	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	172	"AWI"	172	9278	10737	10001	14	0	0	0	0	238	0	0	0	0	2	5	0	0	0	0	0	2	0	1	168	0	51	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	176	"AWI"	176	9568	10915	10235	13	0	0	2	0	236	0	0	0	0	5	2	0	0	0	0	0	0	0	0	189	0	49	0	0	1	0	0	0	0	1	2	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	180	"AWI"	180	9886	11086	10462	7	0	0	0	0	220	0	0	0	0	7	3	0	0	0	0	0	0	0	0	97	0	33	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0
13387	20029	"Lake Hopseidet"	70.83333	27.71667	184	"AWI"	184	10309	11322	10739	10	0	0	0	0	255	0	0	0	0	4	5	0	0	0	0	0	1	0	1	87	0	52	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
