"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13396	20060	"Sandvikvatn"	59.283448	5.493056	1350	"AWI"	1350	797	1686	1320	33	0	0	0	0	0	103	0	0	0	0	35	0	1	27	0	35	0	0	0	0	0	1	4	0	0	0	2	10	9	0	0	0	4	120	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1355	"AWI"	1355	910	1784	1434	46	0	0	0	0	0	101	0	0	0	0	0	0	1	30	0	50	0	0	0	0	1	1	4	0	0	0	0	13	10	0	0	0	1	119	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	2	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1360	"AWI"	1360	998	1968	1538	45	0	0	1	0	0	121	0	0	0	0	0	0	0	48	0	52	0	0	0	0	0	0	0	0	0	0	1	15	7	0	0	0	1	100	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1365	"AWI"	1365	1144	2047	1652	39	1	1	0	0	0	102	0	0	0	0	1	0	0	41	0	75	0	0	0	0	0	1	0	0	0	0	4	13	8	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1375	"AWI"	1375	1373	2242	1871	41	0	1	0	0	0	97	0	0	0	0	0	0	0	33	0	58	0	0	0	0	0	1	0	0	0	0	5	6	7	0	0	0	1	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1380	"AWI"	1380	1460	2340	1980	54	0	1	0	0	0	89	0	0	0	0	0	0	0	39	1	41	0	0	0	0	0	0	1	0	0	0	1	12	3	1	0	0	1	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1
13396	20060	"Sandvikvatn"	59.283448	5.493056	1385	"AWI"	1385	1653	2384	2090	41	0	1	0	0	0	103	0	0	0	0	0	0	0	29	0	43	0	0	0	0	0	0	1	0	0	0	4	11	3	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1390	"AWI"	1390	1754	2484	2213	58	1	0	0	0	0	113	0	0	0	0	0	0	0	37	1	54	0	0	0	0	0	0	0	0	0	0	5	6	3	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1395	"AWI"	1395	1959	2522	2304	54	1	1	0	0	0	137	0	0	0	0	0	0	0	54	0	29	0	0	0	0	3	0	1	0	0	0	2	7	6	0	0	0	1	129	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	3	0	1
13396	20060	"Sandvikvatn"	59.283448	5.493056	1400	"AWI"	1400	2082	2602	2398	36	0	0	0	0	0	131	0	0	0	0	0	0	0	48	0	27	0	0	0	0	0	2	2	0	0	0	3	6	2	0	0	0	1	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1405	"AWI"	1405	2152	2635	2447	67	0	1	1	0	0	182	0	1	0	0	0	0	0	70	0	27	0	0	0	0	0	1	4	0	0	0	4	2	5	0	0	0	1	166	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	3	0	0
