"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Frangula"	"Gentianaceae"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liriodendron"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
13444	20160	"Notsel"	51.55417	4.76944	92	"AWI"	92	11523	12031	11783	0	0	28	0	0	2	0	25	0	0	3	0	0	0	0	87	19	0	0	0	0	0	0	0	0	0	0	0	2	42	0	27	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	94	"AWI"	94	11592	12082	11843	0	1	19	0	1	1	0	31	0	0	0	0	0	0	1	83	21	0	1	0	0	0	0	0	0	0	0	0	2	45	0	27	0	0	0	0	1	0	2	0	0	0	0	3	0	1	0
13444	20160	"Notsel"	51.55417	4.76944	107	"AWI"	107	11807	12675	12221	0	0	22	0	1	1	0	37	0	0	0	0	0	0	1	127	10	0	0	0	0	0	0	0	1	0	0	0	1	36	0	36	0	0	1	0	0	0	3	0	6	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	110	"AWI"	110	11964	12705	12309	0	0	13	0	0	3	0	44	0	0	0	0	1	0	0	74	8	0	0	0	0	0	0	0	0	0	0	0	2	39	0	30	0	0	0	2	0	0	0	0	8	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	113	"AWI"	113	12095	12745	12402	1	0	10	1	1	2	0	27	0	0	0	0	2	0	2	98	14	0	0	0	0	0	0	0	0	0	0	0	5	48	0	35	0	0	0	1	0	0	3	0	5	0	0	2	0	1	0
13444	20160	"Notsel"	51.55417	4.76944	121	"AWI"	121	12346	12928	12665	0	0	14	0	0	0	0	22	0	0	0	0	0	0	0	54	16	0	0	0	0	0	0	0	0	0	0	0	2	54	0	37	0	0	0	1	0	0	1	0	3	0	0	1	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	124	"AWI"	124	12467	12982	12734	0	0	15	0	0	3	0	15	0	0	0	0	0	0	0	51	13	0	0	0	0	0	0	0	0	0	0	0	0	35	0	57	0	0	0	1	0	0	3	0	12	0	0	2	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	126	"AWI"	126	12571	12997	12772	0	0	2	0	0	2	2	33	1	0	0	0	0	0	2	108	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	28	0	0	0	4	0	0	0	0	94	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	127	"AWI"	127	12619	13007	12792	0	0	1	0	0	0	0	156	0	0	0	0	0	0	0	37	2	0	0	0	0	0	0	0	0	0	0	0	0	16	0	21	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0
13444	20160	"Notsel"	51.55417	4.76944	128	"AWI"	128	12666	13017	12812	0	0	1	0	0	6	0	27	1	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	91	0	0	0	0	0	0	2	0	7	0	0	1	0	0	0
