"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Grossulariaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Onagraceae"	"Orobanchaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14454	22623	"Wolbrom"	50.38333	19.76667	201	"AWI"	201	8816	9260	9052	0	27	0	0	0	1	0	0	0	1	0	0	0	0	106	93	0	0	0	0	0	9	0	0	0	0	0	0	0	0	7	549	0	36	0	0	2	36	0	0	0	5	0	0	0	0	0	2	13	34	0
14454	22623	"Wolbrom"	50.38333	19.76667	210	"AWI"	210	9071	9462	9292	0	21	1	0	0	3	0	0	0	3	0	1	0	0	113	79	0	0	0	0	0	4	0	0	0	0	1	0	0	0	19	608	0	36	0	0	1	24	0	0	0	7	0	0	0	0	0	1	11	39	0
14454	22623	"Wolbrom"	50.38333	19.76667	220	"AWI"	220	9161	9820	9557	0	3	0	0	0	1	0	0	0	0	0	0	0	0	61	62	0	1	0	0	0	4	0	0	0	0	0	0	0	0	13	574	0	17	0	0	2	19	0	0	0	4	0	0	0	1	0	0	13	21	1
14454	22623	"Wolbrom"	50.38333	19.76667	230	"AWI"	230	9519	9884	9709	1	4	1	0	0	4	0	0	0	1	0	0	0	0	69	94	0	0	0	0	2	5	0	0	0	0	0	0	0	0	13	570	0	28	0	0	4	10	0	0	0	3	0	0	0	0	0	0	11	28	0
14454	22623	"Wolbrom"	50.38333	19.76667	235	"AWI"	235	9606	9963	9795	0	3	0	0	0	0	0	54	0	0	0	0	0	0	21	137	0	0	0	0	0	1	0	0	0	0	0	0	0	0	8	703	0	25	0	0	0	1	0	0	0	2	0	0	0	0	0	0	7	9	1
14454	22623	"Wolbrom"	50.38333	19.76667	240	"AWI"	240	9662	10122	9874	0	1	0	0	0	1	0	37	0	1	0	0	0	0	27	119	0	0	0	0	0	1	0	0	0	0	0	0	0	0	25	588	0	12	0	0	0	2	0	0	1	4	0	0	0	0	0	0	2	21	0
14454	22623	"Wolbrom"	50.38333	19.76667	245	"AWI"	245	9715	10152	9915	0	2	0	0	0	3	0	0	0	0	0	0	0	0	10	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	561	0	21	0	0	0	1	0	0	0	3	0	0	0	0	0	1	1	22	0
14454	22623	"Wolbrom"	50.38333	19.76667	249	"AWI"	249	9747	10190	9950	0	0	1	0	0	0	0	0	0	0	0	0	0	0	17	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	591	0	19	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	22	0
14454	22623	"Wolbrom"	50.38333	19.76667	251	"AWI"	251	9760	10211	9969	0	4	0	0	0	2	0	0	0	2	0	0	0	0	11	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	662	0	12	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	20	0
14454	22623	"Wolbrom"	50.38333	19.76667	255	"AWI"	255	9781	10260	10001	0	0	1	0	0	1	0	0	0	1	0	0	0	0	6	105	0	0	0	0	0	1	0	0	0	0	0	0	0	0	28	512	0	23	0	0	0	3	0	0	1	3	0	0	0	0	0	0	1	23	0
14454	22623	"Wolbrom"	50.38333	19.76667	260	"AWI"	260	9807	10328	10043	0	1	0	0	0	3	0	0	0	7	0	0	0	0	9	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	609	0	27	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	28	1
14454	22623	"Wolbrom"	50.38333	19.76667	265	"AWI"	265	9864	10367	10093	0	0	0	0	0	0	0	59	0	1	0	0	0	0	1	232	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	735	0	33	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	20	1
14454	22623	"Wolbrom"	50.38333	19.76667	270	"AWI"	270	9903	10424	10140	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	36	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	395	0	23	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	21	0
14454	22623	"Wolbrom"	50.38333	19.76667	275	"AWI"	275	9927	10497	10182	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	642	0	37	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	21	0
14454	22623	"Wolbrom"	50.38333	19.76667	280	"AWI"	280	9949	10588	10219	0	1	0	0	0	1	0	0	0	0	1	0	0	0	2	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	622	0	75	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	12	0
14454	22623	"Wolbrom"	50.38333	19.76667	285	"AWI"	285	9996	10640	10261	0	0	0	0	0	0	0	36	0	0	0	0	0	0	3	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	525	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1
14454	22623	"Wolbrom"	50.38333	19.76667	290	"AWI"	290	10028	10710	10300	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	39	0	0	0	0	0	0	0	0	2	0	1	0	0	0	9	533	0	45	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	16	0
14454	22623	"Wolbrom"	50.38333	19.76667	295	"AWI"	295	10055	10794	10341	0	0	0	0	0	1	0	0	0	1	0	0	0	0	6	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	603	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
14454	22623	"Wolbrom"	50.38333	19.76667	299	"AWI"	299	10072	10870	10376	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	26	646	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
14454	22623	"Wolbrom"	50.38333	19.76667	301	"AWI"	301	10098	10891	10394	0	1	0	0	0	1	0	0	0	0	0	0	0	0	4	44	0	0	0	0	0	0	0	0	0	0	2	0	0	0	17	630	0	104	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	11	0
14454	22623	"Wolbrom"	50.38333	19.76667	305	"AWI"	305	10157	10929	10431	0	0	0	0	0	5	0	44	0	0	0	0	0	0	2	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	599	0	92	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	9	0
14454	22623	"Wolbrom"	50.38333	19.76667	315	"AWI"	315	10248	11035	10523	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	257	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0
14454	22623	"Wolbrom"	50.38333	19.76667	320	"AWI"	320	10293	11110	10577	0	1	2	0	0	1	0	89	0	1	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7	437	0	77	0	0	1	0	0	0	0	4	0	0	0	0	0	0	1	12	0
14454	22623	"Wolbrom"	50.38333	19.76667	325	"AWI"	325	10433	11164	10713	0	0	1	0	0	2	0	86	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	2	0	0	0	6	575	0	77	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	11	0
14454	22623	"Wolbrom"	50.38333	19.76667	330	"AWI"	330	10515	11242	10856	0	0	2	0	0	2	0	109	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	1	0	4	0	0	0	7	404	0	67	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0
