"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus.evg.type"	"Rumex"	"Salix"	"Scrophulariaceae"	"Ulmus"	"Vitaceae"
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	4	"AWI"	4	-128	57	-27	0	66	0	34	0	0	0	0	0	1	0	1	0	0	0	0	12	0	40	0	0	92	0	0	43	0	0	2	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	8	"AWI"	8	-112	127	-1	0	40	0	30	0	1	0	0	0	5	0	0	0	0	0	3	10	0	87	0	0	41	3	9	32	0	0	1	1	0	1	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	12	"AWI"	12	-87	180	30	0	46	0	23	0	0	0	0	0	2	0	5	0	0	0	0	13	2	99	1	0	49	5	0	44	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	20	"AWI"	20	-45	267	98	0	144	0	83	0	0	0	0	0	3	0	1	0	0	0	0	12	2	124	1	0	49	5	0	56	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	24	"AWI"	24	-5	289	134	0	76	2	80	0	1	0	0	0	1	0	3	0	1	1	0	24	0	122	0	0	54	4	0	38	0	0	5	1	0	0	1
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	28	"AWI"	28	20	322	170	0	67	0	42	0	0	0	0	0	1	0	1	0	0	0	1	10	0	68	0	0	48	0	0	46	0	0	0	0	0	1	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	32	"AWI"	32	47	355	203	0	50	1	47	0	0	0	0	0	0	0	0	2	0	0	6	35	0	52	0	0	64	2	0	0	0	0	7	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	36	"AWI"	36	74	377	238	0	27	0	47	0	1	0	0	0	2	0	6	0	0	0	0	39	1	52	0	0	58	0	0	53	0	0	0	3	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	40	"AWI"	40	93	410	271	2	108	0	143	0	0	4	0	0	0	0	0	0	1	0	1	42	0	31	1	0	94	1	0	48	0	0	1	1	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	44	"AWI"	44	143	425	300	1	78	0	70	0	0	0	0	0	1	0	0	0	0	0	0	36	0	27	0	0	93	1	0	48	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	47	"AWI"	47	160	441	325	0	59	1	73	0	0	0	0	0	0	0	2	0	5	0	0	47	0	34	0	0	108	2	0	32	0	0	0	0	0	0	1
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	48	"AWI"	48	164	449	334	1	54	0	64	0	1	0	0	0	0	0	2	0	1	0	0	35	0	23	0	2	135	1	0	41	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	50	"AWI"	50	176	469	352	1	48	0	35	0	1	0	0	0	2	0	4	0	0	6	1	12	0	13	0	13	121	0	4	38	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	56	"AWI"	56	232	505	389	0	78	0	70	0	0	0	0	0	3	0	1	0	0	0	1	38	0	20	2	0	82	0	0	63	0	0	0	0	0	1	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	60	"AWI"	60	261	546	415	0	94	0	57	0	0	0	0	0	1	0	0	0	0	0	0	33	2	7	2	5	120	0	0	48	0	0	0	1	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	64	"AWI"	64	309	569	437	0	89	0	57	0	0	0	0	0	5	0	2	0	0	0	0	29	0	10	0	1	127	0	0	49	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	68	"AWI"	68	340	597	460	0	127	0	55	0	0	0	0	0	3	0	3	0	0	0	0	15	1	3	1	8	124	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	72	"AWI"	72	406	637	493	0	176	0	49	0	0	0	0	0	1	0	4	0	0	0	0	19	0	2	0	6	117	1	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	78	"AWI"	78	462	814	572	2	95	0	83	0	0	0	0	0	0	0	2	0	0	0	0	19	2	13	0	0	128	2	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	82	"AWI"	82	528	1017	693	0	100	0	41	0	1	0	0	0	0	0	1	0	0	0	0	12	3	4	0	1	142	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	86	"AWI"	86	572	1419	850	0	61	0	31	0	0	0	0	0	0	0	2	0	0	0	0	21	1	4	0	3	127	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	90	"AWI"	90	605	1915	1002	1	118	0	43	0	0	0	0	0	0	0	1	0	0	0	1	3	2	6	2	1	164	2	0	68	0	0	1	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	102	"AWI"	102	924	2516	1566	4	146	0	50	0	0	3	0	0	6	0	1	0	0	0	0	47	2	7	2	0	126	0	0	69	0	0	0	0	1	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	106	"AWI"	106	1032	2680	1761	1	190	0	62	0	0	0	0	0	0	1	3	0	0	0	2	33	5	18	0	0	134	0	0	82	2	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	110	"AWI"	110	1111	2931	1948	0	91	0	70	0	0	0	0	0	6	0	0	0	0	0	2	53	2	5	1	6	120	0	0	44	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	114	"AWI"	114	1312	3054	2149	1	132	0	61	0	0	0	0	0	4	0	3	0	0	0	1	42	4	4	0	5	137	0	0	77	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	118	"AWI"	118	1447	3223	2354	2	106	0	51	0	1	0	0	0	0	0	1	0	0	0	1	28	0	5	1	0	123	0	0	39	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	122	"AWI"	122	1612	3413	2536	0	193	0	66	0	3	0	0	0	3	0	1	0	0	0	0	2	0	0	3	0	134	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	126	"AWI"	126	1765	3538	2712	0	137	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	37	0	0	0	0	25	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	130	"AWI"	130	1898	3720	2884	0	115	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	19	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	142	"AWI"	142	2631	4090	3414	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	99	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	154	"AWI"	154	3516	4635	4009	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	170	"AWI"	170	4056	6038	5093	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	178	"AWI"	178	4636	6278	5655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	186	"AWI"	186	5655	6485	6142	1	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	194	"AWI"	194	6365	6820	6577	1	2	0	7	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	1	0	181	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	198	"AWI"	198	6433	7358	6726	3	1	0	5	0	2	0	0	0	0	0	0	0	0	0	0	12	0	0	5	0	229	0	0	42	1	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	202	"AWI"	202	6508	7755	6888	0	2	0	5	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	2	0	159	0	0	0	0	0	0	0	0	0	0
14462	22638	"Laguna Salada Chiprana"	41.23333	-0.16667	206	"AWI"	206	6573	8011	7052	0	3	0	0	0	0	0	0	0	1	0	0	0	1	2	0	4	0	0	3	0	242	0	0	0	0	20	0	0	0	0	0
