"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	0	"AWI"	0	-141	37	-53	15	1	0	0	0	14	0	23	0	0	0	1	0	4	0	0	13	0	170	0	0	4	0	12	0	1	0	0	0	3	2	3	1	12	0	0	16	0	0	1	19	1072	0	0	0	0	0	21	32	10	0	1	0	0	0	8	0	0	0	0	1	0	6	1
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	15	"AWI"	15	-25	1081	394	19	0	0	2	0	4	0	4	0	0	1	1	0	1	0	0	4	0	66	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	11	159	0	0	0	0	0	0	3	9	0	0	0	0	3	9	0	0	0	0	0	0	3	2
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	27	"AWI"	27	136	1404	840	15	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	4	0	134	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	202	0	0	0	0	0	4	3	4	0	0	1	0	0	9	0	0	0	0	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	43	"AWI"	43	680	1719	1335	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	1	0	39	0	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	3	21	0	0	0	0	0	2	1	5	0	0	0	0	0	14	0	0	0	0	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	59	"AWI"	59	1652	1936	1783	43	0	9	0	0	1	0	3	0	0	4	1	0	1	0	1	7	0	111	0	0	1	0	7	0	0	5	0	1	0	0	0	1	1	0	0	1	0	0	0	10	191	0	0	0	0	0	8	2	14	0	0	0	0	0	62	1	0	0	2	1	2	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	69	"AWI"	69	1818	2816	2141	70	1	0	0	0	4	0	2	0	3	2	0	0	0	0	2	2	0	113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	10	186	0	0	0	0	0	6	2	25	0	0	2	0	0	1	0	0	0	1	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	93	"AWI"	93	2282	4332	3143	83	0	9	1	0	4	0	3	0	7	0	0	0	0	0	3	14	0	138	0	0	0	0	4	0	0	2	0	0	0	0	2	1	0	0	0	0	0	2	1	9	216	0	0	0	0	0	7	5	28	0	0	0	0	0	46	0	0	0	5	1	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	97	"AWI"	97	2452	4452	3330	54	0	18	0	23	1	0	3	0	15	1	0	0	0	0	2	10	0	130	0	0	3	0	5	0	1	4	2	0	0	0	1	1	0	0	0	0	0	4	2	7	144	0	0	0	0	0	1	1	22	0	0	1	0	2	53	0	0	0	2	0	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	107	"AWI"	107	2815	4827	3810	70	0	12	3	18	3	0	4	0	3	1	1	0	0	0	0	14	2	105	0	0	2	0	3	0	0	6	0	0	0	0	1	2	1	0	0	0	0	3	0	8	144	0	0	0	0	0	9	1	18	0	0	1	0	0	45	0	0	0	0	0	1	0	1
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	119	"AWI"	119	3343	5141	4433	80	2	0	2	0	3	0	3	0	0	2	0	0	0	0	1	17	0	101	0	0	1	0	6	0	0	3	2	0	0	0	0	0	0	0	0	0	0	4	1	2	196	0	0	0	0	0	11	1	28	0	0	1	0	0	33	0	0	0	1	1	2	0	0
