"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Myrica"	"Olea"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
14486	22685	"Foula"	60.133532	-2.085412	0.5	"AWI"	0.5	-85.5	100.5	-11.5	4	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	8	0	0	0	4	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	1.5	"AWI"	1.5	-75.5	110.5	0	0	3	0	0	0	1	0	0	6	0	0	0	0	0	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0
14486	22685	"Foula"	60.133532	-2.085412	2.5	"AWI"	2.5	-66.5	122	11.5	1	2	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	2	0	0	1	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	4.5	"AWI"	4.5	-52	157.5	32.5	1	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	15	0	0	0	4	1	0	0	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	6.5	"AWI"	6.5	-32.5	181	56	1	0	1	0	0	1	0	0	5	0	0	0	0	0	0	1	0	0	46	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	8.5	"AWI"	8.5	-17	204.5	81	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	1	46	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	10.5	"AWI"	10.5	-1	234.5	105.5	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	12.5	"AWI"	12.5	20.5	250.5	131.5	0	2	2	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	83	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	14.5	"AWI"	14.5	37	277	156	0	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	104	0	0	0	1	0	1	0	0	0	0	0	0	0	0	6	0	1	0	0	0	7	0	0	0	0	0	0	0	1
14486	22685	"Foula"	60.133532	-2.085412	16.5	"AWI"	16.5	59.5	296	180	0	3	1	0	1	1	0	0	6	0	1	0	0	0	0	0	0	2	118	0	0	0	0	0	2	0	0	3	0	0	1	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	18.5	"AWI"	18.5	78.5	317.5	205.5	0	5	0	0	0	1	0	0	8	0	2	0	0	0	0	0	0	3	68	0	1	0	1	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	20.5	"AWI"	20.5	97.5	343	230	0	7	1	0	0	1	0	0	13	0	1	0	0	0	0	0	0	2	132	0	0	0	0	2	0	0	0	3	0	0	0	0	2	7	0	0	55	0	0	4	0	0	0	0	1	0	0	2
14486	22685	"Foula"	60.133532	-2.085412	22.5	"AWI"	22.5	122.5	359	254.5	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	3	82	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	53	0	0	0	0	0	0	0	1	0	0	0
14486	22685	"Foula"	60.133532	-2.085412	24.5	"AWI"	24.5	139	383	279.5	0	1	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	2	82	0	0	0	0	1	0	0	0	2	0	0	1	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0
