"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Olea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Taxus"	"Thymelaeaceae"	"Ulmus"	"Urticaceae"	"Viburnum"
14501	22714	"Labradillos mire"	40.34489	-4.57065	15	"AWI"	15	-126	55	-53	6	0	4	1	2	0	0	0	1	0	2	0	3	1	0	0	7	0	9	0	0	0	3	0	0	1	172	19	225	3	0	23	4	0	0	0	47	0	7	0	1	0	0	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	20	"AWI"	20	-56	316	132	11	0	6	0	4	0	0	0	1	0	0	0	4	3	4	0	7	0	7	5	0	0	5	0	0	7	42	0	354	0	1	32	0	0	0	0	38	2	0	0	1	0	1	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	25	"AWI"	25	46	519	304	11	0	5	1	6	0	0	1	4	0	0	1	9	5	0	0	13	0	13	0	0	1	1	0	0	4	66	0	302	1	0	29	7	0	1	1	57	2	0	0	0	0	1	4	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	30	"AWI"	30	309	613	504	2	0	2	0	2	0	44	0	1	0	10	0	14	2	0	0	11	4	5	2	0	0	3	0	0	1	13	0	0	0	0	17	0	0	0	0	29	0	0	0	0	0	0	6	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	35	"AWI"	35	414	710	577	9	0	5	0	9	0	0	0	1	0	3	0	6	4	0	0	6	0	10	0	0	0	3	0	0	1	39	0	0	0	0	22	0	0	0	0	46	2	2	0	1	1	1	4	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	40	"AWI"	40	570	782	657	10	0	4	0	5	1	0	2	2	0	3	0	3	0	0	0	9	6	10	1	0	0	0	1	1	1	28	6	373	0	0	18	0	0	0	0	26	1	0	0	0	0	0	0	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	42	"AWI"	42	596	807	683	7	1	3	0	3	0	0	0	5	0	2	0	5	8	9	0	4	0	5	0	0	0	6	0	0	1	56	0	346	0	0	13	6	1	0	1	62	2	0	0	0	1	1	19	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	45	"AWI"	45	611	868	723	4	0	5	0	10	0	0	0	2	0	3	0	8	1	0	0	8	6	7	1	0	0	1	1	0	0	19	0	367	0	0	15	0	0	0	1	40	1	0	0	0	1	1	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	50	"AWI"	50	659	948	788	14	0	5	0	10	0	0	1	2	0	1	0	7	1	0	0	23	0	3	0	0	0	3	0	0	4	36	14	301	0	0	29	0	0	0	1	44	1	2	0	0	4	0	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	53	"AWI"	53	695	980	826	13	1	4	1	9	0	0	1	1	0	4	0	6	1	0	0	15	8	8	3	0	0	0	0	0	0	44	0	0	0	0	37	0	0	0	1	34	2	0	0	1	1	0	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	55	"AWI"	55	711	1013	852	12	0	3	0	8	0	0	0	1	1	4	1	7	3	0	0	8	0	5	2	0	0	4	1	0	8	49	0	280	0	0	27	0	0	0	1	57	3	0	0	0	0	3	1	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	60	"AWI"	60	775	1073	915	24	1	3	0	5	0	0	3	1	0	0	0	10	1	0	1	7	12	8	3	0	0	1	0	2	1	80	0	0	0	0	52	0	0	0	0	66	4	0	0	0	0	2	2	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	62	"AWI"	62	812	1089	939	16	0	5	0	5	2	0	0	3	0	3	0	5	3	0	0	15	5	6	0	0	0	0	1	1	0	74	0	257	0	1	31	0	0	0	0	86	0	0	0	0	2	0	11	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	65	"AWI"	65	841	1133	974	29	2	5	0	5	0	0	1	0	0	3	0	6	1	0	0	12	0	6	0	0	0	1	1	0	2	83	0	264	0	0	34	0	0	0	0	60	6	0	0	1	0	1	4	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	68	"AWI"	68	889	1177	1028	17	0	3	0	8	1	0	1	4	0	3	0	11	0	0	1	21	0	7	0	0	0	1	0	0	1	67	23	202	0	0	43	4	0	2	3	59	2	1	0	2	2	1	1	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	70	"AWI"	70	906	1235	1060	28	0	2	0	7	0	0	2	7	0	2	0	0	3	0	0	20	0	10	1	0	0	2	1	0	2	65	0	214	0	0	48	0	0	0	3	84	2	0	0	0	0	3	10	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	75	"AWI"	75	981	1332	1146	21	0	7	0	5	0	0	6	0	0	4	0	10	2	0	1	46	0	3	0	0	0	0	1	1	0	62	22	0	0	0	38	0	2	0	2	55	2	0	0	0	0	0	4	0
14501	22714	"Labradillos mire"	40.34489	-4.57065	77	"AWI"	77	1015	1356	1179	11	0	2	0	4	1	0	1	2	0	1	0	8	7	0	0	11	0	4	3	0	0	2	2	1	0	52	0	187	0	2	45	0	0	0	1	61	3	0	0	5	0	1	23	1
