"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Nartheciaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
14520	22745	"Loch Einich"	57.08333	-3.8	0	"AWI"	0	-120	51	-43	17	0	0	0	0	22	0	0	0	18	12	126	1	0	0	0	0	0	47	1	17	14	0	0	0	1	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	10	"AWI"	10	91	1223	483	16	0	0	0	0	46	0	0	0	34	62	303	0	0	0	0	0	1	82	1	21	4	0	0	0	0	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	20	"AWI"	20	435	2019	1119	21	0	0	1	0	46	0	0	0	35	32	239	0	3	0	0	0	0	69	3	8	11	0	0	2	1	0	0	0	0
14520	22745	"Loch Einich"	57.08333	-3.8	30	"AWI"	30	866	2665	1697	26	0	0	2	0	77	0	0	0	56	98	0	0	1	0	1	0	0	85	5	19	10	0	0	1	0	0	0	0	1
14520	22745	"Loch Einich"	57.08333	-3.8	40	"AWI"	40	1397	3200	2290	65	0	0	0	0	61	0	0	0	106	123	0	0	0	0	0	0	0	59	2	11	15	0	0	1	1	0	1	0	1
14520	22745	"Loch Einich"	57.08333	-3.8	50	"AWI"	50	1944	3740	2887	31	0	0	0	0	43	0	0	0	39	71	0	0	2	0	0	0	0	61	0	3	12	0	0	0	0	0	0	0	1
14520	22745	"Loch Einich"	57.08333	-3.8	60	"AWI"	60	2565	4225	3483	5	0	0	0	0	20	0	0	0	17	0	0	0	1	0	0	0	0	101	0	6	22	0	0	0	0	0	0	0	1
14520	22745	"Loch Einich"	57.08333	-3.8	70	"AWI"	70	3274	4635	4089	17	0	0	0	0	34	0	0	0	20	1	0	0	0	0	0	0	0	91	0	3	5	0	0	0	0	0	0	0	3
14520	22745	"Loch Einich"	57.08333	-3.8	80	"AWI"	80	4278	4977	4650	31	0	0	0	0	25	0	0	0	54	0	0	0	0	1	0	0	0	129	0	4	9	0	0	0	1	0	0	0	6
14520	22745	"Loch Einich"	57.08333	-3.8	90	"AWI"	90	4649	5730	5135	19	0	0	0	0	33	0	0	0	21	7	0	0	0	0	0	0	0	83	0	2	12	0	0	0	0	0	0	0	3
14520	22745	"Loch Einich"	57.08333	-3.8	100	"AWI"	100	5057	6231	5655	23	0	0	0	0	17	0	0	0	28	0	0	0	0	0	0	0	0	94	0	5	9	0	0	0	0	0	0	0	7
14520	22745	"Loch Einich"	57.08333	-3.8	110	"AWI"	110	5597	6624	6190	18	0	0	0	0	46	0	0	0	29	2	355	0	0	0	0	0	0	116	0	0	11	0	0	0	0	0	0	0	9
14520	22745	"Loch Einich"	57.08333	-3.8	115	"AWI"	115	5926	6770	6445	14	0	0	0	0	19	0	0	0	32	2	65	0	0	0	0	3	0	157	0	3	6	0	0	0	0	0	0	0	4
14520	22745	"Loch Einich"	57.08333	-3.8	120	"AWI"	120	6441	6908	6683	17	0	0	0	0	48	0	0	0	74	4	0	0	0	0	0	0	0	117	0	5	15	0	0	0	1	0	1	0	4
14520	22745	"Loch Einich"	57.08333	-3.8	125	"AWI"	125	6529	7190	6812	11	0	0	0	0	31	0	0	0	29	3	0	0	0	0	0	1	0	138	0	1	11	0	0	0	1	0	0	0	9
14520	22745	"Loch Einich"	57.08333	-3.8	130	"AWI"	130	6623	7420	6951	21	0	0	0	0	40	0	0	0	40	0	0	0	0	0	0	0	0	125	0	3	7	0	0	0	0	0	0	1	7
14520	22745	"Loch Einich"	57.08333	-3.8	135	"AWI"	135	6714	7631	7091	25	0	1	0	0	52	0	0	0	57	6	0	0	0	0	0	0	0	101	0	4	11	0	0	0	1	0	0	0	10
14520	22745	"Loch Einich"	57.08333	-3.8	140	"AWI"	140	6812	7828	7231	18	1	0	0	0	33	0	0	0	37	5	0	0	0	0	0	0	0	142	0	0	4	0	0	0	1	0	0	0	3
14520	22745	"Loch Einich"	57.08333	-3.8	145	"AWI"	145	6914	7997	7377	5	0	1	0	0	47	0	0	0	30	3	0	0	0	0	0	0	0	137	0	3	10	0	0	1	1	0	0	0	1
14520	22745	"Loch Einich"	57.08333	-3.8	150	"AWI"	150	7022	8202	7515	8	0	0	0	0	40	0	0	0	32	0	0	1	0	0	0	0	0	138	0	1	8	0	0	0	0	0	0	0	6
14520	22745	"Loch Einich"	57.08333	-3.8	155	"AWI"	155	7132	8364	7661	10	0	0	0	0	43	0	0	0	112	1	122	0	0	0	0	1	0	136	0	8	5	0	0	0	1	0	0	0	6
14520	22745	"Loch Einich"	57.08333	-3.8	160	"AWI"	160	7241	8535	7803	7	0	0	0	0	45	0	0	0	76	16	108	0	0	0	0	0	0	140	0	0	4	0	0	0	1	1	0	0	4
14520	22745	"Loch Einich"	57.08333	-3.8	165	"AWI"	165	7343	8717	7946	4	0	0	0	0	60	1	0	0	37	6	123	0	0	0	0	1	0	118	0	5	4	0	0	0	1	0	0	0	14
14520	22745	"Loch Einich"	57.08333	-3.8	170	"AWI"	170	7460	8879	8086	2	0	0	0	0	81	0	0	0	54	5	0	0	0	0	0	0	0	102	0	2	6	0	0	0	1	0	0	0	10
14520	22745	"Loch Einich"	57.08333	-3.8	180	"AWI"	180	7703	9228	8379	1	0	0	0	0	68	0	0	0	45	2	0	0	0	0	0	1	0	71	0	0	3	0	0	0	2	0	0	0	7
14520	22745	"Loch Einich"	57.08333	-3.8	190	"AWI"	190	7960	9557	8673	1	0	0	0	0	124	0	0	0	130	3	0	0	0	0	0	0	0	41	0	7	9	0	0	0	3	0	0	0	12
14520	22745	"Loch Einich"	57.08333	-3.8	200	"AWI"	200	8203	9885	8961	2	0	0	0	0	79	0	0	0	94	43	535	0	0	0	0	0	0	12	1	3	2	0	0	0	4	0	0	0	5
14520	22745	"Loch Einich"	57.08333	-3.8	210	"AWI"	210	8467	10223	9247	2	0	0	0	0	120	0	1	0	107	11	0	1	0	0	0	0	0	21	0	2	3	0	0	0	2	0	0	0	4
14520	22745	"Loch Einich"	57.08333	-3.8	220	"AWI"	220	8710	10518	9531	0	1	0	0	0	127	0	0	0	119	26	0	0	0	0	0	0	0	11	0	6	4	0	0	0	2	0	0	0	8
14520	22745	"Loch Einich"	57.08333	-3.8	230	"AWI"	230	8964	10849	9810	0	0	0	0	0	133	0	0	0	70	8	152	0	0	0	0	1	0	9	0	7	4	0	0	1	8	0	0	0	4
14520	22745	"Loch Einich"	57.08333	-3.8	240	"AWI"	240	9246	11138	10092	0	0	0	0	0	122	5	0	1	75	264	96	0	0	6	0	21	0	15	0	30	4	0	0	1	8	0	0	0	9
14520	22745	"Loch Einich"	57.08333	-3.8	245	"AWI"	245	9387	11280	10229	0	0	0	0	0	71	0	0	0	99	284	48	0	0	10	0	0	0	14	0	30	4	0	0	0	6	0	0	0	11
