"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14539	22784	"Lago delle Fate"	44.245914	7.097786	90	"AWI"	90	2954	3507	3216	39	1	4	0	1	0	0	5	0	2	0	0	0	0	0	1	0	20	0	2	0	1	0	0	0	0	1	1	0	0	0	0	9	374	0	0	0	0	0	1	0	0	0	9	0	0	1	0	0	1	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	98	"AWI"	98	3225	4821	3831	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	289	0	3	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	106	"AWI"	106	3612	5516	4500	48	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	48	0	0	0	0	0	1	1	0	0	2	0	0	0	0	8	342	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	118	"AWI"	118	4270	6232	5484	74	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	9	0	1	0	0	0	1	0	0	1	0	0	0	1	0	6	353	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	2	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	130	"AWI"	130	5995	6821	6405	60	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	454	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	138	"AWI"	138	8890	9315	9076	2	1	0	0	1	0	0	22	0	1	0	0	0	0	0	3	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	565	0	0	0	0	4	0	0	0	0	0	0	0	0	0	20	2	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	146	"AWI"	146	9623	10182	9895	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	369	0	0	0	0	1	0	0	0	0	2	0	0	0	0	11	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	154	"AWI"	154	9791	10369	10085	0	0	1	0	2	0	0	50	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	445	0	0	0	0	1	0	0	0	0	2	1	0	1	0	7	2	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	164	"AWI"	164	10063	10530	10297	0	1	0	0	7	0	0	110	0	0	0	0	0	0	0	18	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	427	0	35	0	0	1	0	0	0	3	7	0	0	0	0	6	3	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	168	"AWI"	168	10198	10589	10382	0	2	1	0	1	0	0	269	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	302	0	0	0	0	1	0	0	0	1	6	0	0	0	0	17	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	172	"AWI"	172	10276	10656	10455	1	4	1	0	11	0	0	173	0	3	2	0	0	0	0	15	0	11	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	235	0	0	0	20	3	1	0	0	0	7	1	0	1	0	8	8	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	176	"AWI"	176	10312	10726	10517	0	1	0	0	1	0	0	34	0	0	0	0	0	0	0	1	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	1	0	0	1	3	1	0	2	0	1	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	180	"AWI"	180	10338	10840	10573	0	0	1	0	0	0	0	80	0	0	0	0	0	0	0	1	0	76	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	532	0	0	0	0	0	0	0	0	0	3	1	0	2	0	6	1	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	190	"AWI"	190	10449	10988	10720	1	1	0	0	7	0	0	208	0	0	0	0	0	0	0	6	0	79	0	0	0	0	0	0	0	2	0	0	0	0	0	11	0	504	0	0	0	20	1	0	0	0	0	16	2	0	1	1	7	5	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	200	"AWI"	200	10580	11105	10873	0	0	0	0	0	0	0	147	1	0	0	0	0	0	0	3	0	26	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	292	0	0	0	0	0	0	0	0	0	9	0	0	0	3	7	2	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	210	"AWI"	210	10750	11196	11031	0	1	0	0	10	0	0	83	0	0	0	0	0	0	0	1	0	22	0	1	0	0	1	1	4	1	0	0	0	0	0	0	0	304	0	33	0	16	5	2	0	0	0	17	3	0	0	0	3	4	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	214	"AWI"	214	10842	11252	11117	0	2	0	0	12	0	0	8	0	0	1	0	0	0	0	7	1	22	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	345	0	0	0	12	7	0	0	0	1	11	1	0	1	2	2	5	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	220	"AWI"	220	10913	11525	11218	0	0	0	0	13	0	0	22	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	7	1	0	0	0	0	5	0	0	277	0	78	0	0	3	2	0	0	0	10	1	0	0	0	2	3	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	226	"AWI"	226	11050	11744	11378	0	1	1	0	15	0	0	17	0	1	1	0	0	0	0	0	0	68	0	0	0	0	2	0	12	0	0	1	0	0	3	0	0	300	0	0	0	22	7	4	0	0	1	18	6	0	1	1	1	5	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	234	"AWI"	234	11261	12096	11605	0	2	0	0	22	0	0	2	0	1	0	0	0	0	0	2	0	33	0	0	0	0	0	1	4	1	0	0	0	0	3	0	0	311	0	0	0	3	3	0	1	0	0	7	0	0	0	0	1	0	1
14539	22784	"Lago delle Fate"	44.245914	7.097786	239	"AWI"	239	11355	12303	11764	0	1	8	0	39	0	0	13	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	565	0	60	0	0	8	0	0	0	1	16	0	0	0	0	0	1	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	244	"AWI"	244	11564	12545	12031	1	6	20	0	205	0	0	11	0	0	0	0	0	0	0	1	1	12	8	0	0	0	0	0	6	2	0	1	0	0	0	0	0	423	0	60	0	0	4	0	0	0	4	3	0	0	0	1	1	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	249	"AWI"	249	11688	12974	12311	3	0	23	0	167	0	0	3	0	3	0	0	0	0	2	0	1	7	17	0	0	0	0	1	5	3	0	0	0	1	1	0	1	235	0	0	0	0	2	0	0	0	6	8	0	0	0	0	3	0	1
14539	22784	"Lago delle Fate"	44.245914	7.097786	254	"AWI"	254	12070	13196	12575	0	5	28	0	240	0	0	17	2	0	1	0	0	0	2	0	1	9	21	0	0	0	0	1	9	1	0	1	0	0	0	0	0	461	0	156	0	0	4	0	1	0	7	10	1	0	2	2	2	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	259	"AWI"	259	12332	13463	12853	0	2	5	0	37	0	0	10	0	0	1	0	0	0	0	0	0	18	0	2	0	0	0	0	10	0	0	3	0	0	0	0	0	425	0	50	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	262	"AWI"	262	12525	13712	13079	0	0	20	0	67	0	0	6	2	16	0	0	0	0	0	0	1	19	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	283	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	266	"AWI"	266	12709	14233	13404	0	7	30	0	54	0	0	30	3	5	1	0	0	0	0	0	0	16	0	2	0	0	0	0	12	0	0	1	0	0	0	0	0	1044	0	141	0	0	3	0	0	0	1	14	0	0	0	1	3	0	0
14539	22784	"Lago delle Fate"	44.245914	7.097786	271	"AWI"	271	12921	14953	13787	0	1	3	0	65	0	0	33	0	1	0	0	0	0	0	0	1	6	0	1	0	0	0	0	3	0	0	1	0	0	0	0	0	671	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	0	1
