"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	0	"AWI"	0	-99	73	-16	202	4	44	0	11	0	0	10	50	0	0	1	0	32	14	0	0	0	88	5	0	1	0	0	0	161	63	0	137	0	28	0	0	0	11	4	0	0	2	5	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	10	"AWI"	10	5	379	195	22	0	56	1	1	0	0	17	2	4	0	3	0	81	27	0	0	0	24	2	0	0	0	0	0	22	26	0	0	0	17	0	0	0	0	0	0	0	2	5	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	20	"AWI"	20	251	1815	809	241	1	138	0	0	0	0	0	3	1	0	0	0	38	56	0	0	0	105	2	0	0	1	0	0	143	151	0	71	0	45	0	0	0	2	1	0	0	1	4	1
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	30	"AWI"	30	803	2425	1810	76	0	46	0	0	0	0	3	2	1	0	0	0	38	16	0	0	0	20	4	0	0	0	0	0	44	70	0	0	0	15	0	0	2	0	0	0	0	1	4	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	40	"AWI"	40	2363	2715	2531	138	0	91	0	0	0	0	0	9	4	0	0	0	79	13	0	0	0	14	0	0	0	0	0	0	53	156	0	0	0	13	0	0	2	1	0	0	0	1	4	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	50	"AWI"	50	2462	3137	2747	53	0	67	0	0	0	0	0	4	0	0	0	0	56	10	0	0	0	27	8	0	0	0	0	0	32	39	0	0	0	27	0	0	0	0	0	0	0	3	4	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	60	"AWI"	60	2638	3343	2999	130	0	65	0	0	0	0	0	5	1	0	0	0	53	92	0	0	0	26	1	0	0	1	0	0	90	22	0	0	0	7	0	0	0	2	0	0	0	0	6	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	70	"AWI"	70	2874	3467	3245	53	0	88	0	0	0	0	0	1	5	0	0	0	61	21	0	0	0	8	7	0	0	0	0	0	33	17	0	0	0	26	0	0	0	0	0	0	0	1	6	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	80	"AWI"	80	3288	3567	3438	219	1	85	0	0	0	0	0	12	1	0	0	0	38	112	0	0	0	25	1	0	0	1	0	0	107	40	0	0	0	12	0	0	3	0	0	0	0	1	2	0
14639	22966	"Wachseldorn Untermoos"	46.82194	7.735	90	"AWI"	90	3412	3900	3588	174	0	80	0	1	0	0	0	10	1	0	1	0	67	206	0	0	0	12	3	0	0	0	0	0	64	31	0	0	0	4	0	0	3	0	0	0	0	2	9	0
