"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"
15678	24030	"Lake Blatisto"	41.621166	24.677922	1	"AWI"	1	-110	51	-19	5	0	6	0	0	1	0	5	0	0	0	2	0	2	0	0	0	0	0	0	0	0	12	0	81	0	0	0	0	12	0	0	0	0	1	0	1	0	0	0	7	0	0	0	0	0	0	82	229	0	0	0	0	0	0	0	0	0	0	0	13	1	1	0	0	0	0	0	1	3	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	8	"AWI"	8	-91	81	1	3	1	3	3	0	2	0	5	0	0	0	6	0	2	0	3	0	0	1	1	0	0	8	0	23	0	0	0	0	24	0	0	0	0	2	0	3	17	0	0	0	0	0	0	0	9	0	51	176	0	0	133	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	14	"AWI"	14	-74	102	18	1	1	6	1	0	2	0	8	0	0	34	6	0	13	2	1	0	25	0	0	0	0	3	0	35	0	0	0	0	24	0	0	0	0	2	0	4	26	0	1	0	0	0	0	0	10	0	84	157	0	0	172	0	0	0	0	0	0	0	0	36	0	0	0	0	0	5	0	0	2	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	24	"AWI"	24	-46	140	48	6	0	2	1	0	1	0	5	0	0	21	2	0	6	0	0	0	0	0	0	0	0	4	0	29	0	0	0	0	20	0	0	0	0	4	0	1	3	0	0	0	0	0	0	0	10	0	31	231	0	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	1	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	34	"AWI"	34	-20	176	77	8	1	3	2	0	6	0	13	0	0	0	6	0	6	1	2	0	21	0	0	0	1	18	0	39	0	0	0	0	23	0	0	0	0	5	0	1	163	0	0	0	0	0	0	0	9	0	37	181	2	0	214	0	0	0	0	0	0	0	0	26	3	0	0	0	0	4	0	0	8	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	41	"AWI"	41	0	201	98	0	1	1	3	0	0	0	10	0	0	0	3	0	3	0	1	0	0	0	0	0	1	10	0	18	0	0	0	0	26	0	0	0	1	2	0	1	27	0	1	0	0	0	0	0	8	0	40	171	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	2	1	0	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	47	"AWI"	47	16	221	117	5	1	2	7	0	4	1	11	0	0	0	10	0	12	0	3	0	0	1	0	0	2	8	0	29	0	0	0	0	44	0	0	0	0	5	0	2	19	0	2	0	1	1	1	0	18	0	28	184	1	0	232	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	0	0	5	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	57	"AWI"	57	44	252	147	10	2	11	3	0	3	0	7	0	0	22	3	0	10	1	0	0	21	0	0	0	0	3	0	56	0	0	0	0	40	0	0	0	0	6	0	2	3	0	0	0	0	0	0	0	19	0	81	134	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	2	1	3	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	64	"AWI"	64	63	275	169	5	1	1	0	0	1	0	7	0	0	0	5	0	6	2	2	0	0	0	0	0	0	4	0	89	0	0	0	0	17	0	0	0	1	0	0	1	21	0	0	0	0	1	0	0	7	0	91	165	0	0	169	0	0	0	0	0	0	0	0	27	0	0	0	0	0	4	0	0	6	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	74	"AWI"	74	91	307	199	0	0	2	5	0	1	0	6	0	0	0	3	0	11	2	0	0	27	0	0	0	0	5	0	65	0	0	0	17	30	0	0	0	0	6	0	3	4	0	0	0	0	0	0	0	16	0	56	162	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	7	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	84	"AWI"	84	118	340	230	2	0	1	0	0	0	0	4	0	0	0	9	0	1	0	0	0	0	0	0	0	1	4	0	64	0	0	0	0	45	0	0	0	0	0	0	3	20	0	0	0	0	0	0	0	10	0	83	189	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	90	"AWI"	90	135	358	248	6	1	1	4	0	3	0	5	0	0	0	3	0	2	0	0	0	0	1	0	0	0	7	0	87	0	0	0	0	46	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	21	0	69	128	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	2	2	0	3	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	102	"AWI"	102	173	394	284	3	1	5	0	0	1	0	4	0	0	0	4	0	2	1	0	0	0	0	2	0	1	2	0	96	0	0	0	0	46	0	0	0	0	1	0	1	17	0	0	0	0	0	0	0	13	0	65	146	0	0	94	0	0	0	0	0	0	0	0	15	2	0	0	0	0	1	0	0	3	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	106	"AWI"	106	183	406	297	4	1	4	4	0	2	0	7	0	0	9	5	0	3	0	0	0	0	0	0	0	0	4	0	133	0	0	0	0	87	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	20	0	50	128	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	1	0	6	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	111	"AWI"	111	200	420	311	5	0	1	0	0	4	0	9	0	0	0	6	0	4	1	0	0	0	0	0	0	2	5	0	141	0	0	0	0	72	2	0	0	0	4	0	2	17	0	0	0	0	0	0	0	22	0	81	132	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	6	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	118	"AWI"	118	221	441	333	27	1	3	1	0	0	0	6	0	0	0	5	0	3	2	0	0	0	0	0	0	0	7	0	14	0	0	0	0	57	0	0	0	0	5	0	2	1	0	0	0	0	0	0	0	10	0	88	98	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	10	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	124	"AWI"	124	239	462	351	34	0	4	0	0	1	0	3	0	0	0	2	0	5	0	0	0	0	0	0	0	0	8	0	63	0	0	0	0	45	2	0	0	1	0	0	1	15	0	0	0	0	0	0	0	7	0	77	104	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	129	"AWI"	129	252	475	366	21	0	8	4	0	12	0	6	0	0	0	0	0	10	4	1	0	5	0	0	0	0	7	0	45	0	0	0	10	58	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	15	0	52	132	0	0	0	0	0	0	0	0	0	0	0	16	2	0	1	0	0	0	0	0	9	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	136	"AWI"	136	273	493	387	15	0	8	2	0	1	0	4	0	0	0	2	0	10	0	2	0	0	0	0	0	0	8	0	30	0	0	0	0	47	0	0	0	0	1	1	1	8	0	0	0	0	0	0	0	11	0	63	134	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	1	6	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	140	"AWI"	140	287	503	399	27	0	6	2	0	0	0	4	0	0	0	1	0	3	0	0	0	0	0	0	0	0	3	0	29	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	64	139	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	2	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	147	"AWI"	147	309	523	420	18	0	10	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	4	0	18	0	0	0	0	45	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	8	0	49	169	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	151	"AWI"	151	321	535	432	17	1	8	3	0	0	0	2	0	0	0	2	0	6	0	0	0	0	0	0	2	0	4	0	28	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	43	186	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	156	"AWI"	156	340	549	448	11	0	8	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	13	0	0	0	0	32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	30	197	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	160	"AWI"	160	352	561	460	12	0	14	1	0	0	0	1	0	0	0	1	0	13	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	25	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	188	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	163	"AWI"	163	362	567	469	9	0	11	0	0	0	0	1	0	0	0	3	0	8	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	40	167	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	165	"AWI"	165	368	571	475	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	24	0	0	0	0	42	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	55	155	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	167	"AWI"	167	373	577	481	16	1	15	0	0	1	0	3	0	0	0	5	0	2	0	0	0	0	0	0	0	0	3	0	22	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	26	170	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	170	"AWI"	170	385	584	490	13	1	21	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	19	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	24	178	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	172	"AWI"	172	393	589	497	19	0	17	0	0	0	0	2	0	0	0	2	0	4	0	0	0	0	0	0	0	0	4	0	50	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	39	183	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	174	"AWI"	174	399	595	503	16	0	17	1	0	0	0	1	1	0	0	7	0	4	0	0	0	0	0	0	0	0	4	0	33	0	0	0	0	36	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	13	0	42	172	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	4	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	176	"AWI"	176	406	601	509	16	0	11	0	0	1	0	2	0	0	0	8	0	1	0	0	0	0	0	0	0	0	6	0	28	0	0	0	0	47	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	25	0	43	143	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	178	"AWI"	178	414	606	515	20	0	10	0	0	0	0	2	0	0	0	6	0	2	0	0	0	0	0	0	0	0	7	0	5	0	0	0	0	53	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	15	0	41	129	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	181	"AWI"	181	425	614	524	14	0	11	2	0	1	3	2	1	0	0	18	0	2	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	22	0	31	135	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	183	"AWI"	183	431	620	530	11	0	13	1	0	0	0	0	0	0	0	11	0	4	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0	58	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	23	156	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	185	"AWI"	185	439	624	536	17	0	8	0	0	1	0	1	0	0	0	20	0	6	0	0	0	0	0	0	0	0	10	0	6	0	0	0	0	59	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	24	0	54	119	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	5	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	188	"AWI"	188	450	632	546	13	0	4	0	0	0	0	1	0	0	0	9	0	3	0	0	0	0	1	0	0	0	12	0	20	0	0	0	0	72	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	32	0	54	180	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	190	"AWI"	190	456	637	552	22	0	10	1	0	2	0	2	0	0	0	11	0	2	1	0	0	0	0	0	0	0	11	0	8	0	0	0	0	42	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	19	0	54	112	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	192	"AWI"	192	462	642	558	21	0	10	1	0	4	0	4	0	0	0	14	0	2	0	0	0	0	0	0	0	0	12	0	10	0	0	0	0	53	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	26	0	38	142	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	194	"AWI"	194	470	646	564	0	2	17	2	0	0	0	2	0	0	0	20	0	3	0	0	0	0	0	0	2	0	14	0	12	0	0	0	0	45	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	29	0	30	100	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
15678	24030	"Lake Blatisto"	41.621166	24.677922	197	"AWI"	197	479	655	573	21	1	10	1	0	2	0	2	0	0	0	10	0	2	0	0	0	0	0	0	4	0	12	0	23	0	0	0	0	30	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	22	0	47	140	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
