"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3174	24086	"Švarcenberk"	49.143988	14.703396	15	"AWI"	15	777	2616	1576	16	0	0	1	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	4	0	66	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	44	0	0	43	0	0	6	0	0	2	0	2	0	0	0	0	1	0	1	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	20	"AWI"	20	1190	3226	2134	63	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	10	0	39	0	0	15	3	2	0	0	0	0	0	0	0	0	0	0	2	0	39	92	0	0	87	0	0	4	0	0	1	0	3	0	0	0	0	0	0	2	1	0
3174	24086	"Švarcenberk"	49.143988	14.703396	30	"AWI"	30	2188	4326	3250	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	17	33	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	3	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	35	"AWI"	35	2671	4877	3818	153	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	41	1	1	0	0	0	0	0	0	0	0	0	0	2	0	52	74	0	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	6	1	0
3174	24086	"Švarcenberk"	49.143988	14.703396	40	"AWI"	40	3266	5380	4373	140	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	0	0	26	2	0	0	0	0	0	0	0	0	0	0	1	0	0	44	54	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	8	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	44	"AWI"	44	3718	5733	4809	150	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	2	0	0	38	1	0	0	0	0	0	0	0	0	0	0	0	1	0	60	42	0	0	0	0	0	16	0	0	0	0	1	0	0	0	0	0	0	3	0	0
3174	24086	"Švarcenberk"	49.143988	14.703396	46	"AWI"	46	3951	5935	5026	103	0	0	0	0	0	3	0	0	0	0	2	0	2	0	0	0	0	0	13	0	11	0	0	49	2	0	0	0	0	0	0	0	0	0	1	0	4	0	62	67	0	0	0	0	0	20	0	0	0	0	4	0	0	0	0	1	0	2	2	0
3174	24086	"Švarcenberk"	49.143988	14.703396	48	"AWI"	48	4193	6114	5248	64	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	14	0	8	0	0	35	10	1	0	0	0	1	0	0	0	0	0	0	2	0	48	72	0	0	0	0	0	30	0	0	0	0	3	0	0	0	1	0	0	2	3	0
3174	24086	"Švarcenberk"	49.143988	14.703396	52	"AWI"	52	4731	6435	5702	62	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	34	0	12	0	0	27	12	0	0	0	0	0	0	0	0	0	0	0	0	0	64	54	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	0	8	2	0
3174	24086	"Švarcenberk"	49.143988	14.703396	54	"AWI"	54	5019	6593	5925	3	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	72	0	18	0	0	2	11	7	0	0	0	0	0	0	0	0	0	0	0	0	25	46	0	0	0	0	0	28	0	0	2	0	2	0	2	0	2	1	0	7	12	0
3174	24086	"Švarcenberk"	49.143988	14.703396	56	"AWI"	56	5286	6753	6146	5	1	0	0	0	2	0	0	0	0	0	1	0	7	0	0	0	0	0	95	0	17	0	0	4	17	11	0	0	0	0	0	0	0	0	0	0	0	0	56	44	0	0	0	0	0	42	0	0	1	0	2	0	0	0	2	0	0	24	22	0
3174	24086	"Švarcenberk"	49.143988	14.703396	58	"AWI"	58	5571	6907	6363	0	0	0	1	0	1	2	0	0	0	0	0	0	8	0	0	0	0	0	100	0	21	0	0	1	13	15	0	0	0	0	0	0	0	0	0	1	0	0	58	61	0	0	0	0	0	49	0	0	0	0	1	0	0	0	4	0	0	20	18	1
3174	24086	"Švarcenberk"	49.143988	14.703396	60	"AWI"	60	5881	7058	6594	0	0	0	0	0	1	3	1	0	0	0	0	0	1	0	0	0	0	0	40	0	13	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	24	19	0	0	0	0	0	14	0	0	1	0	2	0	0	1	0	0	0	4	6	2
3174	24086	"Švarcenberk"	49.143988	14.703396	61	"AWI"	61	6127	7107	6690	1	0	0	0	0	2	1	0	0	0	0	0	0	4	0	0	0	0	0	60	0	28	0	0	2	8	3	0	0	0	0	1	0	0	0	0	0	0	0	23	45	0	0	0	0	0	38	0	0	2	0	2	0	0	0	2	0	0	14	14	0
3174	24086	"Švarcenberk"	49.143988	14.703396	62	"AWI"	62	6292	7169	6799	0	1	0	1	0	1	2	0	0	0	0	3	0	3	0	0	0	0	0	55	0	66	0	0	2	9	9	0	0	0	0	0	0	0	0	0	0	0	0	67	75	0	0	0	0	0	34	0	0	2	0	3	0	0	0	3	0	0	13	16	3
3174	24086	"Švarcenberk"	49.143988	14.703396	63	"AWI"	63	6514	7250	6910	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	45	0	37	0	0	0	5	4	0	1	0	0	0	0	0	0	0	1	1	0	60	74	0	0	0	0	0	21	0	0	3	0	2	0	0	0	2	0	2	8	8	1
