"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15709	24106	"Lake Maliq"	40.76667	20.78333	35	"AWI"	35	54	674	312	4	0	13	4	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	6	77	0	0	0	0	0	10	0	0	0	0	2	0	1	1	0	0	114	0	2	0	0	0	0	41	0	0	0	0	0	0	55	0	0	0	0	2	0	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	45	"AWI"	45	106	857	441	6	0	12	3	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	3	221	0	0	0	0	0	17	0	0	0	0	0	0	0	0	15	0	88	1	0	0	0	0	0	112	2	1	0	0	2	0	6	0	0	0	0	0	1	2	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	50	"AWI"	50	156	923	503	3	1	23	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	1	298	0	0	0	0	0	21	9	0	0	0	0	0	0	0	20	0	65	0	2	1	0	0	0	143	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	55	"AWI"	55	195	995	555	13	2	23	2	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	7	121	0	0	0	0	0	27	0	0	0	1	0	0	1	0	13	0	63	0	1	0	0	0	0	119	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	60	"AWI"	60	224	1080	611	12	1	24	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	290	0	0	0	0	0	20	0	0	0	0	0	0	0	0	23	0	79	1	1	0	0	0	0	108	4	0	0	0	2	0	5	0	0	0	0	0	0	3	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	70	"AWI"	70	341	1228	724	18	1	5	4	1	0	5	0	0	0	0	3	0	0	0	0	0	0	0	1	161	0	0	0	0	0	10	0	0	0	0	3	0	0	0	3	1	128	0	0	2	0	0	0	56	2	1	0	0	1	0	26	0	0	0	0	0	0	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	75	"AWI"	75	372	1312	783	6	0	5	3	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	2	119	0	0	0	0	0	21	0	0	0	1	0	0	1	2	0	0	84	1	1	0	0	0	0	92	2	0	0	0	1	0	23	0	0	0	0	0	2	1	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	83	"AWI"	83	450	1415	881	11	1	14	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	8	35	0	0	0	0	0	21	0	0	0	0	1	1	0	0	23	2	63	1	3	0	0	0	0	114	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0
15709	24106	"Lake Maliq"	40.76667	20.78333	90	"AWI"	90	496	1497	967	7	0	12	3	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	7	235	0	0	0	0	0	14	0	0	0	0	0	0	2	0	7	0	75	0	1	0	0	0	0	87	1	0	0	0	0	2	32	0	0	0	0	0	1	0	0	1
15709	24106	"Lake Maliq"	40.76667	20.78333	100	"AWI"	100	562	1625	1091	7	0	9	5	0	0	4	0	0	5	0	0	0	0	0	0	0	0	0	13	50	0	0	0	0	0	25	0	0	0	0	0	0	3	0	38	0	65	0	3	0	0	0	0	116	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
