"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Myrtus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Sambucus"	"Saxifragaceae"	"Solanaceae"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3186	24356	"Lake Orestiás"	40.55194	21.32222	2	"AWI"	2	-77	112	13	7	1	1	0	2	51	0	3	2	0	1	3	6	1	0	0	1	1	0	0	0	1	0	2	0	0	7	0	0	3	0	1	0	0	1	0	3	2	142	0	3	16	0	4	2	0	0	0	2	0	2	0	1	0	1	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	6	"AWI"	6	-39	314	123	5	0	0	3	1	38	0	0	3	0	1	0	0	0	2	1	2	0	1	0	0	3	0	0	2	1	0	0	2	2	0	0	0	0	0	0	3	0	198	1	0	42	0	9	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	10	"AWI"	10	-17	533	231	7	1	2	2	0	48	0	0	2	0	0	0	11	1	0	1	2	3	0	0	0	1	0	2	0	1	1	0	5	3	0	0	0	0	0	3	5	0	121	0	0	19	0	13	3	2	0	0	5	0	1	0	0	0	0	0	0	2	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	14	"AWI"	14	3	759	340	3	3	1	1	0	0	0	0	14	0	2	0	0	0	0	0	1	8	0	0	0	0	1	0	8	0	0	0	0	7	0	0	0	0	0	0	5	1	67	2	5	76	0	31	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	17	"AWI"	17	14	929	422	1	0	0	32	0	12	0	0	3	0	0	0	8	1	23	0	1	1	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	9	0	86	1	3	46	0	34	3	0	0	0	8	0	1	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	20	"AWI"	20	25	1100	503	3	1	0	29	7	33	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	2	0	41	0	13	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	27	"AWI"	27	51	1496	692	0	0	0	3	0	17	0	0	5	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	5	1	1	0	1	0	0	0	0	0	2	5	0	46	1	3	165	0	11	3	3	0	0	0	1	1	0	0	1	0	0	0	0	1
3186	24356	"Lake Orestiás"	40.55194	21.32222	30	"AWI"	30	62	1666	774	9	0	0	4	1	44	0	0	0	3	0	0	6	0	0	0	2	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	3	107	0	1	53	0	21	3	0	17	0	3	0	0	0	0	2	0	0	4	2	2
3186	24356	"Lake Orestiás"	40.55194	21.32222	34	"AWI"	34	76	1897	883	1	0	0	5	5	34	0	0	3	0	1	0	15	1	6	0	1	0	1	0	0	0	0	2	2	0	0	0	2	0	0	0	0	0	0	0	1	1	152	0	1	32	0	6	3	0	0	0	6	1	0	0	0	0	0	0	2	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	37	"AWI"	37	103	2051	964	3	0	0	4	1	40	0	1	1	1	0	0	0	1	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	2	0	89	0	2	58	0	0	35	0	0	0	5	0	0	0	0	0	1	0	0	1	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	40	"AWI"	40	240	2072	1037	1	0	0	3	0	73	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	1	0	145	0	1	19	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3186	24356	"Lake Orestiás"	40.55194	21.32222	43	"AWI"	43	379	2108	1114	1.5	0	0	2	0	150	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	3	0	0	0	0	1	0	0	1	0	56	0	1	35	0	12	2	0	6	0	5	0	0	0	0	0	1	0	0	3	0
