"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Hypericaceae"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Morus"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Ulmus"	"Urticaceae"
15846	24386	"Asi Gonia"	35.248806	24.277954	0	"AWI"	0	-113	43	-36	0	0	0	1	2	0	18	0	24	0	0	7	0	2	0	11	0	0	136	0	114	2	11	0	1	0	4	0	0	0	12	0	1	6	1	3	10	0	1	25	70	3	0	0	0	4	1	0	1	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	5	"AWI"	5	-100	62	-21	0	0	0	5	8	0	10	1	25	0	5	8	0	2	0	7	0	3	117	2	96	2	27	0	3	0	23	0	0	0	16	0	2	4	3	0	2	0	4	46	86	9	0	47	0	4	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	10	"AWI"	10	-90	91	-8	0	1	0	1	7	0	16	0	20	0	0	7	0	0	0	5	0	1	99	0	64	0	19	0	0	0	11	0	0	0	8	0	2	5	2	0	4	0	2	41	155	0	0	51	0	9	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	15	"AWI"	15	-76	108	8	1	0	0	2	0	0	6	0	15	0	0	13	0	1	0	5	0	0	101	0	166	0	5	0	2	0	4	2	0	0	24	0	0	8	1	2	2	0	0	50	121	0	0	30	0	2	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	20	"AWI"	20	-66	132	22	0	1	4	5	8	0	28	0	3	0	0	4	0	1	0	9	0	0	83	0	174	0	17	0	0	0	1	0	0	0	0	0	2	2	1	0	2	0	0	22	143	0	0	8	0	0	0	1	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	25	"AWI"	25	-53	147	38	0	0	2	4	2	0	7	0	19	0	0	7	0	2	0	0	1	0	77	0	197	0	9	0	0	0	10	0	1	0	15	0	0	4	0	0	1	23	1	28	64	0	0	19	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	30	"AWI"	30	-42	171	53	0	0	1	2	6	0	8	1	9	0	0	4	0	4	0	20	0	0	130	0	273	0	6	0	0	0	2	0	0	0	5	0	0	8	0	1	1	0	0	4	27	0	0	0	0	0	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	35	"AWI"	35	-29	188	68	0	0	5	0	2	0	4	0	17	0	0	1	0	3	1	0	0	0	136	0	255	0	5	0	0	0	8	1	0	0	11	0	0	6	0	3	1	43	0	21	17	0	0	11	0	2	0	0	0	0	0	1
15846	24386	"Asi Gonia"	35.248806	24.277954	40	"AWI"	40	-20	210	83	0	0	3	4	5	0	9	0	12	0	0	6	0	0	0	6	0	1	187	0	166	0	0	0	0	0	2	0	0	0	11	0	0	3	0	5	0	0	0	18	39	0	0	0	0	1	0	0	0	0	0	0
15846	24386	"Asi Gonia"	35.248806	24.277954	45	"AWI"	45	-5	225	99	0	0	1	3	4	0	6	0	7	0	0	3	0	2	0	9	0	1	160	0	213	0	6	0	1	0	0	1	0	0	12	0	1	4	2	5	6	0	0	31	93	0	0	13	0	2	0	0	0	0	0	0
