"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15911	24499	"Trois-Oeufs"	47.36806	-0.74	5	"AWI"	5	4613	5409	5044	2	33	24	3	0	0	0	0	11	2	0	0	1	9	0	0	0	5	0	0	1	0	8	1	0	24	2	0	0	0	39	0	0	2	0	0	2	0	0	0	35	0	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	10	"AWI"	10	4727	5513	5154	6	49	82	0	0	0	0	0	0	2	0	0	0	5	2	0	0	5	0	0	6	0	2	2	0	12	0	0	0	0	6	2	2	0	0	0	3	0	1	3	29	0	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	15	"AWI"	15	4843	5624	5266	10	21	22	0	0	0	0	0	0	2	0	0	0	5	4	0	0	1	0	0	3	0	2	0	11	9	0	0	0	0	8	1	1	0	0	0	3	0	0	0	47	0	12
15911	24499	"Trois-Oeufs"	47.36806	-0.74	20	"AWI"	20	4951	5736	5374	0	16	77	2	0	2	0	0	2	0	0	0	1	9	2	3	1	19	0	0	5	1	17	1	0	12	0	0	0	0	76	1	1	0	0	1	1	1	3	0	7	2	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	25	"AWI"	25	5060	5842	5482	1	31	32	0	0	0	0	0	4	5	0	0	0	1	4	0	0	29	0	0	5	0	2	1	2	4	2	0	0	1	18	0	1	0	2	0	1	0	1	0	3	1	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	30	"AWI"	30	5167	5954	5591	4	5	23	3	1	0	1	0	1	1	0	0	3	7	1	4	1	6	0	1	0	0	34	3	1	11	0	0	0	0	80	0	1	0	0	0	1	0	1	1	1	0	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	35	"AWI"	35	5279	6067	5700	4	22	36	0	0	0	0	5	0	2	0	0	0	0	8	0	2	7	0	0	3	0	4	0	3	7	0	0	0	0	23	0	0	0	0	0	2	0	0	2	0	0	33
15911	24499	"Trois-Oeufs"	47.36806	-0.74	40	"AWI"	40	5388	6181	5807	0	5	26	0	0	0	1	0	1	3	0	0	0	1	5	0	5	3	0	0	2	0	6	1	8	14	2	0	0	0	37	0	1	0	0	0	1	0	0	0	0	0	67
15911	24499	"Trois-Oeufs"	47.36806	-0.74	45	"AWI"	45	5493	6286	5917	3	4	47	7	0	0	1	0	1	2	0	1	0	4	3	1	1	15	0	0	1	0	13	0	2	10	0	0	0	0	85	0	0	0	0	0	3	0	1	1	0	0	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	50	"AWI"	50	5601	6397	6026	2	9	26	0	0	0	0	0	0	1	0	0	0	4	6	0	5	4	0	0	6	0	1	0	5	17	0	0	0	0	21	0	1	0	0	0	0	0	1	1	5	0	55
15911	24499	"Trois-Oeufs"	47.36806	-0.74	55	"AWI"	55	5705	6512	6133	2	32	11	0	1	0	0	0	0	2	0	0	0	2	2	0	0	3	0	0	2	1	2	3	0	12	0	1	0	0	17	0	0	0	0	0	3	1	0	2	0	1	0
15911	24499	"Trois-Oeufs"	47.36806	-0.74	60	"AWI"	60	5811	6623	6241	1	18	8	0	0	0	1	0	0	2	1	0	0	2	5	0	0	1	0	0	9	0	2	2	1	22	0	0	0	0	51	1	0	0	0	0	10	0	0	2	3	1	0
