"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Vitaceae"
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	55	"AWI"	55	533	849	691	21	1	0	0	0	0	1	0	0	0	2	11	193	1	0	0	0	0	2	0	0	0	1	9	0	0	0	3	0	0	2	0	1	1	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	60	"AWI"	60	623	889	756	18	5	4	0	0	26	0	0	2	0	1	8	173	1	0	1	0	1	4	0	0	0	3	6	70	0	0	6	0	0	1	0	9	0	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	65	"AWI"	65	761	973	868	7	6	3	1	0	39	0	0	5	0	1	5	120	0	0	1	0	0	6	0	0	0	5	9	59	0	0	4	1	0	2	0	20	3	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	72	"AWI"	72	843	1186	1027	11	6	1	0	0	0	1	0	2	0	1	2	92	0	0	1	0	0	2	0	0	0	0	2	46	0	0	4	0	0	0	2	1	0	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	75	"AWI"	75	867	1296	1092	11	8	1	0	0	13	1	0	4	0	1	2	252	0	0	0	0	0	2	0	1	0	1	1	0	3	0	3	0	0	0	0	0	1	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	80	"AWI"	80	1078	1332	1228	15	2	2	0	0	35	0	0	0	0	0	3	242	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	1	0	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	85	"AWI"	85	1207	1460	1361	25	3	6	1	0	0	2	0	1	0	1	6	138	0	0	0	0	0	1	0	0	0	8	1	0	0	0	5	0	0	2	0	0	1	1	1	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	90	"AWI"	90	1268	1705	1485	16	3	3	0	0	0	0	1	3	0	0	5	174	0	0	1	1	0	6	0	0	0	2	5	0	3	0	6	2	0	0	0	0	0	2	0	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	95	"AWI"	95	1450	1749	1591	46	6	17	0	0	0	2	0	1	0	1	11	139	0	0	3	0	0	6	0	0	0	2	3	0	0	1	12	2	0	1	1	0	2	1	0	1
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	100	"AWI"	100	1581	1819	1699	40	1	6	0	0	0	1	0	0	0	0	7	118	0	0	1	0	0	6	0	0	0	2	7	80	0	0	8	1	0	1	1	5	1	0	0	1
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	105	"AWI"	105	1658	1952	1806	75	1	4	0	0	0	1	0	2	0	1	12	124	1	1	0	0	0	3	0	0	0	4	1	0	0	0	10	0	0	1	0	0	1	1	1	0
15931	24542	"Parcay-sur-Vienne"	47.10583	0.48	110	"AWI"	110	1994	2265	2135	71	0	0	0	0	0	0	0	1	0	0	3	141	0	0	1	0	0	0	0	0	0	13	2	0	0	0	4	0	0	1	0	0	0	3	2	0
