"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Asteraceae"	"Betula"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Tilia"	"Ulmus"
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	3	"AWI"	3	-73	158	21	4	0	3	2	0	5	1	2	0	0	0	55	3	279	11	0	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	7	"AWI"	7	-51	332	86	14	2	16	1	15	4	2	5	0	0	2	98	6	188	43	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	10	"AWI"	10	-40	479	132	39	1	28	2	51	0	0	3	1	0	0	3	14	40	119	1	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	15	"AWI"	15	-24	722	210	31	2	11	0	65	1	1	10	0	0	0	5	5	35	145	2	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	25	"AWI"	25	32	1142	378	25	0	12	0	42	5	0	7	1	0	1	12	12	53	144	1	2
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	30	"AWI"	30	79	1216	480	19	0	16	0	25	1	0	7	2	0	0	0	12	54	39	1	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	40	"AWI"	40	141	1486	668	16	3	7	0	13	0	2	1	1	0	0	0	8	0	40	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	45	"AWI"	45	164	1640	757	16	13	2	0	8	0	5	2	1	1	0	5	6	85	28	1	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	55	"AWI"	55	332	1788	960	9	4	7	0	16	2	3	3	0	0	0	4	14	80	47	0	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	65	"AWI"	65	419	1976	1165	2	4	10	6	10	1	1	3	1	0	1	16	30	28	42	0	3
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	70	"AWI"	70	500	2073	1261	7	4	7	0	4	2	0	4	0	1	1	3	18	76	14	0	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	75	"AWI"	75	603	2130	1355	2	13	8	1	6	1	2	1	0	0	0	2	17	70	21	1	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	80	"AWI"	80	675	2200	1457	8	4	6	0	8	4	2	4	0	0	0	1	11	49	18	0	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	85	"AWI"	85	738	2293	1553	12	1	12	1	15	5	2	10	0	0	2	2	9	57	35	0	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	90	"AWI"	90	787	2407	1649	24	1	23	0	49	1	3	8	1	0	3	4	5	59	48	0	3
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	95	"AWI"	95	911	2453	1741	10	1	9	0	20	1	1	7	2	0	1	1	7	55	31	0	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	105	"AWI"	105	1102	2558	1943	12	4	23	0	21	0	0	6	3	0	0	3	8	63	40	0	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	115	"AWI"	115	1257	2743	2138	25	6	23	0	23	0	1	17	0	0	2	4	3	48	57	0	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	125	"AWI"	125	1521	2816	2320	9	5	9	1	5	3	1	5	1	0	0	1	8	60	32	2	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	135	"AWI"	135	1690	2932	2519	21	1	20	0	30	1	1	10	0	0	1	3	7	51	54	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	140	"AWI"	140	1911	2967	2599	13	1	18	0	32	1	1	9	0	0	0	1	10	25	24	1	2
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	145	"AWI"	145	2156	2986	2678	5	8	5	0	10	5	2	2	0	0	0	5	3	61	93	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	150	"AWI"	150	2391	3016	2756	7	8	7	0	8	1	1	3	0	0	0	3	5	29	27	2	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	155	"AWI"	155	2582	3060	2841	11	4	13	0	11	3	5	6	0	1	0	5	4	55	64	0	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	165	"AWI"	165	2759	3140	2958	18	5	17	0	26	2	1	9	3	1	1	6	2	46	99	1	4
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	170	"AWI"	170	2810	3168	2997	21	5	21	0	24	6	1	15	5	0	1	4	6	40	115	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	175	"AWI"	175	2841	3214	3037	14	2	8	0	9	3	1	6	0	0	0	3	11	37	47	2	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	180	"AWI"	180	2866	3279	3074	19	6	11	0	18	5	2	5	3	0	0	5	1	37	63	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	185	"AWI"	185	2902	3316	3105	18	4	14	0	40	2	1	8	1	0	0	4	7	45	86	1	3
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	195	"AWI"	195	2952	3364	3164	14	1	21	0	39	2	1	5	4	0	0	3	7	39	110	1	2
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	205	"AWI"	205	2993	3439	3221	9	1	23	0	31	3	1	17	3	0	1	2	7	37	112	1	3
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	215	"AWI"	215	3054	3492	3278	29	2	13	0	33	1	1	6	2	0	0	4	3	115	71	0	0
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	220	"AWI"	220	3074	3524	3311	26	10	5	1	31	0	1	0	0	0	0	2	7	0	66	1	1
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	225	"AWI"	225	3089	3563	3341	25	4	13	0	35	3	6	12	5	0	0	8	15	49	85	2	3
15959	24600	"Marais de Kerdual"	47.58667	-3.05167	230	"AWI"	230	3111	3599	3368	27	7	16	0	41	6	1	11	3	0	0	4	16	46	89	3	3
