"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15969	24622	"La Grange"	46.08972	-0.77528	12	"AWI"	12	368	1080	634	0	0	6	3	3	0	2	0	0	1	3	0	0	0	0	0	0	0	0	16	0	76	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	4	7	0	77	0	0	0	0	73	1	4	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0
15969	24622	"La Grange"	46.08972	-0.77528	18	"AWI"	18	719	1897	1187	0	0	6	5	10	0	1	0	2	0	1	0	0	0	0	0	0	0	0	33	0	62	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	6	7	0	63	0	2	0	0	105	0	2	0	0	0	0	1	0	0	1	1	0	0	1	1	2	0	1	1
15969	24622	"La Grange"	46.08972	-0.77528	24	"AWI"	24	831	3160	1694	0	0	15	3	8	0	2	0	0	0	1	0	0	0	0	0	0	0	0	42	0	46	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	5	0	115	0	0	0	0	68	1	1	0	0	1	1	3	0	0	0	1	0	0	0	0	1	0	1	0
15969	24622	"La Grange"	46.08972	-0.77528	30	"AWI"	30	1129	4196	2259	0	1	6	2	7	1	1	0	2	0	3	0	0	0	0	0	0	0	0	27	0	64	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	3	11	0	95	0	0	0	0	79	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	1
15969	24622	"La Grange"	46.08972	-0.77528	36	"AWI"	36	2012	4381	3014	0	0	4	2	25	1	2	0	0	0	2	0	1	0	0	0	0	0	0	20	1	56	0	0	0	0	1	1	0	0	0	0	0	1	4	1	0	1	0	0	0	0	0	3	9	0	115	0	0	0	0	60	0	0	0	0	0	3	13	0	0	0	2	4	0	0	0	0	0	1	0
15969	24622	"La Grange"	46.08972	-0.77528	42	"AWI"	42	2543	4631	3821	0	0	3	1	17	0	3	0	1	1	5	0	0	0	0	0	0	0	0	35	0	40	0	0	0	0	0	2	0	0	0	0	1	0	7	1	1	1	0	1	0	0	0	1	16	0	125	0	1	0	0	63	1	2	0	0	0	2	22	0	0	1	3	6	0	0	1	2	0	3	1
15969	24622	"La Grange"	46.08972	-0.77528	49	"AWI"	49	3265	4960	4407	0	1	6	5	27	1	1	0	1	0	15	0	1	0	0	0	0	0	1	40	0	47	0	0	5	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	7	15	0	76	0	0	0	0	66	0	1	1	0	0	5	39	0	1	1	4	5	0	1	1	0	0	2	1
15969	24622	"La Grange"	46.08972	-0.77528	55	"AWI"	55	3941	5035	4680	0	1	5	2	27	2	5	0	1	0	8	0	1	0	0	0	1	0	0	40	0	59	1	0	4	0	1	2	0	0	0	0	0	1	6	0	0	2	0	0	0	0	0	1	4	0	72	0	0	3	0	67	0	3	0	0	1	1	21	0	0	0	2	0	1	1	1	1	0	1	1
15969	24622	"La Grange"	46.08972	-0.77528	61	"AWI"	61	4396	5220	4963	0	1	1	6	22	4	3	0	0	0	10	0	0	0	0	0	0	0	1	40	0	42	0	0	0	0	0	2	0	0	0	0	0	0	9	1	0	2	0	0	0	0	0	1	6	0	40	0	0	0	0	98	3	2	1	0	1	1	26	0	0	0	7	0	0	1	1	0	0	3	2
15969	24622	"La Grange"	46.08972	-0.77528	67	"AWI"	67	4523	5315	5055	0	1	6	2	11	0	0	0	1	0	4	0	0	0	0	0	1	0	0	40	1	35	0	0	3	0	0	1	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	97	0	3	0	0	1	0	19	0	0	0	3	0	0	0	1	0	0	1	1
15969	24622	"La Grange"	46.08972	-0.77528	73	"AWI"	73	4600	5371	5115	0	0	7	0	20	0	0	0	3	0	2	0	0	0	0	0	0	0	0	44	0	30	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	4	0	83	0	0	0	0	68	0	0	0	0	0	1	19	0	0	0	0	0	0	1	3	1	0	1	3
