"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cupressus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
15972	24631	"Kerminihy beach"	47.63278	-3.20083	2	"AWI"	2	2467	2880	2693	0	0	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1
15972	24631	"Kerminihy beach"	47.63278	-3.20083	4	"AWI"	4	2526	2926	2738	0	0	4	5	2	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	0	199	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	6	"AWI"	6	2564	2978	2781	0	0	5	7	1	0	2	0	0	1	0	1	0	0	0	0	0	0	5	0	0	58	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	26	0	0	0	0	0	2	2	1	0	0	1	0	2	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	10	"AWI"	10	2615	3141	2871	0	0	13	4	6	0	4	0	0	2	0	1	0	0	0	1	0	0	10	0	0	64	0	0	0	6	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	32	0	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	12	"AWI"	12	2703	3158	2921	0	0	4	15	6	0	15	0	0	9	0	0	0	0	0	1	0	0	16	0	0	117	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	99	0	0	8	0	0	3	0	1	0	0	8	0	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	14	"AWI"	14	2780	3177	2973	0	0	6	5	3	0	21	0	0	11	0	0	0	0	0	0	0	0	18	0	0	34	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	3	0	0	5	1	0	0	0	4	0	1	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	16	"AWI"	16	2838	3202	3026	0	0	7	3	3	0	0	0	0	8	0	2	0	1	0	0	0	0	6	0	0	26	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	66	0	0	41	0	0	2	0	0	1	3	2	0	0	0	1	0	0	0	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	18	"AWI"	18	2880	3241	3080	0	0	13	7	3	0	3	0	0	9	0	0	0	0	0	1	0	0	6	0	0	102	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	63	0	0	0	3	0	2	2	2	0	0	2	0	2	0	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	20	"AWI"	20	2913	3297	3130	1	0	9	1	3	1	5	0	0	9	0	0	0	0	0	2	0	0	16	0	0	59	0	0	0	4	0	0	1	0	0	1	0	0	0	8	0	1	0	0	0	85	0	0	0	2	0	2	2	0	0	0	1	0	0	0	1	0
15972	24631	"Kerminihy beach"	47.63278	-3.20083	22	"AWI"	22	2976	3309	3158	0	0	7	2	4	0	1	0	0	11	0	2	0	0	0	1	0	0	7	0	0	65	0	0	0	1	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	55	0	0	0	2	0	7	1	1	1	0	0	0	0	0	0	0
