"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15977	24641	"Ecours"	46.61222	-1.84278	10	"AWI"	10	3008	3601	3305	0	14	5	3	5	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	14	0	134	0	0	0	0	18	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	15	"AWI"	15	3051	3665	3358	0	17	1	9	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	9	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	42	0	116	0	0	0	0	13	0	19	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	20	"AWI"	20	3095	3734	3414	0	7	2	4	0	1	0	0	0	0	6	0	0	0	0	0	1	0	0	0	2	0	14	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	181	0	0	0	0	6	0	4	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	25	"AWI"	25	3131	3813	3470	0	14	1	2	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	146	0	0	0	0	9	0	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	30	"AWI"	30	3154	3898	3524	0	7	32	19	2	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	3	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	5	0	53	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	35	"AWI"	35	3182	3975	3578	0	1	14	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	25	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	2	0	67	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	40	"AWI"	40	3205	4061	3632	0	2	13	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	132	0	0	0	0	6	0	44	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	45	"AWI"	45	3226	4151	3689	0	1	23	9	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	84	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	69	0	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	50	"AWI"	50	3248	4246	3746	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	55	"AWI"	55	3269	4342	3802	0	3	3	5	0	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	1	0	50	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	140	0	0	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
15977	24641	"Ecours"	46.61222	-1.84278	60	"AWI"	60	3288	4438	3859	0	1	23	17	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	0	66	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	85	0	0	0	0	4	0	9	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
