"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	0	"AWI"	0	-120	48	-35	10	12	6	0	3	0	3	0	1	9	0	30	0	3	0	0	0	0	0	66	3	0	15	10	6	0	0	0	0	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	5	"AWI"	5	-73	137	35	3	0	0	0	0	0	16	0	1	1	1	5	0	5	0	4	0	0	0	108	16	0	56	0	5	13	0	0	7	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	10	"AWI"	10	-47	259	107	0	0	0	0	0	0	0	0	0	0	4	6	0	4	0	1	0	1	2	30	16	0	0	6	6	0	0	1	0	0	0	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	15	"AWI"	15	-31	389	179	3	26	0	0	0	0	21	0	0	0	3	9	0	1	0	0	0	2	0	48	13	0	0	0	1	0	0	1	0	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	20	"AWI"	20	-19	520	250	12	26	1	0	0	0	52	0	10	1	8	14	0	18	0	1	0	0	0	30	18	0	50	4	1	0	0	1	4	0	0	16
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	25	"AWI"	25	-8	656	322	8	0	0	3	3	6	38	0	0	1	1	11	0	11	3	9	8	3	0	68	15	0	38	3	4	10	0	1	5	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	30	"AWI"	30	4	791	393	3	39	0	0	0	0	27	0	0	1	1	33	0	0	3	1	0	0	0	26	3	9	15	6	1	0	0	6	12	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	35	"AWI"	35	14	928	464	8	34	7	0	0	0	21	0	0	1	7	16	0	11	4	17	21	1	0	39	11	0	41	7	4	0	0	0	1	1	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	40	"AWI"	40	23	1063	535	4	0	5	1	0	0	6	1	0	12	6	24	0	2	0	10	22	0	6	20	0	10	65	4	0	0	0	19	2	4	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	45	"AWI"	45	87	1147	608	9	0	1	0	3	12	6	0	0	0	15	19	0	7	5	8	23	0	0	56	6	0	76	4	0	0	0	4	0	0	0	5
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	55	"AWI"	55	361	1170	751	15	10	3	0	0	0	4	0	0	1	6	82	1	3	0	1	2	0	0	25	4	0	41	5	3	0	3	7	0	1	1	2
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	60	"AWI"	60	491	1184	826	20	0	0	0	0	0	4	0	0	1	0	44	0	0	3	12	0	0	0	60	0	0	40	5	0	0	1	4	12	0	4	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	65	"AWI"	65	621	1200	900	36	0	0	1	3	0	3	0	1	0	1	31	0	4	0	11	9	0	0	35	15	9	46	3	1	0	1	5	8	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	70	"AWI"	70	745	1218	973	32	0	0	0	0	0	0	0	0	0	3	24	0	3	3	0	9	0	0	70	0	6	32	0	12	0	0	3	6	0	4	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	75	"AWI"	75	853	1241	1050	36	40	0	0	6	0	6	0	1	2	0	6	0	14	6	0	10	0	0	88	6	0	32	0	4	0	0	4	1	1	1	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	80	"AWI"	80	954	1274	1132	25	27	9	0	0	0	9	0	0	0	18	27	0	9	0	6	0	0	0	90	0	0	45	45	9	0	0	6	0	0	18	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	85	"AWI"	85	1015	1338	1210	48	0	0	0	0	0	3	0	0	0	1	4	0	20	0	0	12	0	0	124	4	0	32	8	0	0	0	0	4	0	3	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	90	"AWI"	90	1309	1665	1511	40	0	0	0	0	0	10	0	0	0	5	4	0	11	0	0	0	0	0	145	4	0	20	6	5	0	0	6	0	0	10	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	95	"AWI"	95	1545	2107	1880	47	36	0	1	0	0	15	0	0	0	6	6	0	11	7	0	4	1	0	118	4	0	0	6	2	0	0	0	1	0	1	6
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	100	"AWI"	100	1759	2565	2253	50	0	0	0	0	0	6	0	0	0	14	21	1	6	0	0	0	0	3	82	6	0	0	0	1	0	0	0	0	4	5	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	105	"AWI"	105	1961	3027	2624	54	0	0	0	0	0	1	0	0	0	13	1	0	20	0	0	5	0	0	56	9	0	0	1	1	0	0	7	1	0	0	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	110	"AWI"	110	2160	3493	2993	60	0	0	0	0	0	0	0	0	0	10	10	0	6	0	0	0	0	0	158	11	0	0	0	15	0	0	0	0	0	3	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	115	"AWI"	115	2366	3963	3361	66	0	6	0	0	0	12	0	0	0	17	9	0	15	0	0	0	0	0	135	3	0	0	9	4	0	1	12	1	4	6	4
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	120	"AWI"	120	2567	4435	3731	70	0	1	0	4	0	7	0	0	1	12	4	0	16	0	1	0	0	0	54	6	0	0	6	4	0	0	0	0	0	10	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	125	"AWI"	125	2768	4910	4100	107	0	1	0	1	0	11	0	0	0	29	3	0	18	0	0	0	1	0	1	7	0	0	4	0	2	0	5	4	1	7	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	130	"AWI"	130	3012	5301	4429	52	0	4	0	4	0	0	0	0	1	8	8	0	8	6	0	0	0	0	0	6	0	0	24	5	0	0	2	6	0	20	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	135	"AWI"	135	3430	5331	4601	93	0	6	0	8	0	6	0	1	0	24	27	0	15	0	1	3	0	0	2	6	0	0	6	9	2	0	1	1	1	6	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	140	"AWI"	140	3850	5365	4772	75	0	0	0	0	0	0	0	0	4	11	0	0	5	9	0	0	0	0	0	4	0	0	6	4	0	0	0	10	6	15	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	145	"AWI"	145	4248	5412	4951	135	0	0	0	0	0	1	0	0	0	6	15	0	21	0	0	0	0	0	12	27	0	0	10	8	0	0	0	1	0	8	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	150	"AWI"	150	4625	5468	5134	72	0	1	0	1	0	7	0	0	1	17	11	0	12	0	0	0	0	0	0	15	0	0	11	1	0	0	0	9	0	15	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	155	"AWI"	155	4917	5570	5339	51	0	0	0	4	0	14	0	0	0	26	4	0	0	5	0	0	0	1	5	9	0	0	28	0	0	0	1	7	0	7	1
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	160	"AWI"	160	5068	5854	5497	136	100	0	0	0	0	0	0	0	0	13	0	0	4	0	0	0	0	0	0	8	0	0	20	7	0	1	0	3	0	12	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	165	"AWI"	165	5139	6243	5662	138	0	0	0	0	0	0	0	0	0	1	54	0	0	0	0	1	0	0	0	30	0	0	1	1	0	0	0	0	0	0	0
16146	24956	"Tourbières des Granges des Chavants"	45.89306	6.76833	170	"AWI"	170	5196	6659	5830	149	0	0	0	0	0	11	0	0	0	25	10	0	0	0	0	0	0	0	0	0	0	0	12	6	0	0	4	2	5	6	0
