"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16166	24993	"Fangeas"	44.71611	6.44944	0	"AWI"	0	-123	52	-42	1	0	5	4	0	2	0	3	0	0	0	0	0	0	2	0	0	1	0	1	0	113	0	0	0	0	0	4	2	0	0	0	5	4	0	1	9	0	0	9	0	1	4	213	0	0	62	0	0	0	10	6	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0
16166	24993	"Fangeas"	44.71611	6.44944	2	"AWI"	2	-50	382	112	2	1	0	0	0	8	0	3	0	0	0	0	0	0	3	0	0	0	0	1	0	300	0	0	0	4	0	6	0	0	0	0	0	4	0	1	6	0	0	13	0	0	2	258	22	0	54	0	1	0	18	3	0	0	0	1	7	0	1	0	1	3	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	4	"AWI"	4	-24	782	261	2	0	17	4	0	18	0	3	1	0	0	2	0	0	3	0	0	3	0	0	0	410	0	0	0	0	0	3	1	1	0	0	5	7	3	0	6	0	0	25	0	0	2	226	36	0	62	0	1	0	10	1	0	0	0	3	12	0	1	0	0	3	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	5	"AWI"	5	-13	988	336	1	0	0	4	0	16	0	1	0	0	1	0	0	0	0	0	0	2	0	1	0	468	0	0	0	0	0	3	0	0	0	0	0	10	0	0	1	0	0	7	0	0	1	105	0	0	44	0	0	0	12	2	0	0	0	1	7	0	0	0	0	0	1	0	5	0	0
16166	24993	"Fangeas"	44.71611	6.44944	6	"AWI"	6	66	1036	425	2	0	0	6	0	0	0	0	4	0	2	1	0	0	2	0	0	3	0	1	0	728	1	0	0	0	0	10	0	0	0	0	0	14	1	0	3	0	0	18	0	0	1	206	0	14	56	0	0	0	13	3	0	0	0	2	6	0	0	1	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	8	"AWI"	8	144	1158	617	6	1	6	2	0	16	0	4	0	0	0	0	0	0	3	0	0	1	0	1	0	750	0	0	0	0	0	10	0	1	0	0	0	2	1	0	2	0	0	1	0	0	4	0	35	0	68	0	0	0	16	1	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	9	"AWI"	9	171	1254	706	1	0	5	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	180	0	0	0	0	0	2	0	2	1	1	6	1	0	1	1	0	0	2	0	0	0	50	0	7	171	0	0	0	7	1	0	0	0	3	5	0	1	1	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	10	"AWI"	10	191	1388	793	5	0	4	4	0	10	122	1	0	0	19	0	0	0	1	0	0	5	0	0	0	173	0	0	0	0	0	4	1	0	5	0	11	0	0	1	6	0	0	1	0	0	2	0	0	0	198	0	0	0	5	2	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	11	"AWI"	11	344	1416	882	1	0	0	7	0	12	0	1	0	0	4	0	0	0	1	0	1	8	0	0	0	376	0	0	0	0	0	1	0	1	0	0	2	1	0	0	9	0	0	1	0	0	1	85	37	0	174	0	0	0	5	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	12	"AWI"	12	442	1445	975	13	0	2	6	0	3	0	4	0	0	0	0	0	0	1	0	1	1	0	0	0	91	0	0	0	0	0	4	0	0	0	0	5	0	0	0	34	0	0	0	0	0	1	150	0	0	499	0	0	0	10	0	0	0	0	0	7	0	0	1	0	0	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	13	"AWI"	13	505	1488	1072	10	0	0	5	0	3	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	0	1	0	23	0	0	0	0	0	1	20	0	0	306	0	0	0	10	0	0	0	0	0	4	0	0	1	0	0	0	1	1	0	0
16166	24993	"Fangeas"	44.71611	6.44944	14	"AWI"	14	576	1539	1171	4	0	10	1	0	5	0	11	1	0	0	0	0	0	0	1	0	1	0	0	0	32	0	0	0	0	0	7	0	1	1	0	5	0	0	0	12	0	0	0	0	0	1	205	15	0	0	0	0	0	3	1	0	0	0	2	3	1	0	0	0	1	0	1	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	15	"AWI"	15	621	1632	1264	7	0	0	2	0	5	0	1	2	0	2	0	0	0	1	0	1	3	0	2	0	110	0	0	0	0	0	11	1	0	0	0	0	2	3	0	27	0	0	0	0	0	2	261	0	0	291	0	0	0	0	2	0	0	0	0	2	0	0	1	0	2	0	0	1	0	0
16166	24993	"Fangeas"	44.71611	6.44944	16	"AWI"	16	826	1647	1343	21	1	14	1	0	9	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	62	0	0	0	0	0	10	0	0	0	0	5	0	0	0	26	0	0	0	0	0	1	274	0	0	179	0	0	0	12	0	0	0	0	1	5	0	0	0	0	0	1	0	1	0	1
16166	24993	"Fangeas"	44.71611	6.44944	17	"AWI"	17	1030	1670	1420	7	0	10	0	0	1	0	4	0	0	0	0	0	0	1	0	0	5	0	1	0	65	0	0	0	0	0	8	0	1	0	0	0	0	0	0	16	0	0	0	0	1	0	341	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	2	0	0	0	0	3	0	1
16166	24993	"Fangeas"	44.71611	6.44944	18	"AWI"	18	1225	1695	1498	7	1	10	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	1	0	30	0	0	0	0	0	3	0	1	0	0	3	0	0	0	11	0	0	1	0	0	2	241	0	5	281	0	0	0	16	1	0	0	0	1	1	2	0	0	1	1	0	1	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	19	"AWI"	19	1408	1735	1576	2	0	5	1	0	7	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	91	0	0	0	0	0	1	0	0	1	0	3	0	0	0	11	1	0	1	0	0	0	138	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
16166	24993	"Fangeas"	44.71611	6.44944	20	"AWI"	20	1541	1800	1659	5	0	6	0	0	4	0	4	0	0	1	1	0	0	0	0	0	1	0	0	0	111	0	0	0	0	0	4	1	0	1	0	3	0	1	0	13	0	0	0	0	0	0	193	0	0	0	0	0	0	14	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0
16166	24993	"Fangeas"	44.71611	6.44944	21	"AWI"	21	1593	1835	1707	10	0	0	1	0	4	0	2	0	1	0	0	0	0	0	0	0	0	0	1	1	13	0	0	0	0	0	1	1	2	7	0	0	0	0	0	13	0	0	1	0	0	3	261	0	0	0	0	0	0	19	1	0	0	0	1	1	0	0	20	0	1	0	0	1	0	1
16166	24993	"Fangeas"	44.71611	6.44944	23	"AWI"	23	1643	1973	1792	15	0	10	0	0	7	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	243	0	0	0	0	0	5	1	0	1	0	6	0	0	0	24	0	0	1	0	0	0	272	0	0	0	0	0	0	19	1	0	0	0	1	35	0	0	0	0	2	0	1	0	0	1
16166	24993	"Fangeas"	44.71611	6.44944	24	"AWI"	24	1654	2067	1832	14	1	11	3	0	7	0	4	0	0	2	0	0	0	0	0	0	1	0	2	0	160	0	0	0	0	0	6	1	2	1	0	10	0	0	0	28	0	0	0	0	0	1	130	0	0	0	0	0	0	11	0	0	0	0	0	19	0	0	0	0	4	0	0	1	0	0
16166	24993	"Fangeas"	44.71611	6.44944	25	"AWI"	25	1663	2170	1873	31	1	6	6	0	6	0	3	2	0	0	0	0	0	0	0	0	0	0	3	1	290	0	0	0	0	0	6	0	0	1	0	9	0	1	0	12	0	0	0	0	0	0	119	4	0	0	0	0	0	15	1	0	0	0	0	28	1	0	2	0	1	0	0	2	0	1
16166	24993	"Fangeas"	44.71611	6.44944	26	"AWI"	26	1856	2223	2006	18	0	11	1	0	4	0	2	0	0	1	0	0	0	0	0	0	0	0	8	0	160	0	0	0	0	0	10	0	0	2	0	12	0	0	0	22	0	0	0	0	0	0	292	11	0	52	0	0	0	25	1	0	0	0	1	21	1	0	1	0	3	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	30	"AWI"	30	2126	2907	2553	0	1	0	2	0	4	0	6	4	0	1	0	0	0	0	1	0	1	0	11	0	17	0	0	0	0	0	18	1	0	1	0	2	0	1	0	12	0	0	1	0	0	2	520	0	0	0	0	0	0	32	1	0	1	0	0	3	37	0	0	4	1	1	1	1	0	1
16166	24993	"Fangeas"	44.71611	6.44944	32	"AWI"	32	2210	3349	3167	45	1	5	0	0	1	0	16	0	0	0	0	0	0	0	0	0	1	0	10	0	41	0	0	0	0	0	6	5	2	1	0	6	0	0	0	23	0	0	1	0	0	0	637	0	0	0	0	0	0	27	0	0	0	0	0	0	22	0	3	0	2	0	0	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	34	"AWI"	34	2258	4008	3751	17	1	0	0	0	3	0	24	0	0	1	0	0	0	0	0	0	0	0	6	0	28	1	0	0	0	0	4	1	0	1	0	0	0	0	0	12	0	0	0	0	0	0	387	0	0	0	0	0	1	15	0	0	0	0	1	3	2	0	1	0	0	0	2	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	40	"AWI"	40	2429	4702	4143	19	1	6	1	0	1	0	22	0	0	0	0	0	0	0	0	0	2	0	3	1	35	0	0	0	0	0	0	0	0	0	0	2	0	1	0	3	0	0	0	0	0	0	525	0	0	0	0	0	0	15	0	0	0	0	0	1	2	0	1	1	1	0	1	0	0	0
16166	24993	"Fangeas"	44.71611	6.44944	50	"AWI"	50	2703	5194	4436	47	1	0	1	0	4	0	29	0	0	3	0	0	0	0	0	0	1	0	10	0	60	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	890	5	0	0	0	0	0	26	0	0	0	0	2	3	9	0	0	7	2	0	0	1	0	0
16166	24993	"Fangeas"	44.71611	6.44944	56	"AWI"	56	2890	5439	4616	30	4	0	2	0	0	0	30	0	0	1	0	0	0	0	0	0	2	0	2	1	70	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	459	0	2	0	0	0	0	11	0	0	0	0	0	2	7	0	3	4	1	1	1	0	0	0
