"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16168	25481	"Lac des Boites"	45.05611	5.88528	105	"AWI"	105	1426	1969	1720	12	0	11	1	0	0	0	0	15	0	0	0	0	0	0	1	0	0	0	6	0	26	0	0	0	0	0	7	0	0	0	0	0	0	0	17	4	0	0	0	2	0	0	4	37	0	0	0	0	0	23	0	0	0	11	0	5	0	0	1	1	0	0	0	1	0	0	2	0	0	24	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	110	"AWI"	110	1539	2033	1803	11	0	14	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	4	0	51	0	0	0	0	0	7	0	0	1	0	0	0	0	13	4	0	0	0	2	0	0	1	23	0	0	0	2	0	35	0	0	0	15	0	1	0	0	1	9	0	0	0	1	1	0	0	0	2	42	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	115	"AWI"	115	1635	2087	1877	7	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	12	0	42	0	0	0	0	0	7	0	1	0	0	0	0	0	8	5	0	0	0	2	0	0	2	44	0	0	0	0	0	13	0	0	0	14	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	24	0	2
16168	25481	"Lac des Boites"	45.05611	5.88528	120	"AWI"	120	1688	2197	1946	23	0	27	1	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	14	0	63	1	0	0	0	0	12	0	1	0	0	0	0	0	13	2	0	0	0	6	0	0	0	78	0	1	0	0	0	61	0	0	0	15	0	3	0	0	0	7	0	0	0	0	1	0	0	3	3	46	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	125	"AWI"	125	1749	2260	2013	30	1	0	0	0	0	2	0	10	0	0	1	0	0	0	9	0	0	0	17	0	39	0	0	0	0	0	12	0	1	0	0	0	0	0	18	2	0	0	0	5	0	0	2	217	43	0	0	0	0	30	0	0	0	16	2	1	0	0	0	3	1	0	0	0	0	0	1	3	0	39	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	130	"AWI"	130	1792	2360	2080	62	0	47	0	0	0	2	0	40	0	0	0	1	0	0	3	0	0	0	16	0	32	0	0	0	0	0	32	0	0	0	0	0	0	0	11	3	0	0	0	3	0	0	1	133	0	0	0	0	0	31	0	1	0	32	1	11	0	0	0	3	3	0	0	0	1	0	2	4	1	28	0	1
16168	25481	"Lac des Boites"	45.05611	5.88528	135	"AWI"	135	1863	2404	2150	111	0	0	1	0	0	2	0	14	0	0	0	0	0	0	0	0	0	0	11	0	21	0	0	0	0	0	31	0	0	0	0	0	0	0	7	1	0	0	0	1	0	0	0	207	0	0	0	0	0	0	0	0	0	35	1	2	0	0	0	4	0	0	1	0	0	0	0	3	0	5	0	0
16168	25481	"Lac des Boites"	45.05611	5.88528	140	"AWI"	140	1913	2486	2216	45	0	40	0	0	0	3	0	17	0	0	1	0	0	0	1	0	0	0	15	0	7	0	0	0	0	0	29	0	1	0	0	0	0	0	14	2	1	0	0	0	0	0	0	140	20	0	0	0	0	27	0	0	0	17	0	6	1	0	0	1	1	0	0	0	1	0	1	2	2	10	1	0
16168	25481	"Lac des Boites"	45.05611	5.88528	145	"AWI"	145	1995	2538	2284	31	0	0	1	0	0	4	0	29	0	0	0	0	0	0	3	0	0	0	29	0	9	0	0	0	0	0	42	0	0	0	0	0	0	0	13	0	1	0	1	2	0	0	2	184	0	0	0	0	0	17	0	0	0	32	0	3	0	0	0	3	1	0	0	0	0	0	1	6	4	4	1	0
16168	25481	"Lac des Boites"	45.05611	5.88528	150	"AWI"	150	2044	2614	2354	43	1	30	0	0	0	3	0	33	1	0	0	0	0	0	4	0	0	0	44	0	26	0	0	0	0	0	40	0	1	0	0	0	0	0	5	1	0	0	0	1	0	0	1	179	0	0	0	0	0	26	0	0	0	27	0	3	0	0	0	4	1	0	1	1	0	0	1	4	1	3	0	0
