"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Olea"	"Orobanchaceae"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
2989	3893	"Atxuri"	43.25028	-1.55111	0	"AWI"	0	-114	52	-34	0	1	13	5	1	1	0	0	2	0	2	0	0	0	0	4	14	0	18	48	0	0	25	2	0	0	0	0	0	8	0	0	0	0	52	0	0	3	0	41	7	3	0	0	5	2	1	0	0	0	1	0
2989	3893	"Atxuri"	43.25028	-1.55111	5	"AWI"	5	18	542	211	0	0	8	2	1	0	2	0	3	0	1	0	0	0	0	5	13	1	5	67	0	1	25	2	0	6	0	0	1	5	0	0	0	0	33	0	0	0	100	29	0	1	0	2	2	3	0	0	1	0	0	0
2989	3893	"Atxuri"	43.25028	-1.55111	10	"AWI"	10	188	876	482	0	0	23	1	1	0	6	0	0	0	0	1	0	0	0	5	27	2	25	59	0	0	70	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	77	40	2	2	0	1	3	1	0	0	0	0	1	1
2989	3893	"Atxuri"	43.25028	-1.55111	15	"AWI"	15	398	1153	747	0	0	14	2	2	0	6	0	4	0	0	0	0	0	0	7	33	0	11	67	0	1	71	0	0	0	0	1	0	1	0	0	0	0	6	1	3	0	73	48	5	0	0	1	1	1	0	0	0	0	1	0
2989	3893	"Atxuri"	43.25028	-1.55111	20	"AWI"	20	631	1407	1021	0	0	23	0	3	0	4	5	3	0	0	0	0	1	0	2	28	0	38	47	0	0	57	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	86	51	0	1	0	0	1	0	0	1	0	0	2	0
2989	3893	"Atxuri"	43.25028	-1.55111	25	"AWI"	25	905	1628	1292	0	0	32	1	0	0	1	0	4	0	0	0	0	0	0	1	25	0	20	69	0	0	66	6	0	2	0	0	0	0	2	0	0	1	11	0	0	0	66	64	6	0	0	0	2	0	0	0	0	0	3	0
2989	3893	"Atxuri"	43.25028	-1.55111	30	"AWI"	30	1213	1835	1553	0	0	46	0	1	0	2	4	4	1	0	0	0	0	0	0	46	0	64	53	0	0	77	0	0	1	0	0	1	0	0	0	0	1	9	0	0	0	54	56	0	0	0	0	1	1	1	1	0	0	1	0
2989	3893	"Atxuri"	43.25028	-1.55111	32	"AWI"	32	1346	1923	1658	0	0	30	0	0	0	5	0	5	1	0	0	0	0	0	0	50	0	17	98	0	0	74	2	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	89	0	0	0	1	0	0	2	0	0	0	1	0
2989	3893	"Atxuri"	43.25028	-1.55111	34	"AWI"	34	1509	1994	1756	0	0	27	0	0	0	4	0	4	0	0	0	0	1	0	0	44	0	25	22	0	0	136	2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	87	0	2	0	0	1	1	2	0	0	0	3	0
2989	3893	"Atxuri"	43.25028	-1.55111	35	"AWI"	35	1579	2035	1807	0	0	21	1	0	0	0	0	6	0	0	0	0	0	0	1	40	0	24	35	0	0	163	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	31	61	13	0	0	0	1	0	0	0	0	0	3	0
