"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	10	"AWI"	10	-142	38	-47	6	0	13	22	0	7	0	15	0	8	1	0	0	0	0	2	0	1	5	6	4	0	0	3	5	5	0	7	1	5	0	0	0	0	168	186	0	0	0	0	55	0	0	5	0	1	1	3	0	0	1	7
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	30	"AWI"	30	-125	108	-24	5	0	8	20	0	7	0	5	0	7	4	0	0	0	0	4	2	2	7	17	0	0	0	0	3	9	0	7	0	14	0	0	0	0	84	0	0	0	0	0	31	0	4	0	3	2	0	0	0	8	1	10
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	50	"AWI"	50	-106	159	-2	2	0	8	7	0	5	0	7	0	1	2	0	1	0	0	1	0	0	5	10	1	0	0	0	0	0	0	6	0	7	0	0	0	0	55	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	70	"AWI"	70	-89	213	21	2	0	0	5	1	12	0	13	0	5	0	0	1	0	0	2	1	0	13	29	0	0	0	0	0	0	0	9	0	2	0	0	0	0	66	0	0	0	0	0	27	0	3	3	1	2	0	0	0	0	1	5
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	90	"AWI"	90	-66	258	45	2	0	0	8	1	12	2	23	0	11	7	0	0	0	0	4	1	0	28	91	1	0	0	0	4	2	0	11	2	11	0	0	0	0	69	0	0	0	0	0	51	3	2	2	1	2	0	0	0	0	1	6
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	110	"AWI"	110	-52	316	69	4	2	28	5	0	8	1	23	0	7	0	0	0	0	0	3	1	0	19	55	1	0	0	0	1	4	0	13	5	7	0	0	1	1	46	0	0	655	0	0	42	0	0	0	2	5	0	0	0	0	0	9
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	130	"AWI"	130	-26	357	92	6	0	32	10	0	19	0	45	0	13	5	0	1	0	0	2	1	0	19	110	0	0	0	0	2	1	1	43	7	9	0	0	0	0	59	0	0	0	0	0	49	4	0	15	3	4	0	0	0	1	0	6
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	150	"AWI"	150	9	408	124	2	0	0	2	0	9	0	17	0	5	3	0	0	0	0	2	1	0	9	113	2	0	0	1	2	2	0	20	2	3	0	0	0	0	54	0	0	356	0	0	46	2	0	1	0	3	0	2	0	1	2	3
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	170	"AWI"	170	72	477	205	5	1	11	3	0	10	0	12	0	6	1	0	0	34	0	2	1	0	9	183	4	0	0	1	7	0	0	30	1	4	0	0	0	0	41	0	0	0	0	0	29	11	0	8	5	3	0	2	0	0	1	3
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	190	"AWI"	190	188	576	364	3	0	17	5	0	6	0	8	0	6	1	0	0	34	0	2	0	0	11	96	3	0	0	0	4	0	0	23	3	1	0	0	0	0	44	0	0	0	0	0	36	1	0	1	3	4	0	0	0	1	0	5
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	210	"AWI"	210	372	814	671	4	0	0	3	0	2	0	44	0	16	0	0	0	49	0	0	3	0	27	94	5	0	0	0	2	2	0	17	6	9	0	0	0	2	25	0	0	0	1	0	41	0	0	1	5	31	0	0	0	4	5	1
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	230	"AWI"	230	504	1074	846	4	1	60	2	0	4	1	37	0	17	4	0	0	71	0	1	1	0	45	62	3	0	0	0	5	2	0	39	10	2	1	0	0	0	50	0	0	0	1	0	49	0	0	2	1	86	0	0	0	0	5	3
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	250	"AWI"	250	609	1152	936	3	0	26	3	0	3	0	22	0	6	1	0	0	24	0	2	0	0	26	31	0	0	0	0	8	2	0	33	16	2	1	0	0	0	36	0	0	0	0	0	46	3	0	0	0	70	0	0	0	4	2	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	270	"AWI"	270	749	1220	1023	1	0	48	7	0	2	0	86	0	18	3	1	0	79	0	0	0	0	68	46	1	0	0	1	13	4	0	61	11	4	0	1	0	0	47	0	0	0	0	0	73	0	0	1	1	37	0	0	0	4	8	2
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	290	"AWI"	290	848	1275	1112	1	1	0	2	0	12	0	47	0	14	2	0	0	74	0	1	0	0	56	43	1	0	0	0	12	2	0	16	24	1	0	0	0	0	21	0	0	0	0	0	25	1	0	0	2	16	0	0	0	3	8	2
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	310	"AWI"	310	1045	1328	1204	7	0	0	3	0	5	0	41	0	11	2	0	0	9	0	0	2	0	18	79	14	0	0	0	5	0	0	24	9	7	0	0	0	0	97	0	0	0	0	0	20	0	0	4	0	24	0	4	0	3	0	1
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	330	"AWI"	330	1126	1477	1303	3	0	0	1	0	1	0	23	0	4	1	0	0	24	0	0	0	0	4	34	2	0	0	0	8	0	0	13	4	0	0	1	0	0	27	0	0	0	0	0	13	2	0	1	2	29	0	0	0	0	4	2
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	350	"AWI"	350	1203	1657	1414	19	1	15	26	0	3	0	41	0	7	5	0	0	8	0	1	0	0	6	52	7	0	0	0	7	0	1	6	2	5	0	0	0	0	89	0	0	0	0	0	19	0	0	1	0	16	0	0	0	0	3	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	370	"AWI"	370	1263	1914	1518	38	0	41	14	0	20	0	95	0	19	5	0	0	13	0	2	2	0	37	87	4	0	0	0	26	3	0	3	11	9	0	0	0	0	125	155	0	0	0	0	58	0	0	3	2	2	0	0	0	0	27	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	390	"AWI"	390	1340	2036	1641	40	0	40	16	0	9	0	119	0	44	1	0	0	33	0	2	1	0	32	153	8	0	0	0	37	2	0	6	6	14	0	0	0	2	159	0	0	0	0	0	66	0	0	12	2	1	0	5	0	2	32	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	410	"AWI"	410	1422	2187	1757	21	0	56	9	0	4	0	51	14	29	1	0	0	73	0	0	1	0	40	45	5	0	0	0	45	1	0	7	3	8	0	0	0	1	96	131	0	0	1	0	37	1	0	1	0	3	0	5	0	2	0	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	430	"AWI"	430	1514	2274	1889	30	2	60	5	0	0	0	48	0	24	4	0	0	20	0	0	0	0	29	74	18	0	0	0	58	2	0	13	15	1	0	0	0	1	153	154	0	0	0	0	58	1	0	0	1	1	0	3	0	4	4	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	450	"AWI"	450	1627	2392	2012	35	1	151	17	0	3	0	69	0	22	0	0	0	22	0	1	3	0	80	49	24	0	2	0	57	0	0	22	5	3	0	0	0	2	187	0	0	0	1	0	73	1	0	2	2	2	0	0	0	0	1	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	470	"AWI"	470	1728	2487	2143	29	1	0	8	0	4	0	27	0	26	3	0	0	38	0	1	0	0	43	50	8	0	0	0	34	3	0	19	11	5	0	0	0	0	164	0	0	0	0	0	34	2	0	4	0	2	0	1	0	1	6	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	490	"AWI"	490	1874	2565	2262	21	0	33	7	0	4	0	20	0	9	2	0	0	11	0	1	0	0	19	38	10	0	0	0	23	0	0	21	10	0	0	0	0	0	92	0	0	0	0	0	51	0	0	4	1	1	0	0	0	0	0	0
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	510	"AWI"	510	1993	2650	2385	36	0	125	4	0	4	0	31	0	33	1	0	0	49	0	2	0	0	61	64	13	0	0	0	46	7	0	36	11	2	0	0	0	3	103	0	0	0	0	0	79	3	0	0	0	3	0	1	0	3	1	1
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	530	"AWI"	530	2254	2701	2495	25	0	44	8	0	2	0	18	0	53	0	0	0	2	0	0	1	0	55	44	2	0	0	0	22	7	0	3	20	11	0	0	0	0	75	0	0	0	0	0	218	0	0	2	0	0	0	0	6	1	0	1
23402	40321	"Lac du Mont d'Orge Sion"	46.23376	7.33926	550	"AWI"	550	2405	2790	2615	22	1	65	2	0	2	0	43	0	180	1	0	0	1	0	0	5	0	72	22	15	0	0	0	35	4	0	0	26	8	0	0	0	1	66	0	0	0	0	0	198	1	0	3	1	3	0	1	0	4	2	0
