"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3106	4041	"Flaatevatn"	59.70032	6.171564	15	"AWI"	15	100	1688	650	15	1	0	0	1	6	84	1	0	0	2	0	177	0	0	0	0	0	0	27	0	0	1	0	113	1	84	0	0	6	0	0	8	1	2	0	0	0	2
3106	4041	"Flaatevatn"	59.70032	6.171564	25	"AWI"	25	390	2305	1191	15	0	0	0	1	0	138	0	0	0	2	0	281	0	0	0	0	0	0	24	9	0	3	1	91	5	0	1	0	5	1	0	8	1	1	0	0	3	2
3106	4041	"Flaatevatn"	59.70032	6.171564	35	"AWI"	35	835	2910	1769	29	0	0	0	0	0	107	0	0	0	0	0	289	0	0	1	0	0	0	21	0	0	0	0	76	4	0	0	0	7	1	0	3	2	0	0	0	1	1
3106	4041	"Flaatevatn"	59.70032	6.171564	45	"AWI"	45	1167	3612	2373	48	0	0	0	0	0	196	2	0	0	2	0	469	0	0	0	4	0	0	9	0	0	3	0	107	1	0	1	0	4	0	0	5	2	1	0	1	2	2
3106	4041	"Flaatevatn"	59.70032	6.171564	55	"AWI"	55	1670	4062	2934	42	0	0	0	1	0	160	1	0	0	1	0	172	0	0	0	1	1	0	11	1	0	1	0	119	0	0	0	0	22	0	0	5	0	2	0	0	9	1
3106	4041	"Flaatevatn"	59.70032	6.171564	65	"AWI"	65	2208	4386	3496	41	0	1	0	0	0	124	1	0	0	1	0	181	0	0	0	0	0	0	6	0	0	3	0	152	0	0	0	0	13	1	0	3	0	0	0	0	20	1
3106	4041	"Flaatevatn"	59.70032	6.171564	85	"AWI"	85	4125	4904	4644	66	0	1	0	0	0	137	0	0	0	2	0	114	0	0	0	0	0	0	5	0	0	0	1	109	0	0	0	0	32	0	0	2	1	4	0	1	15	1
3106	4041	"Flaatevatn"	59.70032	6.171564	105	"AWI"	105	4862	5596	5160	109	0	1	0	1	4	149	1	0	0	3	0	92	0	0	0	1	0	0	0	0	0	4	1	68	0	0	0	0	10	1	0	5	3	7	0	0	16	1
3106	4041	"Flaatevatn"	59.70032	6.171564	125	"AWI"	125	5163	6057	5577	89	0	0	0	0	6	134	0	0	0	8	1	112	0	0	0	2	1	0	3	0	0	5	0	71	0	0	0	0	18	1	0	9	0	4	0	3	12	0
3106	4041	"Flaatevatn"	59.70032	6.171564	135	"AWI"	135	5334	6252	5792	96	1	0	0	0	10	131	0	0	0	0	0	124	0	0	0	0	0	0	3	0	0	1	0	50	0	0	0	0	4	1	0	2	1	4	0	0	13	2
3106	4041	"Flaatevatn"	59.70032	6.171564	145	"AWI"	145	5542	6421	6009	74	0	1	0	0	3	105	0	0	0	7	1	139	0	0	0	1	0	0	6	0	0	4	0	55	0	0	1	1	15	1	0	6	0	3	0	2	12	2
3106	4041	"Flaatevatn"	59.70032	6.171564	155	"AWI"	155	5772	6571	6225	83	0	2	0	0	0	141	0	0	0	8	0	101	0	0	0	1	0	0	6	3	1	6	0	64	0	0	0	1	14	0	0	0	2	2	0	0	5	0
3106	4041	"Flaatevatn"	59.70032	6.171564	165	"AWI"	165	6033	6699	6438	99	0	1	0	0	4	146	0	0	0	3	0	185	0	0	0	2	1	0	8	0	0	4	0	51	0	0	0	0	3	0	0	2	3	5	0	1	11	2
3106	4041	"Flaatevatn"	59.70032	6.171564	175	"AWI"	175	6412	6813	6636	94	0	1	0	0	8	102	0	0	0	2	0	143	0	0	0	2	1	0	13	0	0	5	0	54	0	0	0	0	16	2	0	6	3	6	0	0	7	1
3106	4041	"Flaatevatn"	59.70032	6.171564	185	"AWI"	185	6676	7035	6819	175	0	0	0	1	11	143	0	0	0	1	0	75	0	0	0	1	0	0	8	0	0	15	0	54	0	0	0	0	3	1	0	5	1	12	0	0	10	1
3106	4041	"Flaatevatn"	59.70032	6.171564	200	"AWI"	200	6797	7563	7092	195	0	1	0	1	7	125	0	0	0	0	0	52	0	0	0	1	0	0	8	0	0	6	0	51	0	0	0	0	1	0	0	1	0	4	0	0	9	0
3106	4041	"Flaatevatn"	59.70032	6.171564	225	"AWI"	225	7143	8059	7561	173	0	2	0	3	4	178	0	0	0	2	0	42	0	0	0	2	2	0	9	0	0	6	0	47	0	0	0	0	3	0	0	1	3	7	0	0	11	0
3106	4041	"Flaatevatn"	59.70032	6.171564	240	"AWI"	240	7360	8336	7856	223	0	2	0	1	3	112	1	0	0	0	0	36	0	0	0	0	0	0	13	0	0	5	0	53	0	0	0	0	1	0	0	2	0	6	0	0	12	0
3106	4041	"Flaatevatn"	59.70032	6.171564	260	"AWI"	260	7725	8643	8229	109	0	2	0	0	0	146	1	0	0	1	0	44	0	0	0	0	2	0	3	0	0	15	0	66	0	0	0	0	2	1	0	2	3	0	0	0	17	0
3106	4041	"Flaatevatn"	59.70032	6.171564	270	"AWI"	270	7909	8779	8416	129	0	1	0	2	0	148	0	0	0	4	0	57	0	0	0	0	2	0	10	0	0	12	0	78	0	0	0	0	5	1	0	0	2	2	0	0	7	0
3106	4041	"Flaatevatn"	59.70032	6.171564	280	"AWI"	280	8167	8911	8604	77	0	3	0	0	0	284	2	0	2	5	0	78	0	0	0	0	2	0	11	0	0	10	0	76	0	0	0	0	6	2	0	2	1	1	0	2	8	1
3106	4041	"Flaatevatn"	59.70032	6.171564	285	"AWI"	285	8334	8944	8687	56	0	2	0	0	0	205	0	0	0	5	0	62	0	0	0	0	0	0	3	0	0	4	0	75	0	0	0	0	3	2	0	5	4	0	0	0	19	1
