"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Ilex"	"Juglans"	"Lamiaceae"	"Linaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3110	4047	"Mobeche Forest"	48.51667	-1	12	"AWI"	12	-46	214	53	0	3	0	3	7	0	0	2	3	0	14	3	36	0	0	9	0	0	0	0	0	1	1	0	25	7	49	0	27	0	0	0	0	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	15	"AWI"	15	-35	247	71	0	3	2	6	7	0	0	0	4	0	8	3	66	0	0	10	0	0	0	0	0	1	0	0	12	1	70	0	46	0	0	0	0	0	0	0	0	2	0
3110	4047	"Mobeche Forest"	48.51667	-1	17	"AWI"	17	-23	258	84	0	5	1	2	14	1	0	1	1	0	5	1	53	0	1	5	2	0	0	0	0	0	0	0	15	4	58	0	47	0	0	0	1	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	20	"AWI"	20	-11	277	105	0	0	3	2	18	1	0	0	0	0	7	5	78	0	3	11	3	0	0	1	1	0	0	0	10	0	51	1	50	0	0	0	1	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	22	"AWI"	22	-5	292	118	1	2	1	2	10	3	0	1	3	0	12	1	58	0	2	12	1	0	0	0	1	0	0	0	10	2	65	0	72	0	0	0	2	1	1	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	25	"AWI"	25	3	319	138	3	0	1	0	9	1	0	0	1	0	12	3	31	0	0	8	2	0	0	0	0	0	0	0	4	0	69	0	95	0	0	0	1	0	0	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	27	"AWI"	27	7	340	150	0	3	4	3	6	0	0	0	2	1	11	4	14	0	1	5	0	0	1	0	0	0	0	0	4	9	64	0	54	0	0	0	0	0	0	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	30	"AWI"	30	25	357	169	0	3	0	2	3	2	0	0	4	0	9	0	14	0	0	2	1	0	0	0	0	0	0	0	1	4	58	0	39	0	0	0	1	0	0	2	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	32	"AWI"	32	37	366	183	0	11	0	0	3	0	0	0	2	0	3	1	11	0	0	5	0	0	0	0	0	0	0	0	2	5	54	0	46	0	0	0	0	0	0	1	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	35	"AWI"	35	50	380	202	0	3	3	4	1	0	0	2	0	0	3	2	64	0	0	5	0	0	0	0	0	0	0	0	2	3	51	0	43	0	0	0	0	0	0	1	1	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	37	"AWI"	37	58	394	216	0	3	1	3	0	0	0	0	0	0	7	0	74	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	34	0	0	0	2	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	40	"AWI"	40	68	415	235	0	2	2	0	0	0	0	0	0	0	5	3	119	0	0	4	0	0	0	0	0	0	0	0	0	1	19	0	19	0	0	0	0	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	41	"AWI"	41	70	423	242	0	2	1	0	0	0	0	0	1	0	6	2	84	0	0	2	0	0	0	0	0	0	0	0	1	1	28	0	14	0	0	0	0	1	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	42	"AWI"	42	77	429	249	0	23	0	1	2	0	0	0	0	0	1	1	47	0	0	1	0	0	0	0	0	0	0	0	0	1	39	1	14	0	0	0	0	0	0	0	0	1	1
3110	4047	"Mobeche Forest"	48.51667	-1	45	"AWI"	45	103	442	268	0	27	0	4	1	0	0	0	0	0	1	2	34	0	0	4	0	0	0	0	0	0	0	0	3	2	47	1	42	0	0	0	0	0	1	0	0	2	0
3110	4047	"Mobeche Forest"	48.51667	-1	47	"AWI"	47	114	451	282	1	46	0	6	2	1	0	1	0	0	1	3	27	0	0	2	1	0	0	0	0	0	0	0	0	1	50	0	36	0	0	0	0	2	0	0	1	1	0
3110	4047	"Mobeche Forest"	48.51667	-1	50	"AWI"	50	130	467	303	1	51	0	3	0	0	0	0	0	0	0	6	25	0	1	3	0	0	0	0	0	0	0	0	0	0	33	0	25	0	0	0	0	0	0	0	0	2	0
3110	4047	"Mobeche Forest"	48.51667	-1	52	"AWI"	52	140	479	316	0	65	1	0	1	0	10	1	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	1	21	1	23	0	0	0	0	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	55	"AWI"	55	152	504	336	1	166	0	5	3	0	0	1	0	0	2	2	4	0	0	2	0	0	0	0	1	0	0	0	1	2	0	0	31	0	0	0	1	1	0	0	0	2	1
3110	4047	"Mobeche Forest"	48.51667	-1	57	"AWI"	57	172	510	348	0	236	0	1	2	0	0	0	0	0	0	4	2	0	1	6	0	0	0	0	0	0	1	1	0	0	37	0	15	0	0	0	0	0	0	0	0	0	0
3110	4047	"Mobeche Forest"	48.51667	-1	60	"AWI"	60	195	520	367	0	306	2	0	5	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	3	32	0	15	0	0	0	0	1	0	0	0	0	0
