"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"
3114	4056	"Le Fourneau"	48.44444	-0.19167	5	"AWI"	5	-77	243	51	0	0	3	2	0	5	0	0	248	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	21	0	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	7.5	"AWI"	7.5	-23.5	282	112	0	0	6	2	1	1	2	0	219	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	0	0	0	22	1	0	0	6	0	0	0	5	0	0	0	0	1	2	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	10	"AWI"	10	3	359	169	2	0	4	2	3	2	1	0	176	2	0	0	0	0	0	0	3	0	0	0	5	0	2	0	0	5	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	73	0	0	0	12	0	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	12.5	"AWI"	12.5	59.5	387.5	228.5	3	0	7	2	1	1	2	0	159	1	0	0	0	0	0	1	1	0	0	0	4	0	2	0	0	15	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	12	1	0	0	3	0	2	0	12	0	0	0	0	0	2	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	15	"AWI"	15	98	439	289	2	0	36	2	3	2	2	0	62	3	1	0	0	0	0	0	2	0	0	0	11	0	30	0	0	20	0	0	7	2	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	78	0	0	0	34	2	0	0	2	0	0	0	2	0	0	0	0	0	2	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	20	"AWI"	20	270	716	488	2	0	38	2	2	2	2	0	73	2	0	0	2	0	0	0	3	0	0	0	18	0	11	0	0	24	0	0	15	2	0	0	4	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	66	0	0	0	54	0	0	0	0	0	0	0	9	0	0	0	0	0	8	2	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	25	"AWI"	25	521	1486	977	1	0	50	1	2	1	2	0	86	1	0	0	1	0	0	0	0	0	0	0	38	0	14	0	0	6	0	0	25	2	2	0	5	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	42	0	0	0	36	0	0	0	1	0	1	0	13	0	0	0	0	0	8	3	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	30	"AWI"	30	1327	1682	1537	0	0	65	2	2	2	0	0	115	0	0	0	0	0	0	1	0	0	0	0	16	0	11	0	0	5	0	0	26	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	57	1	0	0	2	0	0	0	14	0	0	0	0	0	9	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	35	"AWI"	35	1476	2172	1742	0	0	81	2	1	2	2	0	53	0	0	0	0	0	0	2	0	0	0	0	35	0	0	0	0	3	0	0	5	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	2	0	0	1	0	0	0	8	0	0	0	0	0	15	1	0	0	0
3114	4056	"Le Fourneau"	48.44444	-0.19167	40	"AWI"	40	1584	2535	1945	0	2	146	0	1	3	0	0	19	0	0	0	0	0	0	0	0	0	0	0	52	0	2	0	0	0	0	0	5	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	145	2	0	0	6	0	0	0	2	0	0	0	0	0	11	2	0	0	0
