"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3127	4071	"Giannitsa B"	40.66667	22.31667	312	"AWI"	312	6671	7054	6872	7	0	7	8	0	0	7	0	0	0	1	0	0	0	0	0	0	11	0	0	0	0	0	15	3	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	15	0	0	316	0	0	0	0	76	0	262	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0
3127	4071	"Giannitsa B"	40.66667	22.31667	340	"AWI"	340	6724	7102	6922	13	1	4	10	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	8	8	0	0	0	0	0	13	0	0	0	0	6	0	0	0	0	0	0	0	38	0	0	182	1	0	0	0	37	0	130	1	0	0	0	0	0	7	0	0	0	0	0	1	0	2	1	0	0
3127	4071	"Giannitsa B"	40.66667	22.31667	360	"AWI"	360	6763	7136	6959	6	0	14	14	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	7	10	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	0	29	0	0	235	1	0	0	0	69	0	150	0	0	0	0	1	0	3	0	0	0	1	0	1	0	1	2	0	1
3127	4071	"Giannitsa B"	40.66667	22.31667	380	"AWI"	380	6799	7168	6994	2	0	21	8	0	1	0	0	0	0	3	0	0	1	1	0	0	4	0	0	0	0	1	26	8	0	0	1	0	0	5	4	0	0	0	125	0	0	1	0	0	0	0	57	0	0	66	0	0	0	0	30	0	283	2	0	0	0	0	0	12	0	0	0	1	0	0	0	1	2	0	2
3127	4071	"Giannitsa B"	40.66667	22.31667	404	"AWI"	404	6845	7206	7037	5	0	33	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	33	0	0	2	0	0	2	0	0	0	1	3	0	0	0	0	0	2	0	32	0	0	176	0	0	0	0	60	0	129	0	0	0	0	1	0	16	0	0	0	0	0	0	0	1	4	0	4
3127	4071	"Giannitsa B"	40.66667	22.31667	450	"AWI"	450	6931	7284	7119	3	0	71	13	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	26	21	1	2	1	0	0	10	0	0	0	0	4	0	0	0	0	0	1	0	62	0	0	39	0	0	0	0	474	0	123	0	0	0	0	1	0	63	0	0	1	0	0	0	0	1	16	0	9
3127	4071	"Giannitsa B"	40.66667	22.31667	500	"AWI"	500	7024	7366	7208	5	0	41	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	8	56	0	0	4	0	0	17	6	0	0	0	3	0	0	0	3	0	0	0	40	0	0	92	1	0	0	0	0	0	157	1	0	0	0	1	0	7	0	0	0	0	0	0	0	1	16	0	2
3127	4071	"Giannitsa B"	40.66667	22.31667	548	"AWI"	548	7118	7445	7294	17	1	25	42	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	13	7	0	0	5	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	58	4	1	253	0	0	0	0	183	0	267	0	0	0	0	1	0	1	0	0	0	0	0	0	0	13	17	0	4
3127	4071	"Giannitsa B"	40.66667	22.31667	580	"AWI"	580	7177	7498	7351	20	0	71	57	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	57	17	0	0	4	0	0	3	20	0	0	0	3	0	0	0	0	0	0	0	155	0	0	224	2	0	0	0	0	0	417	2	0	0	0	1	0	6	0	1	0	0	1	0	0	4	25	0	15
3127	4071	"Giannitsa B"	40.66667	22.31667	600	"AWI"	600	7216	7534	7386	20	0	29	62	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	42	12	0	0	3	0	0	3	5	0	0	0	1	0	0	0	0	0	0	0	74	1	2	292	0	0	0	0	351	0	226	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13	25	0	6
