"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3134	4078	"Gotnavolok"	62.2	33.8	10	"AWI"	10	-114	74	-22	1	0	3	3	2	1	0	1	0	0	0	18	0	3	1	0	0	0	25	158	1	14	0	0	0	0	0	0	0	3	0	1	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	25	"AWI"	25	-80	203	33	1	0	3	0	0	0	0	0	0	0	0	14	0	5	1	0	0	0	33	78	0	18	1	0	0	0	0	0	1	4	0	0	0	0	1
3134	4078	"Gotnavolok"	62.2	33.8	50	"AWI"	50	-7	310	140	0	0	0	0	2	0	0	0	0	0	0	11	0	5	0	0	0	0	10	80	0	15	0	0	0	0	0	0	1	5	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	75	"AWI"	75	90	395	249	0	0	0	0	0	0	0	0	0	1	1	6	0	3	0	0	0	0	24	117	0	8	0	1	0	1	0	0	0	2	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	100	"AWI"	100	232	461	353	1	0	0	0	0	0	0	0	0	0	0	6	0	2	2	0	0	0	23	209	0	14	0	0	1	0	0	0	1	3	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	125	"AWI"	125	343	683	483	0	0	0	0	2	1	0	0	1	0	0	5	0	1	0	0	0	0	60	189	0	10	0	1	2	1	0	0	0	3	1	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	150	"AWI"	150	425	1006	645	0	0	1	0	0	0	0	0	0	0	0	6	0	5	2	0	0	0	75	160	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	175	"AWI"	175	522	1263	816	0	0	1	0	0	0	0	0	0	0	1	5	0	5	1	0	0	0	110	130	0	5	0	0	0	1	0	0	0	1	0	0	0	1	0
3134	4078	"Gotnavolok"	62.2	33.8	200	"AWI"	200	634	1485	997	1	0	0	0	2	0	0	0	0	0	0	4	0	11	1	0	0	0	75	130	0	7	0	1	0	1	0	0	0	2	1	0	0	0	3
3134	4078	"Gotnavolok"	62.2	33.8	225	"AWI"	225	761	1692	1172	1	0	0	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	65	135	0	8	0	0	0	0	0	1	0	0	0	1	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	250	"AWI"	250	918	1897	1356	1	0	2	0	0	0	0	0	0	0	0	20	0	15	0	0	0	0	56	110	0	12	0	0	1	2	0	0	0	0	0	0	0	0	2
3134	4078	"Gotnavolok"	62.2	33.8	275	"AWI"	275	1078	2050	1539	0	0	1	0	0	0	0	0	0	0	0	10	0	9	0	0	0	0	55	70	0	7	0	0	0	1	0	0	0	1	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	300	"AWI"	300	1237	2202	1717	0	0	0	1	0	0	0	0	0	0	1	22	0	2	1	0	0	0	45	43	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1
3134	4078	"Gotnavolok"	62.2	33.8	325	"AWI"	325	1408	2361	1898	1	0	0	1	0	0	0	0	0	0	1	10	0	3	1	0	0	0	32	45	0	11	1	0	0	1	0	0	0	1	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	350	"AWI"	350	1589	2503	2080	0	0	0	1	1	0	0	0	0	0	0	21	0	2	0	0	0	0	65	41	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	375	"AWI"	375	1776	2647	2265	2	0	0	1	2	0	0	0	0	0	1	15	0	1	0	0	0	0	102	158	0	8	0	0	2	0	0	0	0	1	0	0	0	0	0
3134	4078	"Gotnavolok"	62.2	33.8	400	"AWI"	400	1993	2793	2442	1	0	1	1	0	0	0	1	0	0	0	13	0	3	1	0	0	0	135	167	0	6	0	0	1	1	0	0	1	0	0	0	0	0	1
