"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"
3141	4085	"Halsjön II"	56.23333	15.31667	478	"AWI"	478	9869	11406	10735	1	0	0	1	0	394	0	0	0	0	19	0	0	0	10	0	1	0	1346	0	0	3	0	0	0	0	3	16	0	0	0	0	3
3141	4085	"Halsjön II"	56.23333	15.31667	482	"AWI"	482	10315	11541	10964	3	1	0	8	0	354	0	0	0	0	26	8	0	0	25	0	0	0	574	0	0	2	0	0	0	0	3	36	2	2	3	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	487	"AWI"	487	10888	11766	11271	2	1	0	18	0	233	0	0	0	6	69	1	0	0	44	1	0	2	630	0	0	1	0	0	0	0	2	33	0	0	2	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	490	"AWI"	490	11207	11941	11557	4	8	0	40	0	323	1	0	0	3	88	1	0	0	21	0	0	4	550	2	0	3	1	0	0	1	3	43	1	0	2	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	492	"AWI"	492	11357	12124	11773	1	6	0	49	0	267	1	0	0	4	80	0	0	0	23	0	0	4	314	0	0	3	2	0	0	2	12	36	1	0	3	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	496	"AWI"	496	11601	12376	12047	22	13	0	76	0	311	1	0	1	16	106	1	0	0	22	0	1	4	532	0	0	7	3	0	0	3	9	30	2	0	2	0	1
3141	4085	"Halsjön II"	56.23333	15.31667	498	"AWI"	498	11680	12529	12165	38	7	1	60	0	316	2	0	0	25	104	1	0	0	20	0	3	12	472	1	0	3	9	0	0	0	9	33	5	0	4	0	1
3141	4085	"Halsjön II"	56.23333	15.31667	499	"AWI"	499	11783	12544	12222	23	7	2	65	0	290	1	1	2	20	89	0	0	0	32	0	3	4	640	0	0	2	6	0	0	1	7	34	2	0	5	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	502	"AWI"	502	11978	12624	12410	26	23	5	100	0	382	0	5	3	25	129	0	0	0	58	0	2	8	408	0	0	6	7	0	0	3	14	69	2	0	5	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	503	"AWI"	503	12022	12674	12470	12	7	1	78	0	243	0	0	0	3	70	0	0	0	30	0	2	0	328	1	0	3	1	0	0	0	9	45	1	0	2	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	505	"AWI"	505	12232	12724	12553	8	10	1	71	4	204	0	2	0	3	89	0	0	0	21	0	1	0	376	0	0	5	0	0	0	0	9	27	0	0	0	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	507	"AWI"	507	12377	12837	12642	7	12	0	126	0	278	1	0	3	11	101	0	0	0	44	0	5	2	266	1	0	5	2	0	0	4	14	28	2	0	4	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	509	"AWI"	509	12499	12970	12737	5	14	0	99	0	243	0	0	1	0	84	1	0	0	111	0	2	2	212	0	0	2	2	0	0	2	13	30	2	0	3	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	512	"AWI"	512	12602	13267	12888	15	19	0	67	0	198	0	1	1	5	83	4	0	0	98	0	0	2	314	0	0	1	0	0	0	0	21	24	0	0	3	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	515	"AWI"	515	12721	13523	13049	11	25	0	117	4	274	1	0	0	6	78	1	6	0	36	0	2	0	288	0	0	3	0	0	0	3	12	22	2	0	2	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	517.5	"AWI"	517.5	12789	13749	13182	12	23	0	102	0	253	3	0	0	6	78	0	0	0	53	0	2	0	250	0	0	6	0	0	9	1	9	33	2	0	5	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	520	"AWI"	520	12919	13911	13325	9	21	0	107	0	202	3	0	1	4	74	0	0	0	60	0	1	2	228	1	0	5	2	0	0	0	10	41	1	0	5	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	524	"AWI"	524	13102	14195	13552	16	20	1	81	0	153	2	2	2	11	73	0	0	0	64	1	3	4	342	0	0	7	1	0	0	1	10	21	2	0	5	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	526	"AWI"	526	13218	14316	13664	28	22	2	77	0	185	1	2	1	16	71	0	0	0	43	0	1	16	454	0	0	2	7	0	0	5	4	35	2	0	4	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	528	"AWI"	528	13287	14482	13775	41	19	1	57	0	190	0	0	0	26	56	1	9	0	29	0	2	14	550	0	0	3	8	0	0	2	5	42	2	0	1	0	1
3141	4085	"Halsjön II"	56.23333	15.31667	530	"AWI"	530	13472	14591	13873	43	14	2	72	0	169	0	2	0	20	74	0	0	0	39	0	5	10	408	0	0	6	11	0	0	1	8	37	1	0	0	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	535	"AWI"	535	13715	14945	14161	66	11	0	26	0	272	0	2	0	27	70	0	24	0	20	0	3	22	1112	0	49	10	9	0	0	0	1	39	1	0	3	0	0
3141	4085	"Halsjön II"	56.23333	15.31667	540	"AWI"	540	13905	15442	14463	16	8	1	16	0	206	0	0	0	15	57	1	28	0	58	0	2	16	614	0	82	3	1	0	0	0	2	32	2	0	1	1	2
