"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23834	41310	"Stonetor Brook"	50.65556	-3.91	1	"AWI"	1	-130	40	-35	1	19	1	0	1	0	0	11	0	0	0	0	0	0	18	0	0	67	31	0	17	3	1	0	0	0	0	0	0	0	0	17	46	0	0	0	0	0	32	1	0	3	0	2	0	0	0	0	2
23834	41310	"Stonetor Brook"	50.65556	-3.91	4	"AWI"	4	-113	79	-10	0	10	1	0	0	0	0	12	0	2	0	0	0	0	14	0	0	66	0	0	13	5	0	0	0	0	0	0	0	0	1	9	42	0	0	0	1	0	42	0	0	0	0	1	0	0	0	1	4
23834	41310	"Stonetor Brook"	50.65556	-3.91	8	"AWI"	8	-86	139	25	0	3	0	0	0	1	0	9	0	0	0	0	0	0	9	0	0	71	0	0	8	6	0	0	0	0	0	0	0	0	0	3	23	0	0	0	0	0	33	0	0	1	0	1	0	0	0	5	2
23834	41310	"Stonetor Brook"	50.65556	-3.91	12	"AWI"	12	-51	199	58	1	7	2	1	0	1	0	2	0	0	0	0	0	0	10	0	0	85	82	0	7	2	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	34	5	0	1	0	1	0	1	1	2	3
23834	41310	"Stonetor Brook"	50.65556	-3.91	16	"AWI"	16	-13	272	93	0	2	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	130	52	0	3	3	1	0	0	0	0	0	0	0	0	1	17	0	0	0	0	1	24	4	0	0	0	0	0	0	0	2	5
23834	41310	"Stonetor Brook"	50.65556	-3.91	20	"AWI"	20	19	325	128	0	2	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	101	133	0	8	1	0	2	0	0	0	0	0	0	0	0	26	0	0	0	2	0	36	4	0	1	0	0	0	0	0	6	4
23834	41310	"Stonetor Brook"	50.65556	-3.91	22	"AWI"	22	51	343	145	0	6	0	0	0	0	0	2	0	0	0	0	0	2	6	0	0	89	102	0	2	4	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	29	1	0	0	0	1	0	0	0	1	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	24	"AWI"	24	73	370	164	0	1	1	1	0	0	0	2	0	0	0	0	0	0	3	0	0	92	227	0	10	1	0	1	0	0	0	0	0	0	0	0	30	0	0	0	0	0	16	0	0	0	0	0	0	0	0	5	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	26	"AWI"	26	104	396	182	1	5	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	62	196	0	7	0	0	0	0	0	0	0	0	0	1	0	24	0	0	0	0	0	25	4	0	3	0	0	0	1	0	3	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	28	"AWI"	28	147	417	202	0	6	1	1	0	1	0	4	0	1	0	0	0	0	7	0	0	112	123	0	5	7	0	3	0	0	0	0	0	0	0	0	32	0	0	0	0	0	21	1	0	1	0	0	0	0	0	5	0
23834	41310	"Stonetor Brook"	50.65556	-3.91	30	"AWI"	30	176	453	223	0	14	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	76	0	0	3	1	0	0	0	0	0	0	0	0	0	0	20	0	0	1	0	0	14	7	17	0	0	1	0	0	0	2	2
23834	41310	"Stonetor Brook"	50.65556	-3.91	32	"AWI"	32	270	518	357	0	4	0	0	1	0	0	2	0	0	0	0	0	0	9	0	0	85	0	0	7	2	0	0	0	0	0	0	0	0	1	0	15	0	0	0	0	0	16	2	0	1	0	0	0	0	0	2	0
