"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polemoniaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23844	41329	"Long Breach"	51.06583	-3.6875	0	"AWI"	0	-138	21	-55	3	0	0	0	0	0	11	0	3	0	0	0	0	0	7	0	60	13	0	3	4	0	0	1	0	0	0	1	1	71	0	0	0	0	0	94	3	0	0	0	0	0	0	1	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	4	"AWI"	4	-79	211	33	0	2	1	3	1	0	7	0	0	0	0	0	0	0	19	1	49	0	0	7	2	1	0	0	0	0	0	0	0	14	0	0	0	0	0	12	4	0	1	0	3	3	0	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	8	"AWI"	8	-18	346	132	0	3	1	0	0	0	2	0	1	1	0	0	0	0	14	0	24	0	0	3	1	0	0	0	0	0	0	1	0	12	0	0	0	0	0	7	2	0	2	0	0	1	0	0	0	1	1
23844	41329	"Long Breach"	51.06583	-3.6875	12	"AWI"	12	60	459	236	0	3	0	0	0	0	2	0	0	0	0	0	0	0	15	0	37	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	5	0	16	3	0	24	0	2	0	0	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	16	"AWI"	16	142	558	343	0	3	1	1	2	0	3	0	1	0	3	0	0	1	20	0	47	91	0	2	4	0	0	3	0	0	0	0	0	2	0	255	0	0	0	12	2	0	5	13	2	1	0	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	20	"AWI"	20	234	646	449	0	2	0	0	1	0	4	0	2	0	0	0	0	0	20	0	43	0	0	1	0	0	0	1	0	0	0	0	0	4	0	192	0	0	0	19	7	0	2	0	2	2	0	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	24	"AWI"	24	391	731	543	0	1	1	0	0	0	4	0	0	0	0	0	0	0	20	0	238	0	0	2	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	13	1	0	1	0	4	0	0	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	28	"AWI"	28	577	916	691	0	7	0	0	1	0	3	0	0	0	0	0	1	1	43	0	73	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	25	5	0	3	0	4	2	0	0	0	2	0
23844	41329	"Long Breach"	51.06583	-3.6875	32	"AWI"	32	670	1245	889	0	7	2	2	0	13	0	0	3	0	0	0	0	0	41	0	50	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	23	9	0	2	0	2	1	1	0	0	0	0
23844	41329	"Long Breach"	51.06583	-3.6875	36	"AWI"	36	785	1611	1121	0	11	0	0	0	21	0	0	1	0	0	0	0	0	26	1	86	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	26	4	0	1	0	1	2	0	0	0	0	0
