"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23846	41333	"Lobbs Bog"	50.97056	-3.62361	12	"AWI"	12	-63	243	58	18	2	0	20	0	0	0	0	3	1	7	0	0	0	0	0	0	0	0	9	0	0	0	0	15	0	0	0	0	1	0	10	0	0	0	0	2	22	0	0	0	0	1	0	0	47	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	16	"AWI"	16	-39	292	103	13	0	0	6	0	0	3	0	3	1	0	0	0	0	0	1	0	0	0	4	0	0	0	0	9	0	0	0	1	0	0	30	0	0	0	0	0	32	0	0	0	4	0	0	0	14	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	20	"AWI"	20	-22	357	142	7	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	2	0	4	0	0	0	0	3	22	0	0	0	0	0	0	0	29	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	24	"AWI"	24	15	388	185	4	1	0	7	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	0	0	0	13	0	0	0	0	0	0	11	0	0	0	0	1	15	1	0	0	5	0	0	0	15	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	28	"AWI"	28	41	434	227	3	1	0	7	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	15	0	0	0	0	0	0	2	0	0	0	0	7	12	0	0	0	0	0	0	0	22	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	32	"AWI"	32	76	479	268	7	0	0	6	0	0	0	0	1	0	4	0	0	0	1	1	0	2	0	4	0	0	0	1	9	0	0	0	0	0	0	1	1	0	0	0	18	13	0	0	0	0	0	0	0	15	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	36	"AWI"	36	112	507	311	11	0	0	7	3	0	0	2	0	1	14	0	0	0	0	7	2	0	0	1	1	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	8	9	2	0	0	0	0	0	0	22	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	40	"AWI"	40	137	558	355	2	1	1	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	2	0	2	0	0	8	0	0	0	0	0	0	2	0	0	0	0	1	11	1	0	0	9	0	0	0	15	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	44	"AWI"	44	193	581	395	8	2	0	12	12	0	0	6	0	0	19	0	0	0	0	9	0	1	0	2	0	3	0	0	3	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	2	0	13	0
23846	41333	"Lobbs Bog"	50.97056	-3.62361	48	"AWI"	48	230	611	437	3	4	1	5	18	0	0	1	4	3	7	0	0	0	0	8	0	0	0	0	1	0	0	0	9	0	1	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	0	0	0	22	3
