"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juglans"	"Lamiaceae"	"Larix"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	0.5	"AWI"	0.5	-92	80.5	-10	0	1	0	2	0	0	14	0	0	0	11	3	53	3	0	0	0	26	0	0	2	0	0	15	3	0	0	16	4	0	0	2	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	8.5	"AWI"	8.5	7	453	186	0	11	1	1	1	0	5	0	0	0	18	11	0	0	0	0	0	21	1	0	0	0	0	2	27	81	2	15	1	0	0	0	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	16.5	"AWI"	16.5	146	704.5	399	0	14	0	0	0	0	19	0	0	0	23	4	28	0	0	0	0	21	0	0	0	0	0	0	6	0	0	9	1	0	0	1	0	0	0	0	0	0	1
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	24.5	"AWI"	24.5	311	923.5	612.5	0	12	1	0	3	0	1	0	0	0	49	8	0	2	0	0	0	9	0	0	0	0	0	2	7	0	0	14	0	0	1	2	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	32.5	"AWI"	32.5	526	1082	816.5	0	16	1	0	0	0	14	0	0	0	43	5	50	4	0	0	0	12	0	0	3	0	0	0	10	0	0	20	3	0	0	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	40.5	"AWI"	40.5	751.5	1215.5	1030	0	11	0	0	0	0	1	0	0	0	31	7	0	0	0	0	0	7	0	0	0	1	0	2	5	0	0	22	0	0	1	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	48.5	"AWI"	48.5	1090	1288.5	1228.5	0	25	0	0	0	0	5	0	0	0	55	3	0	0	2	0	0	0	0	0	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	0	0	0	2
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	56.5	"AWI"	56.5	1209	1460	1336.5	0	14	0	0	0	0	4	0	0	0	45	13	0	1	2	0	0	4	0	0	0	1	0	1	11	0	0	13	0	0	0	1	1	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	64.5	"AWI"	64.5	1273	1601	1437.5	0	11	1	0	0	0	4	0	0	0	30	8	0	0	1	0	0	2	0	2	1	0	0	1	11	0	0	7	1	0	0	0	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	72.5	"AWI"	72.5	1373.5	1700	1544	0	6	1	1	2	0	2	0	0	0	46	8	0	1	1	0	0	16	0	0	0	0	0	1	11	0	1	15	0	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	80.5	"AWI"	80.5	1472.5	1796	1645.5	0	19	0	0	0	0	12	0	0	0	31	3	0	2	3	0	0	4	0	0	0	0	0	1	22	0	0	8	2	0	0	0	1	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	88.5	"AWI"	88.5	1579.5	1879	1747	0	3	1	0	1	0	2	0	0	0	29	9	0	0	1	1	0	8	0	0	0	1	0	2	28	0	0	10	1	0	0	0	2	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	92.5	"AWI"	92.5	1654	1916	1797	0	12	0	0	0	0	5	0	0	0	31	2	72	2	0	0	0	4	0	0	0	0	0	1	15	0	0	30	0	0	0	5	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	96.5	"AWI"	96.5	1732.5	1952	1846.5	0	20	0	0	1	0	9	0	1	0	37	14	0	0	1	0	1	7	0	0	0	0	0	1	15	0	0	11	2	0	0	2	2	0	0	0	0	0	1
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	100.5	"AWI"	100.5	1825	1988	1900.5	0	7	1	0	0	0	6	0	0	0	40	2	96	2	1	0	0	0	0	0	0	0	0	2	11	0	0	40	0	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	104.5	"AWI"	104.5	1865.5	2144.5	1969	0	10	0	0	0	0	9	0	0	0	47	13	0	0	1	0	0	13	0	0	0	0	0	2	5	0	0	20	0	0	0	0	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	108.5	"AWI"	108.5	1909	2270	2052	0	15	0	0	1	0	6	0	0	0	56	5	96	3	0	0	0	0	0	0	0	0	0	2	9	0	0	25	1	0	0	2	0	0	0	0	0	0	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	112.5	"AWI"	112.5	1962	2389	2136.5	0	24	1	0	0	0	9	1	0	0	70	16	0	1	5	0	0	3	0	0	1	0	0	1	18	0	0	42	3	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	116.5	"AWI"	116.5	2018	2486.5	2221.5	0	36	0	0	0	0	7	0	0	0	130	10	28	0	2	0	0	0	0	0	0	0	0	0	6	0	0	40	0	0	0	1	0	0	0	0	0	1	0
23848	41337	"Hangingstone Hill"	50.65472	-3.95694	120.5	"AWI"	120.5	2072.5	2589.5	2308	0	13	0	0	0	0	8	0	0	0	107	17	0	1	3	0	1	0	0	0	0	0	0	2	4	0	0	47	0	0	0	0	0	0	0	0	0	2	0
