"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Myrica"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	216	"AWI"	216	680	1080	897	15	14	0	0	0	0	15	1	0	0	0	0	28	46	0	0	13	0	0	1	0	0	0	79	1	0	15	3	0	0	1	0	0	0	0	0	0	0	0
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	218	"AWI"	218	779	1118	938	8	9	0	0	1	0	7	3	0	0	0	0	24	16	114	0	3	0	0	2	1	0	3	75	0	0	26	1	0	0	0	0	0	0	0	0	1	1	0
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	220	"AWI"	220	834	1176	989	16	1	0	0	1	0	8	0	1	0	0	0	21	51	0	0	2	0	1	0	0	0	0	64	0	0	18	0	0	0	0	0	0	0	0	0	0	1	1
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	224	"AWI"	224	912	1329	1098	22	2	0	0	3	0	20	1	0	0	0	0	54	41	0	0	12	0	3	0	0	1	0	54	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	228	"AWI"	228	990	1498	1203	34	2	0	0	1	0	16	1	0	0	0	0	85	38	0	0	9	0	1	3	0	1	0	54	0	0	9	4	0	0	0	0	0	1	0	0	0	0	1
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	232	"AWI"	232	1055	1664	1308	41	0	1	1	1	0	21	0	0	0	0	0	74	31	0	0	4	0	2	1	0	0	0	22	0	0	28	0	0	0	0	0	0	0	0	0	0	2	0
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	236	"AWI"	236	1124	1805	1420	25	0	0	0	1	0	22	0	0	0	0	0	50	64	0	0	1	0	1	0	0	0	0	63	0	0	18	0	0	0	0	0	1	0	0	0	1	2	0
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	240	"AWI"	240	1216	1907	1534	26	0	0	0	1	0	19	0	0	0	0	0	39	17	0	0	2	0	0	0	0	1	0	30	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	244	"AWI"	244	1307	2016	1642	17	1	0	0	1	0	27	0	0	0	0	0	15	66	39	0	0	0	0	11	0	0	0	93	0	0	14	3	0	0	1	0	1	0	0	0	0	0	2
23869	41380	"Little Cheyne Court Walland marsh"	50.96278	0.83	248	"AWI"	248	1397	2115	1754	20	1	0	0	1	0	11	0	0	0	0	0	15	28	113	0	0	0	0	1	0	6	0	61	0	0	29	0	0	0	0	0	1	0	0	0	0	0	0
