"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Taxus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	76	"AWI"	76	2907	3551	3219	0	350	2	0	2	0	2	0	84	3	0	0	0	0	88	31	0	0	0	1	2	1	1	6	0	1	0	3	0	0	1	3	0	33	0	38	0	0	0	0	0	11	0	0	2	1	2	1	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	84	"AWI"	84	3074	3621	3321	1	392	2	0	4	1	2	0	52	7	0	0	0	0	82	22	0	0	0	0	1	4	1	9	0	0	0	3	0	0	1	3	0	27	2	55	0	0	0	0	0	18	0	0	0	0	4	0	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	92	"AWI"	92	3161	3756	3422	0	187	0	0	0	0	0	0	217	0	2	0	0	0	30	14	0	0	0	0	0	1	0	8	0	0	0	2	0	0	2	0	0	11	0	49	0	0	0	0	0	3	0	0	0	0	10	0	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	100	"AWI"	100	3257	3863	3552	0	262	0	0	1	4	0	0	105	8	0	0	0	0	74	6	0	0	0	0	0	5	0	7	0	0	0	0	0	0	0	0	0	4	1	91	0	0	0	0	0	26	0	0	0	0	4	2	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	108	"AWI"	108	3348	4039	3672	0	263	1	0	1	0	0	0	61	0	3	0	0	0	79	13	0	0	0	0	0	4	0	4	0	0	0	1	0	0	0	0	0	6	2	121	0	0	0	0	0	5	0	1	0	0	11	0	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	116	"AWI"	116	3458	4125	3804	0	292	1	0	1	1	0	0	84	1	0	0	0	0	67	10	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	12	1	111	0	0	0	0	0	6	0	0	0	0	5	0	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	124	"AWI"	124	3582	4241	3929	0	207	0	0	1	1	0	0	82	5	0	0	0	0	51	27	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	9	1	89	1	0	0	3	0	18	0	0	0	0	8	1	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	132	"AWI"	132	3734	4306	4061	0	310	1	0	2	1	0	0	46	4	0	0	0	0	87	7	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	3	3	111	0	0	0	0	0	15	0	0	0	0	3	2	0	1
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	140	"AWI"	140	3896	4395	4171	0	392	0	0	2	1	0	0	59	1	0	0	0	0	91	4	0	0	0	0	0	4	0	5	0	0	0	0	0	0	4	0	0	4	0	121	1	0	0	0	0	6	0	0	0	0	8	2	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	148	"AWI"	148	4008	4478	4280	0	219	0	0	2	0	0	0	71	1	0	0	0	0	54	12	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	10	4	129	0	0	0	0	0	9	0	0	0	0	9	1	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	156	"AWI"	156	4075	4578	4357	0	304	1	0	0	0	0	0	26	0	0	0	0	0	72	1	0	0	0	1	0	4	0	0	0	1	0	0	0	0	0	0	0	4	0	70	1	0	0	0	0	16	0	0	0	0	5	5	0	0
23871	41384	"Horsemarsh Sewer"	51.05194	0.82667	164	"AWI"	164	4126	4689	4418	0	443	0	0	0	0	1	0	59	0	0	0	0	0	80	3	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	8	0	78	0	0	0	0	0	6	1	1	0	0	7	2	0	1
