"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Erythrina"	"Euonymus"	"Fabaceae"	"Fagus"	"Ficus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrtus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Tamarix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	367	"AWI"	367	5243	5659	5473	47	0	77	48	0	0	1	3	0	3	0	0	0	0	0	19	0	0	0	0	0	0	2	0	0	0	0	93	0	4	0	1	2	0	0	1	1	2	0	0	58	0	0	0	0	0	75	73	0	0	0	3	0	7	0	0	3	0	0	2	3	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	368	"AWI"	368	5265	5667	5492	45	1	67	38	0	0	3	1	0	2	0	0	0	0	0	16	0	0	0	0	0	0	3	0	1	7	0	94	0	2	0	0	1	1	0	1	0	3	0	0	72	0	0	0	0	0	104	82	0	0	0	4	0	6	0	0	1	0	0	0	1	0	0	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	369	"AWI"	369	5281	5678	5511	43	0	72	30	0	0	1	4	0	5	0	0	0	0	0	20	0	0	18	0	0	0	2	0	0	0	0	78	0	1	0	2	0	0	0	0	0	5	3	2	77	1	0	0	0	0	100	84	0	0	0	20	0	6	0	4	0	1	0	1	9	1	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	370	"AWI"	370	5295	5689	5532	42	0	61	0	0	0	3	3	0	2	0	0	0	0	2	22	0	0	9	0	0	0	4	1	1	0	0	102	0	4	0	2	0	0	0	0	0	3	0	0	63	1	0	0	37	0	115	82	0	0	0	20	0	5	0	0	0	0	0	3	5	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	371	"AWI"	371	5312	5708	5551	32	0	72	11	0	0	0	3	0	3	1	0	0	0	0	25	0	0	0	0	0	0	8	1	0	8	0	78	0	1	0	1	2	0	0	0	1	0	4	0	49	0	0	0	0	1	110	92	0	0	0	19	0	2	0	2	1	1	0	2	3	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	372	"AWI"	372	5328	5729	5570	38	0	61	13	0	0	1	3	0	3	0	0	0	0	0	17	0	0	0	0	0	0	6	1	0	8	0	96	0	2	0	1	0	0	0	0	0	0	0	0	58	1	0	0	0	0	115	89	0	0	0	11	0	3	1	0	0	0	0	1	1	0	0	9
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	373	"AWI"	373	5361	5738	5585	28	0	57	0	0	0	0	3	0	3	0	0	0	0	2	21	0	0	0	0	0	0	5	3	0	0	0	67	0	3	10	5	1	0	0	0	0	0	2	1	54	0	0	0	0	0	120	125	0	0	0	8	0	7	0	0	0	0	0	0	3	0	0	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	374	"AWI"	374	5401	5744	5599	31	1	76	10	0	1	0	2	0	3	0	0	0	0	2	19	0	0	16	0	0	0	8	0	0	11	0	94	0	2	0	1	0	0	0	1	1	0	5	0	54	0	0	0	38	0	122	76	0	0	0	5	0	2	0	2	0	2	0	2	0	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	375	"AWI"	375	5436	5758	5615	38	0	68	18	0	0	0	1	0	2	0	0	0	0	0	20	105	0	0	0	0	0	7	0	0	0	0	80	0	4	0	1	0	0	0	1	0	5	4	0	66	1	0	0	0	0	122	93	0	0	0	1	0	8	0	2	0	1	0	1	5	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	376	"AWI"	376	5464	5769	5631	44	0	75	17	0	1	0	1	0	1	2	0	0	0	0	23	0	0	0	0	0	0	3	0	0	8	0	71	0	1	0	0	0	0	0	1	1	3	0	1	75	1	0	0	0	0	118	101	0	0	0	1	0	3	0	3	0	1	0	3	1	1	0	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	377	"AWI"	377	5479	5782	5648	34	1	88	8	0	0	2	3	0	5	1	0	0	0	0	17	0	0	6	1	0	0	5	0	0	5	1	72	0	7	0	1	1	0	0	0	0	3	3	1	63	1	0	0	0	0	125	80	0	1	0	1	0	3	1	3	2	0	0	5	5	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	378	"AWI"	378	5492	5804	5663	46	1	81	16	0	0	0	2	0	3	0	0	0	0	0	27	0	0	0	0	0	0	2	0	0	0	0	64	0	2	0	0	2	0	0	0	0	2	2	2	61	0	0	0	0	0	114	99	0	0	0	2	0	5	1	1	0	0	0	2	2	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	379	"AWI"	379	5503	5822	5679	38	1	93	13	0	0	0	1	0	1	0	1	1	0	0	21	0	0	0	0	0	0	3	0	0	12	1	73	0	3	0	0	3	0	0	1	1	4	3	0	57	1	0	0	0	0	90	76	0	1	0	5	0	9	0	2	0	0	0	3	1	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	380	"AWI"	380	5515	5846	5694	49	0	80	12	0	0	0	7	0	3	2	0	0	0	0	22	0	0	0	0	0	0	3	0	0	0	1	93	0	1	0	0	0	0	0	1	1	0	1	0	62	1	0	0	0	0	82	102	0	0	0	7	0	3	0	0	0	1	0	2	5	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	381	"AWI"	381	5531	5867	5710	50	0	66	11	0	0	0	2	0	5	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	8	97	0	2	0	0	1	2	0	0	0	5	1	0	60	2	0	0	0	0	88	80	0	0	0	3	0	6	0	18	0	2	0	0	2	0	1	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	382	"AWI"	382	5540	5895	5725	43	1	58	17	0	0	0	3	0	3	1	0	0	0	0	26	0	0	0	0	0	0	3	0	0	0	1	118	0	1	0	2	1	0	0	1	2	5	1	0	63	2	0	0	0	0	98	44	0	0	0	6	0	2	0	10	0	0	0	4	4	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	383	"AWI"	383	5558	5901	5739	51	0	85	14	0	1	0	0	0	1	0	0	0	0	0	34	0	0	0	0	0	0	2	0	0	0	0	85	0	0	0	1	0	0	1	0	0	2	1	1	84	0	0	0	0	0	88	71	0	0	0	1	0	4	0	2	0	0	0	3	6	0	0	3
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	384	"AWI"	384	5587	5905	5753	38	0	103	17	0	1	0	0	0	3	0	0	0	0	0	30	0	0	0	0	0	0	8	0	1	0	0	90	0	1	0	0	0	0	0	1	0	0	0	0	60	3	0	0	0	0	103	74	0	0	0	1	0	2	0	0	0	0	0	2	4	0	0	8
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	385	"AWI"	385	5611	5912	5768	74	0	116	8	0	0	0	1	0	3	1	0	0	0	0	25	0	0	0	0	0	0	3	0	0	0	0	42	0	1	0	0	0	0	0	0	0	2	2	0	42	0	0	0	0	0	100	76	0	0	0	0	0	2	0	0	0	0	0	5	4	0	0	7
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	386	"AWI"	386	5633	5918	5783	71	2	73	0	0	0	0	3	0	0	1	0	0	0	0	22	0	0	0	0	0	0	8	0	0	13	0	80	0	1	0	0	0	0	0	1	0	0	2	0	42	2	0	0	0	0	105	74	0	0	0	0	0	1	0	0	0	0	0	2	4	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	387	"AWI"	387	5650	5924	5799	46	0	94	16	0	1	0	2	0	1	0	0	0	0	0	31	0	0	0	0	0	0	7	0	0	0	0	61	0	1	0	0	0	0	0	3	0	6	3	0	66	1	3	0	0	0	95	68	0	0	0	1	0	3	0	0	0	0	0	0	3	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	388	"AWI"	388	5664	5931	5814	41	0	71	0	0	0	0	0	0	6	0	0	0	0	0	28	0	0	0	0	0	0	9	0	0	0	0	86	0	0	0	0	9	0	0	2	0	3	4	0	40	1	3	0	0	0	108	52	0	1	0	2	0	7	0	6	0	0	0	0	3	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	389	"AWI"	389	5676	5943	5829	21	0	87	10	0	0	0	1	0	4	0	0	0	0	0	38	0	0	0	0	0	0	5	0	0	10	0	48	0	0	0	0	1	0	0	0	0	0	2	0	30	2	0	0	0	0	118	82	0	0	0	1	0	4	0	3	0	0	0	1	2	0	1	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	390	"AWI"	390	5685	5952	5844	28	1	111	7	0	0	1	3	0	2	2	0	0	0	0	30	0	0	17	0	0	0	3	0	0	0	0	41	0	1	0	0	1	0	0	1	0	2	1	2	39	0	0	0	0	0	118	85	0	0	0	4	0	3	0	0	2	0	0	0	2	0	0	4
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	391	"AWI"	391	5695	5964	5860	35	1	95	0	0	0	0	0	0	3	0	0	0	0	0	21	0	0	0	0	0	0	3	0	0	0	1	87	0	3	0	0	0	1	0	1	0	0	2	0	50	2	0	0	0	0	119	53	0	0	0	0	0	3	0	1	0	0	0	0	6	0	0	2
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	392	"AWI"	392	5703	5988	5876	38	1	81	0	0	0	0	3	0	3	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	54	0	1	0	0	1	2	0	0	0	2	4	0	60	0	0	0	0	0	122	78	0	0	0	12	0	9	0	1	0	0	0	0	2	0	1	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	393	"AWI"	393	5724	5991	5886	32	0	94	0	0	0	1	2	0	3	0	0	0	0	0	37	477	0	0	0	0	0	11	0	0	0	0	75	0	2	0	1	2	0	0	1	0	4	4	1	31	1	3	0	0	0	98	67	0	0	0	0	0	7	0	0	0	0	0	1	4	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	394	"AWI"	394	5748	5997	5896	28	0	71	6	0	0	0	2	0	5	0	0	0	0	0	33	305	0	0	0	0	0	4	0	0	0	2	71	0	1	0	0	1	1	0	0	0	4	5	0	41	0	4	0	38	0	123	99	0	0	0	1	0	2	0	3	0	0	0	0	6	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	395	"AWI"	395	5767	6006	5907	26	0	99	12	0	0	0	2	0	5	0	0	0	0	0	41	299	0	0	0	1	0	2	0	0	9	1	81	0	1	0	0	0	6	0	1	0	6	2	0	31	0	0	0	0	0	107	80	0	0	0	2	0	3	0	2	0	1	1	0	9	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	396	"AWI"	396	5779	6016	5917	31	0	52	8	0	0	1	2	0	5	0	0	0	0	0	27	0	0	0	0	0	0	2	0	0	3	2	78	0	0	0	0	3	0	0	1	0	12	2	0	40	0	0	0	0	0	133	97	0	0	0	0	0	3	0	0	0	0	0	2	7	0	0	1
23938	41602	"Lago di Massaciuccoli"	43.83784	10.3308	397	"AWI"	397	5789	6027	5928	38	0	47	3	0	0	0	1	0	5	1	0	0	0	0	42	0	0	24	0	0	0	6	0	0	0	0	61	0	0	0	1	1	0	0	0	0	4	3	0	58	1	0	0	0	0	97	67	0	1	0	0	0	2	0	0	0	0	0	0	4	0	0	2
