"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrtus"	"Olea"	"Phillyrea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thymelaeaceae"	"Urticaceae"
23964	41657	"Patateros bog"	39.59722	-4.67417	2	"AWI"	2	-137	50	-34	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	27	0	0	2	0	2	0	1	0	9	0	45	0	0	0	10	7	0	1	0	0	0	0	0	1	0	0
23964	41657	"Patateros bog"	39.59722	-4.67417	4	"AWI"	4	-120	115	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	58	0	6	0	0	0	0	0	0	14	0	52	0	0	0	35	11	0	1	0	0	0	0	3	0	2	0
23964	41657	"Patateros bog"	39.59722	-4.67417	6	"AWI"	6	-96	162	17	0	0	2	0	0	0	0	0	0	0	0	0	1	21	0	40	112	0	1	0	2	0	0	0	5	0	0	0	0	0	13	8	0	1	0	1	0	0	0	0	3	0
23964	41657	"Patateros bog"	39.59722	-4.67417	8	"AWI"	8	-71	185	48	1	0	0	0	1	0	0	0	0	1	0	1	0	33	1	53	216	0	1	0	0	1	1	0	12	2	0	0	0	0	17	7	0	1	3	4	0	1	2	0	1	0
23964	41657	"Patateros bog"	39.59722	-4.67417	10	"AWI"	10	-59	224	77	1	4	1	0	3	0	0	0	0	0	0	0	1	35	0	17	156	0	4	0	0	0	0	0	15	0	9	0	57	0	11	7	0	0	0	0	0	0	0	0	1	0
23964	41657	"Patateros bog"	39.59722	-4.67417	12	"AWI"	12	-21	232	108	0	1	2	0	0	0	0	0	0	1	0	2	0	24	2	83	0	9	1	0	0	3	2	0	18	2	0	0	112	0	32	7	1	0	2	1	0	2	1	0	0	0
23964	41657	"Patateros bog"	39.59722	-4.67417	14	"AWI"	14	1	244	164	0	0	0	0	2	0	0	0	1	0	0	0	0	41	0	50	131	0	1	0	3	0	0	0	18	1	0	0	0	0	19	9	0	0	0	0	0	0	0	0	0	0
23964	41657	"Patateros bog"	39.59722	-4.67417	16	"AWI"	16	37	263	222	0	1	0	0	1	0	0	0	0	0	0	1	1	48	0	72	0	0	2	1	0	2	0	0	8	0	0	0	92	1	20	3	0	3	1	1	0	0	1	1	3	0
23964	41657	"Patateros bog"	39.59722	-4.67417	18	"AWI"	18	64	307	242	1	1	1	0	0	0	0	0	2	0	0	0	0	32	0	19	127	3	3	0	3	1	1	0	5	2	4	0	0	0	11	4	1	0	0	0	0	0	0	0	2	2
23964	41657	"Patateros bog"	39.59722	-4.67417	20	"AWI"	20	80	381	262	0	2	2	1	2	3	0	0	0	1	0	0	0	72	0	22	300	5	0	0	0	1	1	0	3	0	0	5	0	1	35	4	0	0	1	1	0	1	1	1	3	2
