"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cathaya"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Malvaceae"	"Myrtus"	"Olea"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Urticaceae"	"Vitaceae"
24038	41758	"Posidonia Lligat"	42.29222	3.29111	1	"AWI"	1	-128	21	-48	0	6	12	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	2	0	17	0	0	0	0	0	11	0	0	3	0	0	13	0	0	0	4	0	0	0	0	57	11	0	0	0	0	0	0	0	0	3	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	4	"AWI"	4	-108	56	-25	0	5	11	0	0	0	3	0	0	1	0	0	0	0	2	0	0	0	0	2	0	17	0	0	2	0	0	9	0	0	2	0	0	15	0	0	0	3	0	0	1	0	66	11	0	0	0	0	0	0	0	0	5	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	7	"AWI"	7	-88	86	-3	0	4	13	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1	1	0	21	0	0	0	0	0	8	0	0	4	0	0	8	1	0	0	4	0	0	1	0	63	17	0	0	0	0	0	0	0	0	7	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	13	"AWI"	13	-49	143	43	0	7	14	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	0	22	0	0	4	0	0	7	0	0	3	0	0	17	0	0	0	0	0	0	0	0	59	16	0	0	0	0	0	0	0	0	6	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	16	"AWI"	16	-29	172	67	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	9	0	0	0	0	0	13	0	0	0	0	0	15	0	0	8	0	26	0	1	0	24	0	0	0	0	0	0	0	0	0	12	0
24038	41758	"Posidonia Lligat"	42.29222	3.29111	19	"AWI"	19	-9	195	90	0	3	27	0	5	0	3	1	2	5	4	0	0	0	15	0	0	0	6	12	0	0	4	3	10	4	0	10	1	3	3	1	0	45	7	0	5	0	28	2	1	0	75	0	0	1	0	2	0	0	0	0	1	2
24038	41758	"Posidonia Lligat"	42.29222	3.29111	22	"AWI"	22	14	217	113	1	1	23	0	0	0	0	2	1	3	0	0	0	0	16	0	0	0	5	5	1	0	5	1	4	0	0	6	0	0	2	0	0	16	7	0	5	0	14	0	3	1	63	0	4	0	0	0	0	0	0	0	2	2
24038	41758	"Posidonia Lligat"	42.29222	3.29111	25	"AWI"	25	30	242	138	3	0	7	0	1	0	0	0	0	0	0	0	2	0	0	0	0	2	1	3	0	0	0	0	0	0	2	8	0	0	6	0	0	12	8	0	2	0	0	0	1	0	11	0	0	0	0	0	0	3	0	0	1	2
24038	41758	"Posidonia Lligat"	42.29222	3.29111	28	"AWI"	28	57	259	162	2	1	7	0	3	0	0	0	1	0	0	0	4	0	5	0	0	3	7	5	0	21	0	1	6	0	2	11	2	0	5	1	0	21	2	0	5	0	0	0	2	0	40	0	3	0	0	2	0	3	0	0	1	2
24038	41758	"Posidonia Lligat"	42.29222	3.29111	31	"AWI"	31	81	283	187	0	2	7	0	1	0	0	0	5	0	4	0	0	9	5	0	0	6	3	8	0	0	0	5	8	0	0	5	0	0	1	0	0	22	2	0	1	0	16	0	2	0	14	0	3	0	2	0	0	0	4	0	0	0
