"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Lythraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3292	4272	"Moerzeke"	51.04833	4.17639	105	"AWI"	105	1043	1618	1329	0	241	9	6	0	6	14	11	11	0	0	32	68	4	1	4	2	0	0	0	13	1	29	0	91	0	4	0	0	6	0	0	0	1	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	115	"AWI"	115	1503	2138	1781	0	248	5	3	0	0	8	11	1	0	0	30	145	2	2	4	5	0	0	1	17	3	46	0	120	0	1	0	2	43	0	0	0	0	1	0
3292	4272	"Moerzeke"	51.04833	4.17639	125	"AWI"	125	1877	2665	2247	0	61	9	9	0	7	3	20	25	0	2	34	154	11	10	13	0	0	0	0	13	2	49	0	106	0	11	1	0	189	0	0	5	2	1	0
3292	4272	"Moerzeke"	51.04833	4.17639	135	"AWI"	135	2289	3164	2707	1	136	2	8	0	1	0	8	5	0	0	57	16	2	4	12	0	1	1	0	12	1	17	0	95	0	3	0	0	350	0	0	0	3	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	145	"AWI"	145	2717	3624	3180	0	307	3	6	0	1	3	10	1	0	0	64	24	2	0	3	1	0	0	0	14	1	0	1	114	0	2	1	0	292	0	0	0	2	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	155	"AWI"	155	3163	4083	3645	2	155	0	1	0	0	3	11	7	0	0	60	111	2	0	0	10	0	1	0	20	2	15	0	128	0	3	1	0	153	0	0	0	2	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	165	"AWI"	165	3640	4520	4107	0	223	0	0	0	0	0	32	1	0	0	160	7	1	0	0	2	0	0	0	24	1	0	0	275	0	0	0	0	7	0	0	0	11	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	175	"AWI"	175	4141	4918	4573	0	255	0	1	0	0	0	48	0	0	0	153	2	0	0	1	5	0	0	0	25	0	0	0	285	0	1	0	0	7	0	0	0	19	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	185	"AWI"	185	4681	5278	5044	0	158	1	0	0	1	0	130	1	0	0	179	2	2	0	0	2	0	0	0	20	0	0	0	340	0	0	1	0	9	0	0	0	25	0	1
3292	4272	"Moerzeke"	51.04833	4.17639	195	"AWI"	195	5169	5732	5499	0	104	0	1	3	0	0	34	0	1	0	112	6	1	0	0	3	0	0	0	10	0	0	0	390	0	0	0	0	4	1	1	43	138	0	0
3292	4272	"Moerzeke"	51.04833	4.17639	205	"AWI"	205	5552	6374	5946	0	70	5	0	0	0	0	29	0	0	0	154	9	1	0	1	1	0	0	0	16	1	0	0	258	1	0	1	0	3	0	0	118	30	0	2
