"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3299	4283	"Mossen"	60.12146	21.58979	0	"AWI"	0	-142	24	-64	0	31	0	2	1	0	58	0	0	0	0	0	0	4	4	214	0	0	0	0	0	0	52	431	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	5	"AWI"	5	-111	94	-23	0	17	0	0	0	0	60	0	0	0	0	0	0	2	3	269	0	0	0	0	0	1	56	374	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0
3299	4283	"Mossen"	60.12146	21.58979	10	"AWI"	10	-95	204	15	0	16	0	0	0	0	27	0	0	0	0	0	1	3	3	346	0	0	0	2	0	0	79	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	15	"AWI"	15	-61	245	62	0	30	1	0	1	0	44	0	0	0	0	0	0	0	13	289	0	0	0	1	0	0	46	433	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	20	"AWI"	20	-43	320	105	0	43	0	0	2	0	76	0	0	0	0	0	1	4	5	151	0	0	0	7	0	1	56	446	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	25	"AWI"	25	-4	358	152	0	60	0	0	2	0	41	0	0	0	0	0	2	4	2	193	0	0	0	5	0	0	34	492	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	30	"AWI"	30	18	421	198	0	45	0	1	0	0	76	0	0	0	0	0	6	0	5	221	0	0	0	0	0	0	44	501	0	0	0	0	0	6	0	0	13	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	35	"AWI"	35	59	453	245	0	55	0	0	1	0	67	0	0	0	0	0	0	8	4	432	0	0	0	1	0	1	29	235	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0
3299	4283	"Mossen"	60.12146	21.58979	40	"AWI"	40	85	504	290	0	70	2	0	5	0	81	0	0	0	0	0	0	9	14	379	0	0	0	1	0	2	36	364	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	45	"AWI"	45	134	532	338	0	90	0	0	0	0	95	0	0	0	0	0	0	6	7	123	0	0	0	18	0	1	33	466	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	50	"AWI"	50	163	577	384	0	81	0	1	1	0	136	0	0	0	0	0	3	11	7	172	0	1	1	4	0	0	12	315	0	0	0	0	0	6	0	0	7	0	0	0	0	1	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	55	"AWI"	55	220	602	433	0	33	0	1	4	0	108	0	0	0	0	0	1	3	12	214	0	1	0	1	1	0	11	360	0	0	0	0	0	4	4	0	0	0	0	0	0	1	1	1	1
3299	4283	"Mossen"	60.12146	21.58979	60	"AWI"	60	255	640	484	0	97	2	1	1	0	191	0	0	0	0	0	2	14	6	239	0	1	1	12	0	3	22	296	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0
3299	4283	"Mossen"	60.12146	21.58979	65	"AWI"	65	310	668	527	0	46	2	0	1	0	123	0	0	0	0	0	0	7	11	262	0	1	0	7	0	0	22	364	0	14	0	0	0	4	0	0	0	0	1	0	0	1	1	1	0
3299	4283	"Mossen"	60.12146	21.58979	70	"AWI"	70	336	725	564	0	101	0	0	2	0	183	0	0	0	0	0	0	7	13	79	0	0	0	12	0	1	25	411	0	0	0	0	0	6	0	0	0	0	2	0	0	0	4	0	0
3299	4283	"Mossen"	60.12146	21.58979	75	"AWI"	75	367	762	596	0	58	2	0	1	0	166	0	0	0	0	0	0	7	1	134	0	0	0	0	0	1	30	441	0	0	0	0	0	3	0	0	0	0	0	0	0	2	5	0	0
3299	4283	"Mossen"	60.12146	21.58979	80	"AWI"	80	387	817	626	0	81	2	0	2	0	234	0	0	0	0	0	0	12	0	278	0	2	0	0	0	1	15	227	0	0	0	1	0	4	2	0	0	0	1	0	0	1	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	85	"AWI"	85	425	853	660	0	39	2	1	0	0	366	0	0	0	0	0	1	8	1	283	0	1	0	0	0	2	3	157	0	0	0	1	0	20	0	0	9	1	0	0	0	0	7	0	0
3299	4283	"Mossen"	60.12146	21.58979	90	"AWI"	90	451	900	692	0	43	0	1	1	0	317	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	23	275	0	0	0	0	0	10	0	0	0	0	1	0	0	3	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	95	"AWI"	95	487	931	728	0	35	4	1	2	0	254	0	0	0	0	0	1	7	2	160	0	0	1	0	0	0	28	292	0	0	0	0	0	3	0	0	0	0	1	0	0	0	5	0	0
3299	4283	"Mossen"	60.12146	21.58979	100	"AWI"	100	515	981	762	1	120	0	0	1	0	269	0	0	0	0	0	2	17	3	0	0	0	1	0	0	0	17	312	0	0	0	0	0	12	0	0	0	1	2	0	0	0	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	105	"AWI"	105	551	1011	797	0	114	0	0	1	0	197	0	0	0	0	0	8	8	0	0	0	0	1	1	1	0	4	163	0	0	0	0	0	12	0	0	0	0	0	0	0	0	2	0	0
3299	4283	"Mossen"	60.12146	21.58979	110	"AWI"	110	579	1052	831	0	126	1	1	1	0	167	0	0	0	0	0	0	15	0	0	0	0	0	0	0	3	11	176	0	0	0	0	0	9	0	0	0	0	1	0	0	1	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	115	"AWI"	115	620	1085	865	0	45	0	0	0	0	201	0	0	0	0	0	1	24	18	0	0	1	0	1	0	0	15	232	0	0	0	1	0	15	1	0	0	0	2	0	0	0	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	120	"AWI"	120	650	1127	898	0	52	0	0	1	0	335	0	0	0	0	0	0	18	55	0	0	0	0	1	0	3	23	292	0	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	125	"AWI"	125	691	1153	932	0	18	0	0	0	0	225	0	0	0	0	0	0	10	76	0	0	0	1	1	0	0	4	284	0	0	0	2	0	21	0	0	0	0	0	0	0	0	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	130	"AWI"	130	719	1190	967	0	21	0	0	7	0	220	0	0	0	0	1	1	19	11	0	0	0	1	0	0	1	9	329	0	0	0	0	0	13	0	0	0	1	0	0	0	1	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	135	"AWI"	135	764	1216	1002	0	6	0	0	0	0	179	0	0	0	0	0	0	10	17	21	0	0	0	0	0	0	13	332	0	0	0	0	0	9	0	0	0	0	0	0	0	1	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	140	"AWI"	140	797	1261	1037	0	14	0	0	2	0	226	0	0	0	0	0	1	19	64	16	0	0	0	0	0	0	16	323	0	0	0	0	0	19	0	0	0	0	0	0	0	1	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	145	"AWI"	145	839	1292	1071	0	19	0	0	0	0	151	0	0	0	0	0	1	11	107	10	0	1	0	0	3	0	25	333	0	0	0	0	0	15	3	0	0	0	0	0	1	0	2	0	0
3299	4283	"Mossen"	60.12146	21.58979	150	"AWI"	150	869	1329	1104	0	35	0	0	0	0	215	0	0	0	0	0	2	17	29	39	0	0	1	0	0	1	14	438	0	0	0	0	0	12	0	0	0	0	0	1	0	1	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	155	"AWI"	155	916	1357	1138	0	41	0	1	0	0	272	0	0	0	0	0	1	20	34	39	0	0	0	0	1	2	22	355	0	0	0	1	0	5	0	0	0	0	0	0	0	2	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	160	"AWI"	160	951	1389	1172	0	69	0	0	0	0	199	0	0	0	0	0	2	11	35	5	0	0	0	0	0	1	12	459	0	0	0	0	0	7	0	0	0	0	0	0	0	1	2	0	0
3299	4283	"Mossen"	60.12146	21.58979	165	"AWI"	165	1005	1419	1206	0	57	0	1	0	0	247	0	0	0	0	0	0	9	48	19	0	0	0	0	0	4	21	394	0	0	0	0	0	12	0	0	0	0	0	0	0	2	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	170	"AWI"	170	1043	1459	1241	1	102	1	0	1	0	278	0	0	0	0	0	1	14	32	84	0	0	0	1	0	2	23	223	0	0	0	2	0	14	0	0	0	0	0	0	0	1	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	175	"AWI"	175	1093	1485	1274	0	65	0	1	1	0	240	0	0	1	0	1	0	4	136	26	0	0	0	1	0	0	15	301	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0
3299	4283	"Mossen"	60.12146	21.58979	180	"AWI"	180	1126	1525	1310	2	70	0	0	1	0	187	0	0	0	0	0	0	6	70	69	0	1	1	0	0	2	29	310	0	0	0	0	0	16	0	0	0	0	0	1	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	185	"AWI"	185	1164	1564	1353	0	76	0	0	2	0	76	1	0	0	0	0	0	8	184	59	0	2	0	0	0	3	20	355	0	0	0	0	0	17	0	0	0	0	1	0	0	1	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	190	"AWI"	190	1190	1627	1391	0	55	0	0	0	0	237	0	0	0	0	0	0	23	42	0	0	1	3	1	0	8	17	243	0	0	0	0	0	30	0	0	0	0	0	0	0	0	17	0	0
3299	4283	"Mossen"	60.12146	21.58979	195	"AWI"	195	1235	1664	1434	1	48	0	0	2	0	328	0	0	0	0	0	1	18	17	31	0	0	3	1	0	85	13	175	0	0	0	0	0	14	0	0	0	0	0	4	0	0	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	200	"AWI"	200	1265	1723	1475	0	61	0	0	4	0	192	0	0	0	0	0	0	10	170	65	0	2	4	1	0	9	22	161	0	0	0	1	0	22	5	0	21	0	2	0	0	1	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	205	"AWI"	205	1309	1758	1520	0	85	0	2	4	0	200	0	0	0	0	4	0	5	97	11	0	0	2	1	4	9	15	184	0	0	0	2	0	21	1	0	0	0	0	2	0	0	2	0	0
3299	4283	"Mossen"	60.12146	21.58979	210	"AWI"	210	1340	1806	1562	0	84	0	1	2	0	175	0	0	0	0	3	0	9	27	15	0	0	3	4	11	4	13	187	0	0	0	3	0	7	2	0	0	1	0	0	0	1	4	0	0
3299	4283	"Mossen"	60.12146	21.58979	215	"AWI"	215	1385	1845	1606	1	123	0	0	0	0	214	0	0	0	0	0	1	11	20	0	0	0	6	3	1	1	22	233	0	0	0	0	0	21	1	0	0	0	0	0	1	1	5	0	0
3299	4283	"Mossen"	60.12146	21.58979	220	"AWI"	220	1415	1898	1649	1	174	0	1	2	0	198	0	0	0	0	0	1	14	20	3	0	0	7	3	0	4	18	226	0	0	0	0	0	10	0	0	0	0	1	1	0	0	4	0	0
3299	4283	"Mossen"	60.12146	21.58979	225	"AWI"	225	1464	1928	1693	0	174	0	0	0	0	204	0	0	1	0	0	5	16	6	0	0	0	7	7	0	1	12	195	0	0	0	0	0	16	0	0	0	0	1	0	0	0	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	230	"AWI"	230	1499	1978	1736	1	180	0	5	5	0	227	0	0	0	0	0	1	12	6	0	0	0	7	7	0	4	22	211	0	0	0	1	2	9	2	0	0	0	2	5	0	0	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	235	"AWI"	235	1553	2008	1777	1	201	0	0	2	0	227	0	0	0	0	1	6	9	7	0	0	0	5	6	2	0	13	157	0	0	0	1	0	10	0	0	0	0	1	3	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	240	"AWI"	240	1588	2051	1819	0	168	0	0	3	0	210	0	0	0	0	0	3	7	4	0	0	1	9	2	0	0	19	211	0	0	0	1	0	12	0	0	0	0	0	0	0	0	1	1	0
3299	4283	"Mossen"	60.12146	21.58979	245	"AWI"	245	1626	2092	1860	0	181	0	0	2	0	188	0	0	0	0	1	8	7	6	0	0	1	7	0	0	0	29	196	0	0	0	0	0	8	0	0	0	0	1	1	0	0	4	0	0
3299	4283	"Mossen"	60.12146	21.58979	250	"AWI"	250	1649	2145	1901	0	160	0	0	1	0	133	0	0	0	0	0	6	12	2	0	0	1	6	4	0	1	42	219	0	0	0	0	0	9	0	1	0	1	4	0	0	2	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	255	"AWI"	255	1685	2194	1938	0	138	0	1	1	0	195	0	0	0	0	0	0	8	3	0	0	0	6	3	0	1	32	224	0	0	0	0	0	7	0	0	0	0	3	0	0	0	3	0	0
3299	4283	"Mossen"	60.12146	21.58979	260	"AWI"	260	1712	2258	1973	0	71	0	0	2	0	79	0	0	0	0	0	1	3	1	0	0	0	4	3	0	0	32	100	0	0	0	0	0	6	1	0	0	0	0	1	0	0	0	0	0
3299	4283	"Mossen"	60.12146	21.58979	265	"AWI"	265	1745	2301	2010	0	48	0	0	2	0	35	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	16	65	0	0	0	0	0	1	0	0	0	0	0	3	0	0	2	0	0
3299	4283	"Mossen"	60.12146	21.58979	270	"AWI"	270	1773	2364	2045	0	14	0	0	0	0	26	0	0	0	0	0	1	4	0	0	0	0	0	2	0	0	14	41	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
3299	4283	"Mossen"	60.12146	21.58979	275	"AWI"	275	1802	2405	2081	0	74	1	0	7	0	100	0	0	0	0	0	2	14	0	0	0	1	0	3	0	1	33	121	0	0	0	0	0	17	0	0	0	0	2	1	0	1	1	0	0
