"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Apocynaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malus"	"Malvaceae"	"Oleaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Sorbus"	"Syringa"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3360	4358	"Lake Beloslav"	43.188396	27.670932	40	"AWI"	40	268	1663	819	1	0	3	27	1	0	0	12	0	6	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	3	0	0	0	0	0	0	56	0	0	0	7	0	0	0	0	0	0	0	0	1	3	0	1	0	0	1
3360	4358	"Lake Beloslav"	43.188396	27.670932	45	"AWI"	45	349	1783	937	0	0	2	12	3	0	0	8	0	0	0	2	0	5	0	0	0	1	0	0	1	0	1	9	0	0	0	0	1	0	11	0	0	0	0	1	3	0	0	0	1	0	1	0	15	0	0	0	0	0	0	0	0	57	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0
3360	4358	"Lake Beloslav"	43.188396	27.670932	50	"AWI"	50	401	1931	1051	0	0	4	8	4	0	0	3	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	2	0	9	0	0	0	0	1	2	4	0	0	0	0	0	0	22	0	0	0	0	0	0	1	0	62	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	8	1	0	0
3360	4358	"Lake Beloslav"	43.188396	27.670932	55	"AWI"	55	520	2027	1174	0	0	3	11	3	0	0	12	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	4	0	0	0	0	0	0	46	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	1
3360	4358	"Lake Beloslav"	43.188396	27.670932	60	"AWI"	60	598	2153	1302	0	0	2	6	3	0	0	7	0	0	0	0	1	4	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	1	1	2	2	1	0	0	0	0	0	0	22	0	0	0	0	0	0	2	0	66	0	0	0	0	2	1	2	0	0	0	0	0	2	2	0	8	2	0	1
3360	4358	"Lake Beloslav"	43.188396	27.670932	65	"AWI"	65	688	2278	1424	1	1	1	4	1	0	0	7	0	26	0	6	0	1	0	0	1	0	0	0	0	0	1	8	0	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	0	0	0	0	45	1	0	0	0	0	0	0	0	91	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0
3360	4358	"Lake Beloslav"	43.188396	27.670932	80	"AWI"	80	949	2635	1780	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	5	0	0	1
3360	4358	"Lake Beloslav"	43.188396	27.670932	115	"AWI"	115	1745	3367	2624	1	0	3	0	82	0	0	12	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	1	0	0	0	0	1	0	80	0	0	0	3	1	0	2	0	0	0	0	0	1	7	0	3	0	0	0
3360	4358	"Lake Beloslav"	43.188396	27.670932	120	"AWI"	120	1885	3443	2743	0	0	4	4	0	0	0	9	0	4	0	0	0	2	0	0	0	0	0	0	1	0	0	12	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	6	0	87	0	0	0	0	0	1	0	0	0	0	0	0	4	2	0	3	0	0	0
3360	4358	"Lake Beloslav"	43.188396	27.670932	140	"AWI"	140	2392	3804	3212	0	0	4	21	2	0	0	15	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	14	0	0	0	0	0	0	0	0	29	0	0	0	0	8	0	1	0	0	0	0	0	0	5	0	1	0	0	2
