"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	20	"AWI"	20	-49	699	191	8	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	90	0	0	0	0	0	2	2	4	4	0	6	0	0	10	6	48	0	61	0	16	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	6
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	25	"AWI"	25	12	756	265	12	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	8	70	0	0	2	0	0	4	0	20	0	0	0	0	0	0	2	43	0	14	0	12	0	0	0	0	0	0	6	0	0	0	0	0	4	6	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	30	"AWI"	30	50	811	344	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	4	0	6	90	0	0	0	0	0	0	2	16	2	0	0	0	0	0	0	18	0	22	0	10	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	35	"AWI"	35	78	874	421	14	0	0	0	0	0	4	0	2	0	0	1	0	0	0	0	0	0	2	22	0	0	0	0	0	0	2	20	4	0	0	0	0	0	4	35	0	22	0	24	0	2	0	0	2	4	0	0	0	0	0	0	0	4	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	40	"AWI"	40	101	975	492	9	0	0	0	0	0	0	0	0	0	0	2	0	13	0	0	3	0	14	36	0	0	1	2	0	14	0	53	0	0	0	0	0	5	8	28	0	43	0	59	5	0	0	0	0	2	4	0	0	0	0	0	0	0	3	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	45	"AWI"	45	181	1035	562	4	0	2	1	0	1	1	0	4	0	0	1	0	0	0	0	2	0	3	162	0	0	0	0	0	10	0	31	4	0	0	0	0	5	6	15	0	20	0	38	4	15	0	0	0	1	3	0	0	0	0	1	0	0	6	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	50	"AWI"	50	253	1081	636	5	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	7	139	0	0	0	0	0	9	0	39	3	0	0	0	0	2	2	10	0	30	0	43	0	20	0	0	0	4	2	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	55	"AWI"	55	304	1148	710	4	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	4	29	0	0	1	0	0	3	0	24	0	0	0	0	0	3	1	12	0	28	0	51	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	60	"AWI"	60	341	1215	782	12	0	2	1	0	0	0	0	2	0	0	0	0	0	0	1	3	0	8	60	0	0	0	0	0	4	0	12	0	0	0	0	0	0	3	48	0	18	0	25	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	65	"AWI"	65	455	1289	853	23	3	3	1	0	0	0	0	2	0	0	2	0	0	0	0	5	0	15	60	0	0	0	0	0	6	0	25	0	0	0	0	0	0	5	33	0	44	0	43	2	5	0	0	3	2	7	0	0	0	0	0	0	0	0	0
