"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Gentianaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3384	4387	"Rosle Nowe"	52.12343	18.90654	386	"AWI"	386	13293	14654	13857	0	0	31	1	0	17	0	0	0	0	0	0	1	45	0	0	0	0	0	75	1	0	0	0	0	164	0	93	0	0	2	0	4	3	0	7	0	0	0	1	1	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	388	"AWI"	388	13332	14693	13896	2	0	16	4	0	28	0	0	2	0	0	0	2	250	0	0	0	0	0	42	4	0	0	3	2	611	0	75	0	0	0	0	0	6	0	15	0	0	0	4	0	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	390	"AWI"	390	13373	14734	13935	0	1	23	4	0	30	0	0	0	1	0	0	1	164	0	1	0	0	0	106	2	0	0	4	5	523	0	125	0	0	5	0	0	0	0	16	0	0	1	2	1	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	392	"AWI"	392	13415	14772	13978	1	0	23	2	0	20	0	0	0	0	0	0	1	95	0	0	0	0	0	122	0	0	0	1	5	573	0	82	0	0	1	0	4	1	0	9	0	0	1	3	2	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	394	"AWI"	394	13453	14809	14018	0	0	0	0	0	1	0	0	1	0	0	0	1	10	0	0	0	0	0	23	0	0	0	0	0	44	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	396	"AWI"	396	13493	14848	14058	0	0	0	2	0	49	0	0	0	0	0	0	0	257	0	0	0	0	1	9	2	0	0	0	0	623	0	69	0	0	1	0	0	1	0	10	0	0	1	1	1	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	398	"AWI"	398	13533	14886	14100	0	0	0	13	0	75	0	248	0	0	0	4	0	646	0	0	0	0	0	17	7	0	0	0	1	988	0	96	0	0	0	0	12	5	0	20	0	0	1	3	0	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	400	"AWI"	400	13576	14924	14139	0	0	0	12	0	25	0	0	1	0	0	0	0	303	0	0	0	0	0	6	1	0	0	0	1	2020	0	64	0	0	0	0	0	1	0	13	0	0	1	0	0	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	402	"AWI"	402	13618	14964	14179	0	0	0	5	0	6	0	0	0	0	0	0	0	47	0	0	0	0	0	6	0	0	0	0	0	1769	0	47	0	2	0	0	0	0	0	5	0	0	1	0	0	0
3384	4387	"Rosle Nowe"	52.12343	18.90654	404	"AWI"	404	13656	15001	14220	0	0	0	1	0	16	0	368	0	0	0	0	0	36	0	0	0	0	0	0	1	0	0	0	1	1246	0	21	0	0	0	0	0	0	0	9	0	0	1	1	1	1
