"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tofieldiaceae"	"Urticaceae"
3400	4405	"Särkikangas"	65.91702	29.18661	2	"AWI"	2	-51	224	64	15	0	1	3	0	256	0	1	0	114	0	0	3	0	0	78	224	0	0	0	0	0	0	2	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	4	"AWI"	4	-19	460	156	17	1	1	5	0	235	0	1	0	129	0	0	6	0	0	40	236	0	0	0	0	0	1	1	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	6	"AWI"	6	43	611	253	13	0	0	1	1	232	0	1	0	121	0	0	4	0	0	70	254	0	0	0	0	0	0	1	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	8	"AWI"	8	106	699	358	12	0	1	3	0	167	1	0	0	120	0	0	2	0	0	61	208	0	36	0	0	0	0	1	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	10	"AWI"	10	152	837	456	6	1	0	1	0	195	0	1	0	107	0	1	3	0	0	79	221	0	0	0	0	0	1	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	12	"AWI"	12	315	911	561	7	0	0	1	1	139	0	0	0	118	0	0	0	0	0	60	189	1	0	0	0	0	0	1	0	0	0	1
3400	4405	"Särkikangas"	65.91702	29.18661	16	"AWI"	16	583	1172	819	6	1	0	1	0	182	0	0	0	112	0	0	6	0	0	43	175	0	0	0	0	0	0	0	0	0	0	1
3400	4405	"Särkikangas"	65.91702	29.18661	20	"AWI"	20	783	1888	1186	6	0	0	1	0	159	0	0	1	129	0	0	3	0	0	47	155	0	0	0	0	0	0	1	1	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	24	"AWI"	24	1063	2421	1672	7	0	0	1	1	211	0	0	0	123	0	0	4	0	0	78	217	0	0	0	0	0	1	8	0	0	0	1
3400	4405	"Särkikangas"	65.91702	29.18661	28	"AWI"	28	1480	2830	2171	13	0	0	2	0	196	0	0	0	30	0	0	0	0	1	40	168	0	0	0	0	0	0	1	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	30	"AWI"	30	1627	3083	2426	16	0	0	1	0	284	1	0	0	27	0	0	1	1	0	50	210	0	305	0	0	0	0	0	0	0	0	1
3400	4405	"Särkikangas"	65.91702	29.18661	32	"AWI"	32	2088	3173	2642	29	0	0	1	5	378	0	0	0	38	0	0	5	1	0	80	308	0	0	0	0	1	3	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	33	"AWI"	33	2266	3227	2757	14	0	0	2	0	97	0	0	0	24	0	0	0	0	0	39	28	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	36	"AWI"	36	2668	3463	3088	11	0	0	0	1	180	0	0	0	57	0	0	2	0	0	48	174	0	0	0	0	0	0	7	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	39	"AWI"	39	2907	3877	3367	17	0	0	2	0	128	0	0	0	51	0	0	0	0	0	36	143	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	40	"AWI"	40	2947	4080	3452	24	1	0	2	1	226	0	0	0	59	0	0	1	0	0	71	244	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	44	"AWI"	44	3245	4368	3809	16	0	0	1	0	213	0	1	0	137	0	0	1	0	0	58	220	0	0	0	0	0	0	0	0	0	1	0
3400	4405	"Särkikangas"	65.91702	29.18661	48	"AWI"	48	3666	4656	4147	24	0	0	1	0	270	0	0	0	81	20	0	1	0	0	59	213	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	52	"AWI"	52	4002	5094	4523	22	0	0	0	1	393	0	0	0	30	0	0	0	0	0	7	124	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	54	"AWI"	54	4102	5537	4703	24	1	0	0	0	602	0	0	0	44	0	0	2	0	2	5	183	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	56	"AWI"	56	4224	5934	4892	34	1	0	0	0	952	0	0	0	33	0	0	1	0	0	6	182	0	0	0	0	1	0	1	0	1	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	60	"AWI"	60	4431	6708	5273	46	0	0	0	0	903	0	0	0	21	0	0	0	0	2	3	123	0	0	0	0	0	0	0	0	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	64	"AWI"	64	4680	7317	5681	45	0	0	0	0	885	0	0	0	6	5	0	0	1	4	0	82	0	0	1	0	0	0	1	1	0	0	0
3400	4405	"Särkikangas"	65.91702	29.18661	68	"AWI"	68	4923	7914	6084	48	0	0	0	0	888	0	0	0	7	0	0	0	0	3	0	88	0	0	0	0	0	0	0	0	0	0	0
