"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Liquidambar"	"Lythraceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3453	4470	"Svencele Bog"	55.49528	21.29222	47	"AWI"	47	505	2146	1231	0	114	0	1	0	3	0	1	274	0	0	0	38	84	0	2	0	1	0	0	0	0	0	0	2	0	3	21	135	0	27	0	1	13	0	0	0	0	0	3	0	0	0	1	7	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	52	"AWI"	52	576	2330	1370	0	133	3	0	0	1	0	0	342	0	0	3	26	309	0	0	0	0	0	0	0	0	0	0	0	0	3	50	218	0	35	0	0	12	0	0	0	4	0	6	0	0	0	10	9	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	57	"AWI"	57	723	2436	1519	1	95	0	0	0	1	2	1	158	0	0	1	38	248	0	0	0	8	0	0	0	0	0	0	0	0	1	34	177	0	23	0	3	21	0	0	15	1	0	6	0	0	0	2	3	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	62	"AWI"	62	818	2555	1668	0	141	0	0	0	2	1	0	232	0	0	0	20	293	0	0	0	2	0	0	0	0	0	0	0	0	2	25	195	0	29	0	0	21	0	0	0	0	0	3	0	0	0	3	6	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	72	"AWI"	72	1080	2791	1959	0	162	0	0	0	0	2	0	238	0	0	0	27	192	0	0	0	0	0	0	0	0	0	0	0	0	4	40	131	0	29	0	0	20	0	0	0	1	0	2	0	0	0	3	9	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	77	"AWI"	77	1177	2918	2097	2	254	0	0	0	2	1	1	154	0	0	2	44	196	0	0	0	10	0	0	0	0	0	1	0	0	5	30	129	0	28	0	0	26	0	1	19	5	0	5	0	0	0	5	11	0	1
3453	4470	"Svencele Bog"	55.49528	21.29222	87	"AWI"	87	1529	3080	2394	0	25	0	1	0	0	0	0	67	0	0	0	43	142	0	0	0	10	0	0	0	0	0	0	0	0	2	40	108	0	25	0	0	20	0	0	13	1	0	8	0	0	1	2	13	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	92	"AWI"	92	1637	3203	2550	0	387	0	4	0	0	1	0	78	0	0	0	49	168	0	0	0	7	0	0	0	0	0	1	0	0	4	59	126	0	25	0	0	34	0	1	0	0	0	5	0	0	0	7	13	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	97	"AWI"	97	1848	3262	2690	1	256	0	0	0	0	3	0	77	0	0	0	34	150	0	0	0	11	0	0	0	0	0	0	2	0	1	22	36	0	34	0	1	28	0	0	31	3	0	8	0	0	0	2	3	0	0
3453	4470	"Svencele Bog"	55.49528	21.29222	102	"AWI"	102	1996	3335	2836	0	431	4	3	0	0	1	1	79	0	0	0	74	223	0	0	0	3	0	0	0	0	0	0	2	0	3	26	141	0	40	1	0	36	0	1	0	3	2	2	0	0	0	4	25	0	1
