"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Dioscoreaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
26062	45207	"Chalkney wood"	51.91361	0.72333	0.5	"AWI"	0.5	-62	-45.5	-53	0	0	296	5	0	0	0	0	0	169	0	1	0	0	0	188	1	20	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	4	0	6	0	69	0	0	0	110	0	0	1	0	53	0	0	0	1	1	1	0	2	7	1	0
26062	45207	"Chalkney wood"	51.91361	0.72333	1.3	"AWI"	1.3	-59.4	-44.4	-51.4	0	1	274	3	0	0	0	1	0	143	0	9	0	0	0	202	0	27	2	0	0	0	0	0	41	0	0	0	0	0	0	0	0	2	0	6	0	78	0	0	0	114	1	0	0	0	79	0	0	0	1	0	0	0	5	3	5	0
26062	45207	"Chalkney wood"	51.91361	0.72333	1.7	"AWI"	1.7	-58.6	-43.6	-50.6	0	0	318	5	0	0	0	0	0	139	0	3	0	0	0	150	1	29	3	0	0	0	0	1	46	0	0	0	0	0	0	0	0	10	0	8	0	79	0	0	0	118	4	0	0	0	63	1	0	0	8	3	0	0	9	8	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	2	"AWI"	2	-58	-43	-50	0	0	293	8	0	0	0	1	0	134	0	6	0	0	0	203	0	26	2	0	0	0	0	2	27	0	0	0	0	0	0	0	0	2	0	3	0	65	1	0	0	126	0	0	1	0	71	0	0	1	0	1	0	0	6	11	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	2.5	"AWI"	2.5	-56.5	-42.5	-49	0	0	300	12	0	0	1	0	0	192	0	3	0	0	0	188	0	26	0	0	0	2	0	1	39	0	0	0	1	0	2	0	0	4	0	3	0	76	0	0	0	126	4	0	0	0	72	0	0	0	1	3	0	0	5	4	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	3.2	"AWI"	3.2	-54.4	-41.6	-47.6	0	0	243	3	0	0	0	0	0	175	0	3	0	0	0	243	0	16	1	0	0	0	0	1	41	0	0	0	0	0	0	0	0	5	0	1	0	70	0	0	0	105	1	0	0	0	64	0	0	0	3	2	0	0	3	5	4	0
26062	45207	"Chalkney wood"	51.91361	0.72333	2.8	"AWI"	2.8	-55.6	-42.2	-48.4	0	1	275	5	0	2	0	0	0	179	0	6	0	0	0	228	0	21	2	0	0	3	0	1	31	0	0	1	0	0	0	0	0	1	0	6	0	74	0	0	0	119	1	0	1	0	85	0	0	0	0	1	0	1	4	6	6	2
26062	45207	"Chalkney wood"	51.91361	0.72333	3.5	"AWI"	3.5	-53.5	-41	-47	0	0	225	6	0	0	1	2	0	173	0	2	0	0	0	282	0	22	1	0	0	1	0	1	38	0	0	1	0	0	0	0	0	5	0	3	0	48	0	0	0	100	2	0	0	0	60	0	0	0	0	0	1	0	5	9	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	3.9	"AWI"	3.9	-52.3	-40.2	-46.2	0	1	301	6	0	1	2	0	0	181	0	3	0	0	0	217	0	20	1	0	0	1	0	0	27	0	0	0	0	0	0	0	0	4	0	4	0	61	0	0	0	120	1	0	0	0	71	0	0	0	3	0	0	0	3	6	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	4.2	"AWI"	4.2	-51.8	-39.6	-45.6	0	1	340	4	0	2	1	0	0	144	0	2	0	0	0	205	0	14	1	1	0	0	0	0	13	0	0	0	0	0	0	0	0	3	0	6	7	63	0	0	0	119	0	0	1	0	67	1	0	0	4	1	0	0	4	2	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	4.5	"AWI"	4.5	-51.5	-39	-45	0	0	445	10	0	0	1	0	0	160	0	1	0	0	0	143	0	13	3	0	0	0	0	2	13	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	111	5	0	0	0	52	0	0	0	1	1	2	0	2	5	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	4.9	"AWI"	4.9	-51.1	-38.2	-44.2	1	0	305	8	0	0	0	0	0	181	0	6	0	0	0	237	0	30	2	0	0	0	0	0	29	0	0	0	0	0	0	0	0	3	0	2	0	78	0	0	0	128	1	0	1	0	79	0	0	0	4	0	0	0	7	3	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	5.4	"AWI"	5.4	-49.8	-37.6	-43.2	0	0	251	9	0	1	0	0	0	151	0	1	0	0	0	143	0	20	1	0	0	0	0	1	22	0	0	0	0	0	0	0	0	0	0	1	0	60	0	0	0	162	2	0	0	0	155	0	0	1	2	0	0	0	0	4	8	0
26062	45207	"Chalkney wood"	51.91361	0.72333	6	"AWI"	6	-48	-37	-42	0	0	254	5	0	0	0	0	0	214	0	5	0	0	0	153	1	33	3	0	0	0	0	3	24	0	0	0	1	0	0	0	0	3	0	3	0	63	0	0	0	156	4	0	1	0	65	0	0	0	3	0	0	0	4	2	7	0
26062	45207	"Chalkney wood"	51.91361	0.72333	6.5	"AWI"	6.5	-47	-36	-41	0	0	222	5	0	0	1	0	0	208	0	2	0	0	0	66	1	56	1	0	0	0	0	0	20	2	0	0	0	0	0	0	0	1	0	3	0	73	0	0	0	264	1	0	2	0	77	0	0	0	1	2	0	0	1	2	6	0
26062	45207	"Chalkney wood"	51.91361	0.72333	8.9	"AWI"	8.9	-43.1	-32.1	-37.2	0	0	201	5	0	2	0	0	0	185	0	2	0	0	0	23	1	79	2	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	323	1	0	1	0	91	0	0	0	3	0	0	0	1	5	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	9.5	"AWI"	9.5	-42.5	-31	-36.5	0	1	228	4	0	0	0	0	0	223	0	0	0	0	0	24	0	104	3	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	2	0	80	0	0	0	235	0	0	0	0	79	0	0	0	2	2	0	0	1	3	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	10.7	"AWI"	10.7	-40.6	-29.3	-34.6	0	1	219	2	0	0	0	0	0	182	0	1	0	1	0	27	0	120	4	0	0	0	0	2	11	0	0	0	0	0	0	0	0	1	0	0	0	90	0	0	0	286	2	0	2	0	79	0	3	1	0	1	0	0	1	2	0	0
26062	45207	"Chalkney wood"	51.91361	0.72333	11.4	"AWI"	11.4	-39.6	-28.2	-33.6	0	0	240	4	0	4	0	0	0	105	0	4	0	0	0	43	0	125	5	1	0	0	0	1	37	0	0	0	0	0	0	0	0	0	0	1	6	98	0	0	0	313	7	0	3	0	79	0	0	0	3	0	1	0	0	5	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	7.1	"AWI"	7.1	-45.8	-34.8	-39.9	0	0	227	10	0	3	2	0	0	167	0	4	0	0	0	49	0	51	3	0	0	0	0	1	17	0	24	0	0	0	0	2	0	3	0	2	0	75	0	0	0	290	3	0	3	0	97	0	0	1	2	1	0	0	3	4	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	7.7	"AWI"	7.7	-44.6	-33.6	-39.3	0	0	250	9	0	1	0	0	0	179	0	7	0	0	0	127	0	50	4	2	0	0	0	2	39	0	0	1	0	0	0	0	0	2	0	9	0	74	0	0	0	163	5	0	1	0	80	0	0	1	1	1	0	0	4	9	5	0
26062	45207	"Chalkney wood"	51.91361	0.72333	8.4	"AWI"	8.4	-43.6	-32.6	-38.2	0	1	260	9	0	0	1	0	0	174	0	4	0	0	0	103	0	45	1	0	0	0	0	1	19	0	0	0	0	0	0	0	0	2	0	3	0	50	0	0	0	216	4	0	1	0	84	0	0	0	4	0	0	0	3	5	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	10.2	"AWI"	10.2	-41.6	-29.8	-35.6	0	1	163	2	0	1	0	0	0	151	0	4	0	1	0	26	0	73	3	0	0	1	0	3	13	0	0	0	0	0	0	0	0	2	0	2	9	110	0	0	0	324	2	0	2	0	103	0	0	0	3	0	0	0	2	8	4	0
26062	45207	"Chalkney wood"	51.91361	0.72333	11.9	"AWI"	11.9	-39.1	-27.2	-33.1	0	2	190	1	0	0	1	0	0	151	0	3	0	0	0	55	1	91	3	0	0	0	0	2	22	0	0	0	0	0	0	0	0	1	1	1	9	92	0	0	0	258	8	0	3	0	97	0	0	0	5	0	0	0	2	5	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	12.5	"AWI"	12.5	-38	-26	-32	0	1	223	4	0	2	1	0	0	143	0	2	0	0	0	70	1	97	4	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	2	0	88	0	0	0	230	4	0	0	0	95	0	0	0	2	2	1	0	5	11	1	0
26062	45207	"Chalkney wood"	51.91361	0.72333	13.2	"AWI"	13.2	-36.6	-24.8	-30.8	0	0	250	6	0	0	1	0	0	123	0	1	1	0	0	75	1	88	5	0	0	0	0	5	22	0	0	0	0	0	0	0	0	1	0	3	0	90	0	0	0	245	3	0	0	0	82	0	0	1	4	1	0	0	3	3	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	13.7	"AWI"	13.7	-35.6	-24.3	-30.3	0	0	223	4	0	1	0	0	0	128	0	2	0	0	0	21	0	196	1	2	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	1	0	81	0	0	0	277	1	0	0	0	82	1	0	0	2	0	0	0	3	3	2	0
26062	45207	"Chalkney wood"	51.91361	0.72333	14.4	"AWI"	14.4	-34.6	-23.2	-29.2	0	0	261	1	0	1	0	0	0	134	0	0	0	0	0	8	0	276	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	1	0	55	0	0	0	243	0	0	0	0	38	0	0	0	1	0	0	0	0	4	7	0
26062	45207	"Chalkney wood"	51.91361	0.72333	14.9	"AWI"	14.9	-34.1	-22.2	-28.2	0	0	282	1	0	1	0	0	0	172	0	1	0	0	0	0	0	208	3	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	279	4	0	0	0	51	0	0	0	0	1	0	0	0	0	4	0
26062	45207	"Chalkney wood"	51.91361	0.72333	15.5	"AWI"	15.5	-33	-21	-27	0	2	218	1	0	0	0	0	0	156	0	2	0	0	0	2	0	252	4	0	0	0	0	1	19	0	25	0	0	0	0	0	0	0	0	0	4	0	0	0	0	225	2	0	0	0	47	0	0	0	3	0	0	0	2	5	3	0
26062	45207	"Chalkney wood"	51.91361	0.72333	16.2	"AWI"	16.2	-31.8	-19.6	-25.8	0	1	234	4	0	1	1	0	0	232	0	1	0	0	0	4	0	137	3	0	0	0	0	1	8	1	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	281	2	0	0	0	53	0	1	0	1	0	0	0	0	0	1	0
