"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Nartheciaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Tilia"	"Ulmus"	"Urticaceae"
26067	45221	"Glen West"	54.41667	-8.03333	92	"AWI"	92	2287	2610	2477	88	0	0	0	0	18	0	0	0	443	41	0	0	0	13	0	0	13	0	0	0	0	0	3	7	0	0	63	0	0	0	0	4	0	0	9	1
26067	45221	"Glen West"	54.41667	-8.03333	94	"AWI"	94	2341	2634	2513	114	0	0	0	0	10	0	0	0	316	86	0	0	0	15	0	0	5	0	0	0	0	0	1	5	0	0	33	0	0	0	0	0	0	0	9	0
26067	45221	"Glen West"	54.41667	-8.03333	96	"AWI"	96	2397	2655	2544	80	0	0	1	0	5	0	0	0	369	55	0	0	1	10	0	1	0	0	0	0	0	0	3	12	0	0	43	0	0	0	0	1	0	0	7	0
26067	45221	"Glen West"	54.41667	-8.03333	97	"AWI"	97	2436	2661	2558	93	0	0	0	0	12	0	0	0	350	61	0	0	0	11	1	0	7	0	0	0	0	0	1	9	0	0	33	0	0	0	0	0	0	0	11	0
26067	45221	"Glen West"	54.41667	-8.03333	99	"AWI"	99	2496	2678	2588	79	0	0	0	0	5	0	0	0	496	19	0	0	0	9	0	0	0	0	0	0	0	0	1	7	0	0	19	0	0	0	0	0	0	0	8	0
26067	45221	"Glen West"	54.41667	-8.03333	100	"AWI"	100	2510	2690	2605	39	0	0	0	0	10	0	0	0	435	11	0	0	0	1	0	0	6	0	0	0	0	0	2	6	0	0	26	0	1	0	0	0	0	0	5	0
26067	45221	"Glen West"	54.41667	-8.03333	101	"AWI"	101	2539	2693	2619	49	0	0	0	0	4	0	0	0	441	2	0	0	0	1	0	0	3	0	2	0	0	0	2	6	0	0	8	0	0	0	0	0	0	0	10	0
26067	45221	"Glen West"	54.41667	-8.03333	102	"AWI"	102	2566	2697	2634	49	0	0	1	0	4	0	0	0	453	14	0	0	0	4	0	0	0	0	5	0	0	0	2	8	0	0	30	0	0	0	0	0	0	0	11	0
26067	45221	"Glen West"	54.41667	-8.03333	103	"AWI"	103	2586	2702	2648	45	0	0	1	0	5	0	0	0	438	7	0	0	0	1	0	0	10	0	1	1	0	0	0	3	0	0	9	0	0	0	0	0	0	0	6	0
26067	45221	"Glen West"	54.41667	-8.03333	104	"AWI"	104	2599	2710	2663	98	0	0	2	0	11	0	0	0	343	36	0	0	0	5	0	0	14	0	0	0	0	0	2	4	0	0	24	0	0	0	0	1	0	0	15	1
26067	45221	"Glen West"	54.41667	-8.03333	105	"AWI"	105	2610	2723	2677	81	0	0	2	0	13	0	0	0	365	5	0	0	0	10	0	0	10	0	1	0	0	0	3	5	0	0	27	0	0	0	0	0	1	1	0	1
26067	45221	"Glen West"	54.41667	-8.03333	106	"AWI"	106	2633	2726	2687	97	0	0	0	0	30	0	0	0	355	36	0	0	0	5	0	0	3	0	0	0	0	0	1	1	0	0	18	0	0	0	0	0	0	0	8	0
26067	45221	"Glen West"	54.41667	-8.03333	107	"AWI"	107	2656	2729	2697	69	0	0	0	0	14	0	0	0	383	8	0	0	0	4	0	1	10	1	0	0	0	0	0	9	0	0	8	0	0	0	0	0	1	0	10	1
26067	45221	"Glen West"	54.41667	-8.03333	109	"AWI"	109	2693	2740	2718	59	0	0	2	0	3	0	0	0	411	38	0	0	0	0	0	0	11	0	0	1	0	0	0	20	0	0	15	0	0	0	0	0	0	0	5	1
26067	45221	"Glen West"	54.41667	-8.03333	111	"AWI"	111	2715	2760	2739	70	0	0	1	0	19	0	0	0	379	32	0	0	0	3	0	0	26	0	0	0	0	0	2	14	0	0	16	0	0	0	0	1	0	0	5	4
26067	45221	"Glen West"	54.41667	-8.03333	113	"AWI"	113	2728	2795	2758	56	0	0	0	0	5	0	0	0	457	15	0	0	0	2	0	0	7	0	1	0	0	0	0	22	0	0	7	0	0	0	0	0	0	0	1	0
26067	45221	"Glen West"	54.41667	-8.03333	115	"AWI"	115	2735	2838	2777	49	1	0	0	0	7	0	0	0	374	53	0	0	0	7	0	0	9	0	0	0	1	0	4	21	0	0	36	0	0	0	0	0	0	0	2	0
26067	45221	"Glen West"	54.41667	-8.03333	117	"AWI"	117	2764	2861	2809	34	0	0	1	0	4	0	0	0	457	4	0	0	0	1	0	0	0	0	0	0	0	0	1	15	0	0	5	0	0	0	0	0	2	0	4	1
26067	45221	"Glen West"	54.41667	-8.03333	118	"AWI"	118	2772	2882	2824	102	0	0	1	0	20	0	0	0	762	63	170	0	0	5	0	0	31	0	1	0	0	0	3	10	0	0	28	0	0	0	0	1	0	0	7	0
26067	45221	"Glen West"	54.41667	-8.03333	119	"AWI"	119	2777	2906	2838	65	0	0	0	0	5	0	0	0	539	4	0	0	0	3	0	0	11	0	0	0	0	0	0	11	0	0	14	0	0	0	0	0	0	0	3	0
26067	45221	"Glen West"	54.41667	-8.03333	120	"AWI"	120	2782	2933	2850	52	1	0	0	0	9	0	0	0	454	28	0	0	0	6	0	0	5	0	0	4	0	0	4	2	0	0	18	0	0	0	0	0	0	0	4	1
26067	45221	"Glen West"	54.41667	-8.03333	121	"AWI"	121	2803	2950	2871	57	0	0	0	0	4	0	0	0	422	15	0	0	0	5	0	0	6	0	0	0	0	0	0	5	0	0	7	0	0	0	0	0	0	0	9	0
26067	45221	"Glen West"	54.41667	-8.03333	122	"AWI"	122	2816	2975	2893	92	0	0	0	0	8	0	0	0	375	64	0	1	0	9	0	0	0	0	0	0	0	0	2	4	0	0	34	0	0	0	0	0	0	0	3	0
26067	45221	"Glen West"	54.41667	-8.03333	123	"AWI"	123	2827	3008	2913	95	0	0	0	0	5	0	0	0	376	22	0	0	0	1	0	0	9	0	0	0	0	0	1	8	0	0	15	0	0	0	0	2	0	0	12	1
26067	45221	"Glen West"	54.41667	-8.03333	124	"AWI"	124	2836	3046	2932	116	1	0	0	0	7	1	0	0	336	1	88	0	0	7	0	1	0	1	0	4	0	0	3	4	0	0	44	0	0	0	0	2	1	0	20	1
26067	45221	"Glen West"	54.41667	-8.03333	125	"AWI"	125	2846	3087	2951	118	0	0	1	0	9	0	0	0	358	29	0	0	0	3	2	1	7	0	0	0	0	0	0	15	85	0	25	0	0	0	0	1	0	0	11	0
26067	45221	"Glen West"	54.41667	-8.03333	126	"AWI"	126	2871	3120	2978	129	0	0	1	0	6	0	0	0	332	26	0	0	0	7	1	0	0	0	0	1	0	0	5	8	0	0	37	0	0	0	0	2	0	1	21	1
26067	45221	"Glen West"	54.41667	-8.03333	127	"AWI"	127	2885	3164	3005	85	1	0	0	0	10	0	0	0	413	10	0	0	0	4	0	0	0	0	1	0	0	0	0	9	0	0	30	0	0	0	0	1	0	0	9	0
26067	45221	"Glen West"	54.41667	-8.03333	128	"AWI"	128	2895	3214	3029	160	0	0	1	0	15	0	0	0	349	36	112	0	0	11	0	1	24	0	0	1	0	0	1	5	0	0	67	0	0	0	0	2	0	0	26	1
26067	45221	"Glen West"	54.41667	-8.03333	130	"AWI"	130	2913	3341	3075	148	0	0	0	0	7	1	0	0	301	27	0	0	0	7	0	0	5	0	0	0	0	0	1	4	0	0	57	0	0	0	0	1	0	0	30	0
26067	45221	"Glen West"	54.41667	-8.03333	132	"AWI"	132	2953	3390	3130	150	0	0	0	0	8	0	0	0	293	19	0	0	0	3	0	1	4	0	0	19	0	0	1	8	0	0	21	0	0	0	0	1	1	0	7	2
26067	45221	"Glen West"	54.41667	-8.03333	134	"AWI"	134	2978	3481	3184	185	0	0	0	0	6	0	0	0	247	58	0	0	0	7	0	1	7	0	1	1	0	0	2	6	0	1	55	0	0	0	0	1	0	0	13	0
26067	45221	"Glen West"	54.41667	-8.03333	136	"AWI"	136	3019	3560	3234	160	0	0	0	0	15	0	0	0	240	68	0	0	0	11	0	0	9	0	1	3	0	0	1	11	0	0	57	0	0	0	0	3	0	2	16	0
26067	45221	"Glen West"	54.41667	-8.03333	138	"AWI"	138	3053	3609	3293	198	0	1	1	0	35	2	0	0	475	167	147	0	0	9	0	1	32	0	6	0	0	1	4	31	0	0	85	0	0	0	0	3	0	0	23	2
