"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3499	4524	"Vallée de la Voise"	48.41667	1.75	30	"AWI"	30	100	794	406	1	5	3	2	1	9	0	72	6	0	2	0	0	0	85	192	0	0	48	6	0	0	3	19	0	9	3	21	195	0	191	16	0	3	29	9	0	6	0	0	0	5	0	3
3499	4524	"Vallée de la Voise"	48.41667	1.75	40	"AWI"	40	219	941	565	3	71	9	16	0	10	0	41	23	5	0	0	0	3	132	39	7	0	100	6	3	3	0	0	7	67	6	135	273	3	430	10	0	0	84	16	4	0	0	3	1	12	9	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	50	"AWI"	50	331	1083	724	3	36	6	33	0	5	0	20	19	0	0	0	0	0	49	595	4	0	36	7	0	0	0	0	0	21	6	0	646	0	292	11	0	6	75	17	0	0	0	2	0	2	3	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	60	"AWI"	60	489	1228	883	0	27	7	5	0	0	0	8	0	0	1	0	1	0	57	225	0	0	54	3	0	0	0	0	0	25	4	38	0	0	222	11	0	0	45	2	0	0	1	0	0	2	0	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	70	"AWI"	70	673	1341	1054	1	45	0	0	0	13	0	29	0	0	0	0	0	0	101	545	0	0	86	4	0	0	0	2	0	22	5	91	0	0	427	7	0	0	161	12	0	0	0	0	2	2	10	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	80	"AWI"	80	893	1426	1207	0	11	4	0	0	2	0	2	0	0	0	0	0	0	23	391	0	0	8	4	0	0	0	0	0	1	5	0	0	0	92	20	0	0	19	1	0	0	0	1	1	3	0	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	90	"AWI"	90	1172	1499	1360	0	62	6	0	2	8	0	36	0	0	0	0	0	0	157	1236	0	0	99	16	0	0	0	0	0	9	12	127	0	0	352	0	0	0	102	3	0	0	0	1	5	4	6	4
3499	4524	"Vallée de la Voise"	48.41667	1.75	100	"AWI"	100	1370	1682	1497	1	12	0	0	1	1	0	16	0	0	0	0	0	0	19	995	0	0	12	7	0	0	0	0	0	2	9	0	169	0	151	0	0	0	6	2	0	0	0	0	1	5	0	1
3499	4524	"Vallée de la Voise"	48.41667	1.75	110	"AWI"	110	1441	1917	1622	0	32	0	0	0	0	0	45	0	0	0	0	0	0	46	1076	0	0	9	27	0	0	0	6	0	4	5	19	0	0	237	1	0	0	0	16	0	0	0	0	0	6	3	0
3499	4524	"Vallée de la Voise"	48.41667	1.75	120	"AWI"	120	1522	2102	1764	0	1	0	0	0	0	0	6	0	0	0	0	0	0	11	336	0	0	0	1	0	0	0	0	0	0	6	2	37	0	22	0	0	0	10	0	0	0	0	0	0	2	6	0
