"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Ailanthus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Heliotropium"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Linaceae"	"Loranthaceae"	"Morus"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Robinia"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"	"Zygophyllaceae"
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	0.5	"AWI"	0.5	-91.5	13	-38.5	4	0	0	1	24	21	0	0	7	0	9	0	0	0	0	0	0	2	3	0	0	1	0	25	0	43	2	0	9	0	0	17	0	26	0	0	0	0	0	1	0	31	0	0	1	0	0	0	19	0	57	2	26	183	3	0	2	1	129	0	0	0	0	0	101	13	0	0	0	0	1	0	6	0	1	0	0	0	0	0	4	2	0	0	4	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	2.5	"AWI"	2.5	-86.5	18.5	-33	2	1	0	1	18	12	0	0	5	0	9	0	0	0	24	0	0	0	1	0	0	0	0	20	0	25	2	0	8	6	0	10	0	15	0	0	0	0	0	3	0	28	0	0	1	0	0	0	22	0	46	1	20	154	1	0	2	0	0	0	4	0	0	0	63	9	0	0	0	0	0	0	5	0	0	0	2	0	0	0	3	0	0	0	4	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	4.5	"AWI"	4.5	-80	24.5	-27.5	2	0	1	0	33	19	0	1	9	0	11	0	0	0	0	0	0	0	3	0	0	0	0	21	0	22	2	0	0	0	0	10	0	14	0	0	0	0	0	6	0	26	0	0	0	0	0	0	19	0	60	3	20	0	1	0	5	0	0	0	2	0	1	0	93	17	0	0	2	0	0	0	8	0	1	0	0	0	0	0	2	0	0	0	0	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	6.5	"AWI"	6.5	-74.5	30.5	-21.5	3	1	0	0	30	16	0	1	14	0	4	0	0	0	0	0	0	0	2	0	0	0	0	28	0	25	2	0	5	0	0	9	0	0	0	0	0	0	0	0	0	27	0	1	0	0	0	0	17	0	43	1	21	158	1	0	1	0	0	0	1	0	0	0	100	14	0	0	0	0	0	4	4	0	0	0	0	0	0	0	4	2	0	1	4	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	8.5	"AWI"	8.5	-68.5	35.5	-15.5	6	0	1	0	20	18	0	0	12	0	7	0	0	0	15	0	0	0	1	0	0	1	0	24	0	33	1	0	0	0	0	10	0	18	0	0	0	0	0	2	0	20	0	1	0	0	0	0	12	0	48	1	23	117	2	0	0	0	0	0	2	0	0	0	66	9	0	0	1	0	0	5	6	0	0	0	2	0	2	0	4	0	1	0	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	10.5	"AWI"	10.5	-62.5	41.5	-10.5	6	0	0	0	33	0	0	1	6	0	9	0	0	0	0	0	0	0	1	0	0	0	0	24	0	24	0	0	0	0	0	6	0	9	0	0	0	0	0	4	0	34	0	0	0	0	0	0	21	0	35	2	20	0	0	0	4	0	0	0	4	0	1	1	70	11	0	0	0	0	1	0	2	0	0	0	0	0	0	0	3	0	3	1	2	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	12.5	"AWI"	12.5	-56.5	47.5	-4.5	6	1	0	0	25	16	0	0	9	0	6	0	0	0	0	0	0	0	1	0	0	0	0	11	0	37	2	0	0	0	0	9	0	0	0	0	0	0	1	1	0	26	0	1	0	0	0	0	14	0	28	2	22	154	0	0	3	0	0	0	0	0	0	0	71	8	0	0	0	0	1	0	7	0	0	0	1	0	1	0	1	0	0	0	3	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	14.5	"AWI"	14.5	-50.5	52.5	1.5	9	1	0	1	20	22	0	0	9	0	8	0	0	0	0	0	0	0	1	0	0	0	0	22	1	35	2	0	0	0	0	8	0	14	2	0	0	0	0	1	0	22	0	1	0	0	0	0	26	0	30	2	32	0	1	0	1	1	0	0	2	0	0	0	58	15	0	0	0	0	0	0	4	0	0	1	0	0	0	0	5	2	0	0	5	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	16.5	"AWI"	16.5	-45.5	58.5	7.5	6	1	0	1	18	0	1	0	3	0	5	4	0	0	0	0	0	0	0	0	0	0	0	18	0	29	0	0	0	0	0	12	0	17	0	0	0	0	0	2	0	14	0	0	0	0	0	0	19	0	29	2	28	0	0	0	5	0	0	0	0	0	0	0	78	14	0	1	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	3	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	18.5	"AWI"	18.5	-38.5	64.5	13	3	0	0	0	18	24	0	0	14	0	4	0	1	0	0	0	0	0	2	0	0	0	0	8	0	38	1	0	7	0	0	12	0	7	0	0	0	0	0	2	0	33	0	1	0	0	0	0	21	0	18	2	36	156	3	0	3	1	0	0	0	0	0	0	70	7	0	1	0	0	0	0	4	0	0	0	0	0	0	0	4	0	0	2	6	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	20.5	"AWI"	20.5	-33	70.5	18.5	5	0	0	0	21	17	0	0	8	0	7	0	0	0	0	0	0	0	2	0	0	0	0	13	0	51	1	0	0	0	0	8	0	5	0	0	1	0	0	2	0	43	0	0	0	0	0	0	14	0	27	2	25	0	2	0	1	1	0	0	0	0	0	0	80	9	0	0	1	0	0	0	10	0	1	1	0	0	1	0	1	1	0	0	3	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	22.5	"AWI"	22.5	-27.5	76	24.5	4	0	0	1	22	12	0	0	8	0	1	0	0	0	0	0	0	1	1	0	0	0	0	14	0	54	1	0	9	0	0	10	0	11	1	0	0	0	0	1	0	19	0	0	0	0	0	0	9	0	9	2	25	0	0	0	0	1	82	0	2	0	0	0	50	9	0	0	0	0	1	0	3	0	0	1	0	0	0	0	4	0	1	1	2	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	24.5	"AWI"	24.5	-21.5	81.5	30.5	6	0	0	0	19	10	0	0	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	11	0	55	2	0	13	0	0	9	0	3	0	0	0	0	0	3	0	21	0	0	0	0	0	0	19	0	11	0	23	0	0	0	1	2	0	0	4	0	0	0	69	10	0	0	0	0	0	0	2	0	1	1	0	0	0	0	1	0	1	0	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	26.5	"AWI"	26.5	-16	87.5	36.5	8	0	0	0	17	11	0	0	4	0	3	0	0	0	0	0	0	0	0	1	0	0	0	10	0	59	2	0	0	0	0	10	0	0	0	0	0	0	0	1	0	26	0	2	0	0	0	0	12	0	8	1	26	0	0	0	1	0	0	0	1	0	0	0	53	11	0	0	0	0	1	0	5	0	0	0	0	0	0	0	2	0	0	0	2	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	28.5	"AWI"	28.5	-10.5	93.5	42.5	11	0	0	0	15	8	0	1	8	0	1	0	0	0	0	0	0	0	1	0	0	0	0	21	0	68	1	0	7	0	0	8	0	2	0	0	0	0	0	2	0	23	0	3	0	0	0	0	8	0	6	2	27	144	1	0	1	0	0	0	2	0	0	0	65	8	0	0	0	0	0	0	2	0	0	0	0	1	1	0	1	0	0	0	2	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	30.5	"AWI"	30.5	-4.5	99.5	48	3	0	0	0	0	6	0	0	3	0	1	0	0	0	0	0	0	0	1	1	0	0	0	4	0	68	0	0	11	0	0	6	1	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	4	0	10	0	18	0	2	0	2	1	0	0	1	0	0	0	63	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	32.5	"AWI"	32.5	2.5	105.5	53.5	11	1	0	0	14	0	0	1	5	0	2	0	0	0	35	0	0	0	0	0	0	0	0	10	0	62	2	0	7	0	0	2	0	0	0	0	0	1	0	0	0	25	0	1	0	0	0	0	11	0	10	0	30	200	0	0	1	1	0	0	0	0	0	0	71	9	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	3	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	34.5	"AWI"	34.5	7.5	112	59.5	9	0	1	0	13	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	102	2	0	7	0	0	8	0	7	0	0	0	0	0	3	0	22	0	1	0	0	0	0	6	0	3	0	23	0	0	0	2	0	0	0	2	0	0	0	79	4	0	0	0	0	0	0	7	0	0	0	1	0	1	1	2	0	0	0	2	1
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	36.5	"AWI"	36.5	13.5	117.5	65.5	10	0	0	0	16	11	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	68	2	0	0	0	0	7	0	2	0	0	0	0	0	4	0	14	0	0	0	0	0	0	7	0	6	1	27	0	0	0	0	0	0	0	1	0	0	0	80	8	0	0	0	0	0	0	5	0	0	1	0	0	0	0	3	0	0	1	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	38.5	"AWI"	38.5	19.5	123.5	71.5	17	3	0	0	10	14	0	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	0	8	0	108	2	0	0	0	0	10	0	3	0	0	0	0	0	3	0	25	0	0	0	0	0	0	15	0	9	0	35	216	0	0	1	1	0	0	0	0	0	0	108	6	0	0	0	0	0	0	2	0	0	1	2	0	1	0	1	0	0	0	2	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	40.5	"AWI"	40.5	25	129	76.5	16	0	0	0	13	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	83	1	0	0	0	0	12	2	0	0	0	0	0	0	3	0	23	0	0	0	0	0	0	15	0	10	0	28	184	0	0	0	0	67	0	0	0	0	0	75	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	3	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	42.5	"AWI"	42.5	30.5	134.5	82.5	9	0	0	0	7	8	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	0	84	0	0	0	0	0	8	0	2	0	0	0	0	0	1	0	18	0	1	0	0	0	0	8	0	5	0	18	159	0	0	1	0	0	0	0	0	0	0	84	6	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	44.5	"AWI"	44.5	36.5	140.5	88.5	11	2	0	0	8	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	78	0	0	0	0	0	7	0	0	0	0	0	0	0	2	0	22	0	2	0	0	0	2	9	0	8	1	21	127	1	0	0	1	0	0	0	0	0	0	52	4	0	0	0	0	1	0	0	0	0	0	1	0	3	0	3	0	0	0	0	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	46.5	"AWI"	46.5	42.5	146.5	94.5	8	1	0	0	10	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	0	53	3	0	0	0	0	7	0	3	0	0	0	0	0	5	0	18	0	3	0	0	1	0	6	0	4	1	26	118	1	0	0	0	0	0	1	0	0	0	63	7	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	0	0	4	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	48.5	"AWI"	48.5	48.5	151.5	100.5	9	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9	0	65	2	0	3	0	0	7	0	0	0	0	1	0	0	4	1	14	0	2	0	1	0	0	4	0	4	1	21	134	0	0	0	1	0	0	0	0	0	0	63	4	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	50.5	"AWI"	50.5	54.5	157.5	106	13	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	76	1	0	6	0	0	12	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	0	6	0	8	0	18	0	2	0	0	0	0	0	0	0	0	0	72	3	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	52.5	"AWI"	52.5	60	163.5	111.5	28	0	0	0	0	0	0	1	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	74	0	0	0	0	0	15	0	3	0	0	0	0	0	5	0	17	0	0	0	0	0	0	15	0	11	1	41	199	0	0	0	0	0	0	0	0	0	0	86	12	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	54.5	"AWI"	54.5	66	169.5	117.5	23	0	0	0	7	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	9	0	78	1	0	0	0	0	16	1	0	0	0	0	0	0	2	0	16	0	1	0	0	0	0	4	0	6	1	43	185	0	0	0	0	0	0	0	0	0	0	96	13	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
26122	45327	"Adriatic Sea 108MAY90"	44.75194	12.75	56.5	"AWI"	56.5	72.5	174	123.5	20	0	0	0	12	0	0	0	6	0	5	0	0	0	15	0	0	0	1	1	0	0	0	5	0	83	4	0	7	0	0	12	0	0	0	0	0	0	0	7	0	15	0	1	0	0	0	0	8	0	17	0	37	0	0	0	0	0	0	0	0	0	0	0	110	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	4	0
