"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Juniperus"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26144	45383	"Lake Kahala"	59.48944	25.53861	1	"AWI"	1	-16	644	47	0	171	3	0	8	0	395	0	0	0	0	40	5	0	0	0	0	2	0	1	0	57	260	0	0	0	8	0	0	1	4	5	0	6	12	0
26144	45383	"Lake Kahala"	59.48944	25.53861	10	"AWI"	10	811	1172	980	0	223	3	0	6	0	444	0	0	0	0	30	6	0	0	0	0	4	0	0	1	66	318	7	0	0	14	3	0	0	6	9	0	15	21	0
26144	45383	"Lake Kahala"	59.48944	25.53861	20	"AWI"	20	1126	1454	1245	0	187	1	1	12	0	415	0	0	0	0	40	1	0	0	0	1	2	1	0	5	81	250	0	0	0	13	0	0	0	5	2	1	7	11	1
26144	45383	"Lake Kahala"	59.48944	25.53861	30	"AWI"	30	1514	1901	1726	1	190	0	1	9	0	396	0	0	1	0	44	7	0	0	0	0	3	0	0	4	62	249	0	0	0	22	0	0	0	4	9	0	8	10	0
26144	45383	"Lake Kahala"	59.48944	25.53861	40	"AWI"	40	1802	2111	1962	0	208	1	2	8	0	401	1	0	0	0	37	3	0	0	0	0	0	1	1	2	55	219	0	0	0	12	2	0	0	3	7	0	8	9	0
26144	45383	"Lake Kahala"	59.48944	25.53861	50	"AWI"	50	1915	2272	2086	0	241	2	2	12	0	405	0	0	0	0	54	5	0	0	0	0	0	0	0	6	58	214	0	0	0	18	0	0	0	0	13	0	6	15	0
26144	45383	"Lake Kahala"	59.48944	25.53861	60	"AWI"	60	2007	2455	2188	0	276	1	0	2	0	334	0	0	0	0	81	9	0	0	1	0	6	0	0	1	123	285	0	0	0	44	0	0	0	1	5	0	19	49	0
26144	45383	"Lake Kahala"	59.48944	25.53861	70	"AWI"	70	2161	2655	2304	0	282	1	1	6	0	484	0	0	0	0	47	7	0	0	0	0	6	1	0	3	50	166	0	0	0	19	0	0	0	0	3	0	12	20	0
26144	45383	"Lake Kahala"	59.48944	25.53861	80	"AWI"	80	2307	3581	2769	2	319	0	0	6	0	370	0	0	0	0	102	17	0	0	1	0	14	0	0	3	101	234	0	0	0	48	0	0	0	0	0	0	19	50	0
26144	45383	"Lake Kahala"	59.48944	25.53861	90	"AWI"	90	2571	3911	3297	0	369	0	0	9	0	412	0	0	0	0	139	3	0	0	0	0	13	1	0	5	109	275	1	0	0	37	0	0	0	1	9	0	24	56	0
26144	45383	"Lake Kahala"	59.48944	25.53861	100	"AWI"	100	3520	4148	3890	0	226	0	0	2	0	240	0	0	0	0	80	4	0	0	0	0	12	0	0	3	160	181	0	0	0	27	0	0	0	0	4	1	27	43	0
