"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"
26148	45395	"Vällamäe"	57.73722	27.06917	11	"AWI"	11	-93	104	6	20	2	0	0	56	0	2	12	0	60	62	8	0	0	0	2	2	0	0
26148	45395	"Vällamäe"	57.73722	27.06917	31	"AWI"	31	-54	323	105	44	2	2	2	60	0	2	4	0	10	80	18	2	2	0	6	2	0	0
26148	45395	"Vällamäe"	57.73722	27.06917	55	"AWI"	55	44	435	235	42	0	0	4	76	2	2	10	0	8	68	16	2	2	0	2	2	0	4
26148	45395	"Vällamäe"	57.73722	27.06917	75	"AWI"	75	105	541	345	22	0	2	2	100	0	2	2	0	12	60	14	2	2	0	0	2	2	0
26148	45395	"Vällamäe"	57.73722	27.06917	85	"AWI"	85	200	558	392	32	0	0	0	96	2	0	2	0	20	46	6	2	0	0	0	2	8	4
26148	45395	"Vällamäe"	57.73722	27.06917	115	"AWI"	115	426	640	550	38	0	0	0	40	20	0	0	0	52	24	0	6	0	0	0	4	4	32
26148	45395	"Vällamäe"	57.73722	27.06917	130	"AWI"	130	561	779	656	24	0	2	0	64	4	2	6	0	28	76	10	6	0	0	0	0	4	4
26148	45395	"Vällamäe"	57.73722	27.06917	145	"AWI"	145	585	1081	747	42	2	0	0	96	8	0	4	0	12	48	0	4	0	0	0	0	4	0
26148	45395	"Vällamäe"	57.73722	27.06917	175	"AWI"	175	693	1274	974	16	0	0	0	80	0	0	0	2	40	60	0	2	0	0	0	2	4	2
26148	45395	"Vällamäe"	57.73722	27.06917	190	"AWI"	190	793	1379	1081	14	0	0	0	106	10	0	4	2	28	38	4	4	2	0	0	4	0	4
26148	45395	"Vällamäe"	57.73722	27.06917	200	"AWI"	200	881	1416	1155	12	0	0	0	80	4	0	2	0	42	62	0	2	0	0	0	4	0	2
26148	45395	"Vällamäe"	57.73722	27.06917	205	"AWI"	205	907	1430	1191	8	0	0	0	50	10	0	2	2	82	56	0	4	0	0	0	2	0	0
26148	45395	"Vällamäe"	57.73722	27.06917	235	"AWI"	235	1058	1609	1377	20	2	0	0	58	2	0	2	2	68	40	0	2	0	0	0	0	4	6
26148	45395	"Vällamäe"	57.73722	27.06917	255	"AWI"	255	1121	1797	1462	12	0	0	0	90	2	0	0	0	48	46	0	2	0	0	0	0	6	2
26148	45395	"Vällamäe"	57.73722	27.06917	285	"AWI"	285	1257	1944	1599	14	0	0	0	56	2	0	0	0	80	48	4	2	2	0	2	0	0	2
26148	45395	"Vällamäe"	57.73722	27.06917	305	"AWI"	305	1333	2056	1689	48	2	0	2	68	2	0	10	0	32	50	0	0	2	0	0	2	2	2
26148	45395	"Vällamäe"	57.73722	27.06917	315	"AWI"	315	1371	2101	1737	36	0	0	0	112	2	0	0	0	12	36	0	2	0	0	0	0	0	2
26148	45395	"Vällamäe"	57.73722	27.06917	340	"AWI"	340	1465	2229	1847	18	0	0	0	76	8	0	0	2	46	40	0	6	0	0	0	2	4	12
26148	45395	"Vällamäe"	57.73722	27.06917	365	"AWI"	365	1569	2337	1961	22	0	0	0	92	8	0	0	2	40	38	0	6	2	2	0	2	0	2
26148	45395	"Vällamäe"	57.73722	27.06917	395	"AWI"	395	1719	2449	2106	24	0	0	0	116	8	0	6	0	16	32	0	6	2	2	0	4	2	2
26148	45395	"Vällamäe"	57.73722	27.06917	440	"AWI"	440	1944	2599	2304	30	0	0	2	104	12	0	0	0	20	36	0	6	0	0	0	4	4	4
26148	45395	"Vällamäe"	57.73722	27.06917	455	"AWI"	455	2090	2623	2371	28	0	0	0	92	12	0	0	0	26	48	0	4	0	0	0	4	0	2
26148	45395	"Vällamäe"	57.73722	27.06917	485	"AWI"	485	2348	2742	2568	16	0	2	0	38	4	0	0	0	100	22	0	2	0	2	0	4	6	16
26148	45395	"Vällamäe"	57.73722	27.06917	505	"AWI"	505	2423	3152	2756	22	0	2	0	52	4	0	2	2	84	24	0	2	0	0	0	4	6	14
26148	45395	"Vällamäe"	57.73722	27.06917	528	"AWI"	528	2652	3438	3002	28	0	0	2	52	18	0	0	2	62	30	0	6	2	0	0	2	8	14
26148	45395	"Vällamäe"	57.73722	27.06917	580	"AWI"	580	2992	4097	3509	42	0	0	0	62	32	0	2	2	28	28	0	6	0	2	0	2	12	26
26148	45395	"Vällamäe"	57.73722	27.06917	635	"AWI"	635	3401	4609	4000	28	0	0	0	58	20	0	2	0	56	32	0	4	0	0	0	0	8	20
26148	45395	"Vällamäe"	57.73722	27.06917	649	"AWI"	649	3528	4705	4117	48	0	0	0	52	28	2	0	2	42	42	0	2	0	0	0	2	12	8
26148	45395	"Vällamäe"	57.73722	27.06917	675	"AWI"	675	3781	4888	4346	50	0	2	0	52	28	0	0	2	52	24	0	6	2	2	0	0	6	12
26148	45395	"Vällamäe"	57.73722	27.06917	695	"AWI"	695	3934	5055	4523	24	0	0	0	36	16	0	0	0	92	20	0	2	0	0	0	4	4	24
26148	45395	"Vällamäe"	57.73722	27.06917	705	"AWI"	705	4088	5113	4612	32	0	2	0	32	20	0	4	0	90	18	0	2	0	0	0	2	6	20
26148	45395	"Vällamäe"	57.73722	27.06917	735	"AWI"	735	4391	5329	4892	38	2	0	0	58	16	2	2	2	40	20	0	4	0	0	0	4	12	26
26148	45395	"Vällamäe"	57.73722	27.06917	745	"AWI"	745	4561	5368	4991	42	0	2	0	84	12	0	4	0	12	24	0	8	2	0	0	6	12	16
26148	45395	"Vällamäe"	57.73722	27.06917	755	"AWI"	755	4687	5421	5094	24	0	2	0	40	12	0	0	0	78	22	0	2	0	0	0	4	4	24
26148	45395	"Vällamäe"	57.73722	27.06917	785	"AWI"	785	4985	5689	5398	44	0	0	0	40	32	0	0	0	40	20	0	6	0	0	0	4	18	28
26148	45395	"Vällamäe"	57.73722	27.06917	795	"AWI"	795	5053	5864	5480	88	0	0	0	44	52	0	0	0	14	26	0	8	0	0	0	6	16	22
26148	45395	"Vällamäe"	57.73722	27.06917	805	"AWI"	805	5092	6085	5558	52	0	0	0	38	22	6	0	0	40	22	0	10	0	2	0	10	18	28
26148	45395	"Vällamäe"	57.73722	27.06917	820	"AWI"	820	5229	6247	5695	46	0	2	0	20	8	2	4	0	64	16	0	2	0	0	0	2	24	24
26148	45395	"Vällamäe"	57.73722	27.06917	830	"AWI"	830	5280	6383	5779	80	0	0	0	44	50	0	0	0	18	14	0	2	0	0	0	4	32	32
26148	45395	"Vällamäe"	57.73722	27.06917	845	"AWI"	845	5362	6647	5899	32	0	0	0	42	20	0	2	0	46	16	0	6	0	0	0	0	20	18
26148	45395	"Vällamäe"	57.73722	27.06917	865	"AWI"	865	5540	6802	6103	36	0	0	0	32	16	0	0	0	60	16	0	4	0	0	0	4	30	30
26148	45395	"Vällamäe"	57.73722	27.06917	880	"AWI"	880	5635	6987	6250	22	0	0	0	42	24	0	0	0	64	12	0	6	2	0	0	4	28	24
26148	45395	"Vällamäe"	57.73722	27.06917	910	"AWI"	910	5929	7190	6543	38	2	0	0	40	24	2	0	0	44	22	0	4	0	0	0	4	30	18
26148	45395	"Vällamäe"	57.73722	27.06917	949	"AWI"	949	6825	7530	7305	28	0	0	0	24	28	2	0	0	52	24	0	2	0	2	0	6	38	24
26148	45395	"Vällamäe"	57.73722	27.06917	955	"AWI"	955	6915	7613	7394	42	0	0	2	36	24	4	0	0	36	24	0	2	0	0	0	2	24	24
26148	45395	"Vällamäe"	57.73722	27.06917	975	"AWI"	975	7216	7699	7483	64	0	0	0	28	40	4	0	0	20	22	0	2	2	0	0	2	36	12
26148	45395	"Vällamäe"	57.73722	27.06917	995	"AWI"	995	7686	8078	7842	36	0	0	0	30	16	4	0	0	70	40	0	4	0	0	0	4	20	20
26148	45395	"Vällamäe"	57.73722	27.06917	1005	"AWI"	1005	8153	8531	8346	48	0	0	0	96	46	0	0	0	6	24	0	2	2	0	0	0	12	8
26148	45395	"Vällamäe"	57.73722	27.06917	1025	"AWI"	1025	8971	9512	9384	4	0	0	0	84	8	0	0	0	4	100	0	0	0	0	0	0	2	22
26148	45395	"Vällamäe"	57.73722	27.06917	1045	"AWI"	1045	9240	9666	9496	6	0	2	0	106	34	4	0	0	6	44	0	0	0	0	0	4	0	8
26148	45395	"Vällamäe"	57.73722	27.06917	1070	"AWI"	1070	9519	9870	9641	2	0	2	0	86	4	0	0	0	2	98	0	0	0	0	0	4	0	4
26148	45395	"Vällamäe"	57.73722	27.06917	1085	"AWI"	1085	9600	10041	9776	2	0	0	0	102	4	8	0	0	0	96	0	0	0	0	0	6	0	0
