"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	5	"AWI"	5	-52	323	80	0	0	82	2	0	3	0	14	0	11	0	0	0	0	0	7	1	0	0	3	0	565	0	1	22	0	0	3	2	0	0	0	1	0	2	6	0	3	4	1	0	0	0	3	0	0	45	717	0	145	0	0	0	0	0	1	5	2	1	0	0	0	1	0	3	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	10	"AWI"	10	-28	664	182	6	0	82	3	0	0	0	14	9	17	0	0	1	0	0	5	4	0	0	7	0	217	0	0	6	0	0	6	0	0	0	0	1	0	2	2	0	3	0	0	0	0	0	4	0	0	72	648	0	158	0	3	0	0	0	0	13	1	1	0	0	0	3	1	0	6	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	15	"AWI"	15	33	801	305	4	0	68	0	0	4	0	10	0	17	0	0	0	0	0	2	1	0	1	1	0	66	0	0	6	0	0	7	1	0	0	1	1	0	5	0	0	1	0	0	1	0	0	7	0	0	39	719	0	71	0	3	0	0	0	0	3	15	0	0	0	0	3	0	0	2	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	20	"AWI"	20	73	945	422	2	0	53	0	0	0	0	5	0	4	0	0	3	0	0	3	2	0	0	2	0	57	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	2	0	0	42	761	0	0	0	3	0	0	0	0	7	14	0	0	0	0	1	0	0	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	25	"AWI"	25	152	1084	537	3	0	55	0	0	0	0	4	0	15	0	0	0	2	0	0	3	0	1	5	0	65	0	0	3	0	0	6	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	4	0	0	61	716	0	0	0	2	0	0	0	0	2	4	2	0	0	0	1	0	1	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	30	"AWI"	30	211	1237	655	3	0	81	1	0	0	0	1	0	10	0	0	2	0	0	0	0	0	1	0	0	190	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	4	0	0	50	709	0	30	0	0	0	0	0	0	2	4	0	0	0	0	2	0	0	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	35	"AWI"	35	294	1371	767	5	0	83	1	0	0	0	3	0	10	0	0	2	0	0	2	1	0	1	2	0	219	0	0	5	0	0	10	0	0	0	0	1	0	0	2	0	9	0	0	0	0	0	5	0	0	74	750	0	0	0	4	0	0	0	0	11	5	0	0	0	0	3	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	40	"AWI"	40	378	1473	889	3	0	97	0	0	0	0	5	0	25	0	0	3	0	0	3	3	1	0	1	0	142	0	0	0	0	0	9	1	0	0	0	0	0	3	0	0	10	0	0	0	0	0	15	0	0	45	679	0	0	0	7	0	0	15	0	2	8	0	0	0	1	3	0	0	0	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	45	"AWI"	45	466	1618	1006	0	0	109	1	0	0	0	1	0	12	0	0	0	0	0	2	1	0	0	2	0	160	0	0	5	0	0	7	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	6	0	0	50	698	0	39	0	2	0	0	0	2	1	39	0	0	0	0	2	0	0	1	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	50	"AWI"	50	573	1691	1126	4	0	92	0	0	0	0	3	0	20	0	0	5	0	0	1	0	0	0	1	0	132	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	37	628	0	0	0	9	0	0	0	1	4	22	0	0	1	0	3	2	0	7	0	0	0
3522	4549	"Zirbenwaldmoor"	46.85833	11.025	55	"AWI"	55	646	1824	1243	2	0	101	0	1	0	0	1	0	11	0	0	1	0	0	3	5	0	0	2	0	238	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	50	631	0	0	0	1	0	0	0	1	2	5	0	0	0	0	1	0	0	1	0	0	0
