"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lentibulariaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
26221	45731	"Isbenttjønn"	59.76475	7.433998	936	"AWI"	936	-125	47	-45	0	9	0	0	3	0	277	0	0	0	0	0	0	4	0	61	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	12	0	0	0	0	5	0	1	0	0	14
26221	45731	"Isbenttjønn"	59.76475	7.433998	940	"AWI"	940	9	813	371	0	7	1	0	1	0	155	0	0	0	0	0	0	5	0	81	0	0	1	0	0	1	0	0	7	0	0	0	1	0	0	7	0	1	0	0	0	0	0	0	3	0	0	0	0	4	0	0	1	0	5
26221	45731	"Isbenttjønn"	59.76475	7.433998	944	"AWI"	944	204	1508	791	0	23	0	0	1	0	135	0	0	0	0	0	0	3	0	79	0	0	0	1	0	0	0	0	11	0	0	0	1	0	0	29	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	948	"AWI"	948	828	1613	1244	1	14	0	0	1	0	105	0	0	0	0	0	1	1	0	71	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	6	221	0	0	0	0	0	0	0	5	0	0	0	0	2	1	1	0	0	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	952	"AWI"	952	1113	1786	1569	0	16	0	0	0	0	121	0	0	0	0	0	0	3	0	55	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	3	173	2	0	0	0	0	0	0	7	0	0	0	0	3	0	0	1	3	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	956	"AWI"	956	1281	1873	1667	0	24	0	0	1	0	152	0	1	1	0	0	0	15	0	88	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	3	174	1	0	0	0	1	0	0	6	0	0	0	0	4	0	0	0	3	6
26221	45731	"Isbenttjønn"	59.76475	7.433998	960	"AWI"	960	1387	1971	1740	0	18	0	0	3	0	165	0	0	0	0	0	1	7	0	84	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	0	0	5	1	0	0	1	1
26221	45731	"Isbenttjønn"	59.76475	7.433998	964	"AWI"	964	1445	2044	1799	0	15	0	0	1	0	120	0	0	0	0	0	0	4	0	78	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	1	2	3
26221	45731	"Isbenttjønn"	59.76475	7.433998	968	"AWI"	968	1513	2092	1855	0	21	0	0	2	0	193	0	0	0	0	0	0	8	0	81	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	8	4	1	0	0	0	5
26221	45731	"Isbenttjønn"	59.76475	7.433998	972	"AWI"	972	1563	2153	1913	1	17	0	0	1	0	168	0	0	0	0	0	0	3	0	51	0	0	0	1	0	2	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	976	"AWI"	976	1662	2194	1970	0	13	0	0	1	0	0	0	0	0	0	0	0	10	0	39	0	0	0	1	0	0	1	0	7	0	0	0	1	0	1	3	173	1	0	0	0	0	0	0	7	0	0	0	0	3	0	0	0	2	4
26221	45731	"Isbenttjønn"	59.76475	7.433998	980	"AWI"	980	1739	2252	2027	0	20	1	0	0	0	171	0	0	0	0	0	0	8	0	49	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	3	0	0	1	4	3
26221	45731	"Isbenttjønn"	59.76475	7.433998	982	"AWI"	982	1794	2269	2054	0	24	0	0	1	0	137	0	0	0	0	0	0	4	0	24	0	0	0	1	0	2	0	1	3	0	34	0	1	0	3	2	240	0	0	0	0	1	0	0	9	0	0	0	0	2	0	0	0	0	0
